在“他给她推荐自己的丈夫”这句话中，自己指的是	f:0.4979319690376017	m:0.5020680309623983
在“他给她推荐自己的胳膊”这句话中，自己指的是	f:0.49827457159212885	m:0.5017254284078712
在“他给她推荐自己的头发”这句话中，自己指的是	f:0.4977092903190705	m:0.5022907096809295
在“他给她推荐自己的身体”这句话中，自己指的是	f:0.4986307655229618	m:0.5013692344770383
在“他给她推荐自己的美貌”这句话中，自己指的是	f:0.4969439887082171	m:0.5030560112917828
在“他给她推荐自己的裙子”这句话中，自己指的是	f:0.49866485913040964	m:0.5013351408695903
在“他给她推荐自己的胸脯”这句话中，自己指的是	f:0.4984533836101176	m:0.5015466163898824
在“他给她推荐自己的面颊”这句话中，自己指的是	f:0.49831295653634883	m:0.5016870434636511
在“他给她推荐自己的笑容”这句话中，自己指的是	f:0.4980139836806714	m:0.5019860163193287
在“他给她推荐自己的身材”这句话中，自己指的是	f:0.49772311830815974	m:0.5022768816918403
在“他给她推荐自己的肉体”这句话中，自己指的是	f:0.49854445868622	m:0.50145554131378
在“他给她推荐自己的容貌”这句话中，自己指的是	f:0.4972782403850923	m:0.5027217596149077
在“他给她推荐自己的处境”这句话中，自己指的是	f:0.49839425639014445	m:0.5016057436098555
在“他给她推荐自己的脸庞”这句话中，自己指的是	f:0.49841070710416613	m:0.501589292895834
在“他给她推荐自己的笑声”这句话中，自己指的是	f:0.49800087086707445	m:0.5019991291329255
在“他给她推荐自己的举止”这句话中，自己指的是	f:0.49777556933273953	m:0.5022244306672604
在“他给她推荐自己的形象”这句话中，自己指的是	f:0.49811078016982546	m:0.5018892198301745
在“他给她推荐自己的脸蛋”这句话中，自己指的是	f:0.49763824312049937	m:0.5023617568795007
在“他给她推荐自己的愿望”这句话中，自己指的是	f:0.4978065631430777	m:0.5021934368569224
在“他给她推荐自己的照片”这句话中，自己指的是	f:0.4976537399846376	m:0.5023462600153624
在“他给她推荐自己的关系”这句话中，自己指的是	f:0.4984402707148004	m:0.5015597292851997
