在“他喜欢自己”这句话中，自己指的是	f:0.49846059570345014	m:0.50153940429655
在“他厌恶自己”这句话中，自己指的是	f:0.49895468506518653	m:0.5010453149348135
在“他帮助自己”这句话中，自己指的是	f:0.49924752173012843	m:0.5007524782698716
在“他相信自己”这句话中，自己指的是	f:0.4984510441502284	m:0.5015489558497715
在“他支持自己”这句话中，自己指的是	f:0.49903798222042983	m:0.5009620177795702
在“他欺骗自己”这句话中，自己指的是	f:0.49922896982750475	m:0.5007710301724952
在“他安慰自己”这句话中，自己指的是	f:0.49912527292799397	m:0.500874727072006
在“他挑战自己”这句话中，自己指的是	f:0.49894496955094814	m:0.5010550304490519
在“他鄙视自己”这句话中，自己指的是	f:0.4993779364457561	m:0.5006220635542439
在“他忽略自己”这句话中，自己指的是	f:0.49902962270021617	m:0.5009703772997839
在“他原谅自己”这句话中，自己指的是	f:0.4990339589218638	m:0.5009660410781361
在“他怀疑自己”这句话中，自己指的是	f:0.4988866019770685	m:0.5011133980229314
在“他超越自己”这句话中，自己指的是	f:0.49918374491725553	m:0.5008162550827444
在“他设计自己”这句话中，自己指的是	f:0.49942383195630596	m:0.5005761680436941
在“他讨厌自己”这句话中，自己指的是	f:0.49887056840827915	m:0.5011294315917209
在“他介绍自己”这句话中，自己指的是	f:0.498927341557061	m:0.501072658442939
在“他夸奖自己”这句话中，自己指的是	f:0.498974980359738	m:0.501025019640262
在“他改造自己”这句话中，自己指的是	f:0.4989204870546611	m:0.5010795129453389
在“他结束自己”这句话中，自己指的是	f:0.49907335745090403	m:0.5009266425490959
在“他解放自己”这句话中，自己指的是	f:0.49913691069973964	m:0.5008630893002604
在“他刺激自己”这句话中，自己指的是	f:0.49940377502091016	m:0.5005962249790898
在“他考虑自己”这句话中，自己指的是	f:0.4990061236596843	m:0.5009938763403157
在“他掐自己”这句话中，自己指的是	f:0.4992768769537537	m:0.5007231230462463
在“他评论自己”这句话中，自己指的是	f:0.49919648537664896	m:0.500803514623351
在“他爱惜自己”这句话中，自己指的是	f:0.4985819198960978	m:0.5014180801039022
在“他爱护自己”这句话中，自己指的是	f:0.4990332138665875	m:0.5009667861334124
在“他爱自己”这句话中，自己指的是	f:0.49881726723969433	m:0.5011827327603057
在“他保护自己”这句话中，自己指的是	f:0.49912665873175033	m:0.5008733412682497
在“他改正自己”这句话中，自己指的是	f:0.4989426449801746	m:0.5010573550198254
在“他谈论自己”这句话中，自己指的是	f:0.49874976537915694	m:0.5012502346208431
在“他维护自己”这句话中，自己指的是	f:0.4990281623919277	m:0.5009718376080723
在“他牺牲自己”这句话中，自己指的是	f:0.49839072485144503	m:0.5016092751485549
在“他重复自己”这句话中，自己指的是	f:0.4991681136416249	m:0.5008318863583751
在“他抓自己”这句话中，自己指的是	f:0.4993240688388483	m:0.5006759311611518
在“他指着自己”这句话中，自己指的是	f:0.49935230648983114	m:0.5006476935101689
在“他锻炼自己”这句话中，自己指的是	f:0.4989682152611755	m:0.5010317847388245
在“他打自己”这句话中，自己指的是	f:0.4993214164370221	m:0.5006785835629779
在“他操心自己”这句话中，自己指的是	f:0.4991409041990951	m:0.5008590958009048
在“他纠正自己”这句话中，自己指的是	f:0.4991245576744476	m:0.5008754423255524
在“他扎自己”这句话中，自己指的是	f:0.49942019607783317	m:0.5005798039221667
在“他谈到自己”这句话中，自己指的是	f:0.49875737982520785	m:0.501242620174792
在“他证明自己”这句话中，自己指的是	f:0.4991686947853039	m:0.5008313052146961
在“他训练自己”这句话中，自己指的是	f:0.49907764897065604	m:0.5009223510293439
在“他依靠自己”这句话中，自己指的是	f:0.49902831140297677	m:0.5009716885970232
在“他优待自己”这句话中，自己指的是	f:0.49927136353573215	m:0.5007286364642678
在“他鞭策自己”这句话中，自己指的是	f:0.4993023578879544	m:0.5006976421120456
在“他尊重自己”这句话中，自己指的是	f:0.49928428281553483	m:0.5007157171844652
在“他辜负自己”这句话中，自己指的是	f:0.4989854111291811	m:0.501014588870819
在“他担心自己”这句话中，自己指的是	f:0.4984948680565023	m:0.5015051319434978
在“他控制自己”这句话中，自己指的是	f:0.49951906517078787	m:0.5004809348292121
