在“她说他反思自己”这句话中，自己指的是	f:0.5000000596046448	m:0.4999999403953552
在“她说他反省自己”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“她说他坦白自己”这句话中，自己指的是	f:0.5	m:0.5
在“她说他提升自己”这句话中，自己指的是	f:0.5000000298023224	m:0.4999999701976776
在“她说他炫耀自己”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“她说他调节自己”这句话中，自己指的是	f:0.5000000447034836	m:0.4999999552965164
在“她说他坚持自己”这句话中，自己指的是	f:0.5000001341104507	m:0.49999986588954926
在“她说他交代自己”这句话中，自己指的是	f:0.5000000596046448	m:0.4999999403953552
在“她说他计较自己”这句话中，自己指的是	f:0.5000000447034836	m:0.4999999552965164
在“她说他检讨自己”这句话中，自己指的是	f:0.5000000447034836	m:0.4999999552965164
在“她说他卖弄自己”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“她说他表达自己”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“她说他表现自己”这句话中，自己指的是	f:0.5000000149011612	m:0.4999999850988388
在“她说他扭伤自己”这句话中，自己指的是	f:0.5000002980232239	m:0.4999997019767761
