假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.4563816221555919	m:0.2723408214484982	t:0.2712775563959099
假如他说这本书改变了自己,那么这本书改变了[MASK]。	m:0.5063161393219697	t:0.24916040025792197	f:0.24452346042010825
假如他说这本书影响了自己,那么这本书影响了[MASK]。	m:0.5190221312933175	t:0.24303562564973355	f:0.237942243056949
假如他说这本书吸引了自己,那么这本书吸引了[MASK]。	m:0.5231567719966982	t:0.24076375710880268	f:0.2360794708944991
假如她说这本书启发了自己,那么这本书启发了[MASK]。	f:0.46508915987696947	m:0.27134563378053017	t:0.26356520634250025
假如他说这本书激励了自己,那么这本书激励了[MASK]。	m:0.5163431721689437	t:0.2439162895370216	f:0.23974053829403472
假如她说这本书刺激了自己,那么这本书刺激了[MASK]。	f:0.4648083843213186	m:0.26805583543415756	t:0.2671357802445239
假如他说这本书困扰了自己,那么这本书困扰了[MASK]。	m:0.5245490458703439	t:0.23976851922731846	f:0.23568243490233767
假如他说这本书鼓舞了自己,那么这本书鼓舞了[MASK]。	m:0.49401129987868153	t:0.2548992583755966	f:0.2510894417457218
假如他说这本书鞭策了自己,那么这本书鞭策了[MASK]。	m:0.5333932258356043	t:0.2341135090264895	f:0.23249326513790622
假如他说这本书感动了自己,那么这本书感动了[MASK]。	m:0.4972840065848556	t:0.25374146646893275	f:0.24897452694621167
假如他说这本书迷惑了自己,那么这本书迷惑了[MASK]。	m:0.5142838525363789	t:0.24426145677370925	f:0.24145469068991188
假如她说这本书提醒了自己,那么这本书提醒了[MASK]。	f:0.46794474653192925	m:0.26951246117001143	t:0.2625427922980593
假如他说这封信伤害了自己,那么这封信伤害了[MASK]。	m:0.5248769705568446	t:0.24050938762937235	f:0.23461364181378305
假如她说这封信改变了自己,那么这封信改变了[MASK]。	f:0.4536078265881779	t:0.2756993967714637	m:0.27069277664035846
假如她说这封信影响了自己,那么这封信影响了[MASK]。	f:0.41524734561252485	m:0.29860456337367525	t:0.28614809101379995
假如她说这封信吸引了自己,那么这封信吸引了[MASK]。	f:0.4530863683833705	m:0.27422982723494327	t:0.2726838043816862
假如她说这封信启发了自己,那么这封信启发了[MASK]。	f:0.4464888398319441	m:0.28285016418369274	t:0.27066099598436316
假如他说这封信激励了自己,那么这封信激励了[MASK]。	m:0.5191887149773673	t:0.24275289245101886	f:0.2380583925716139
假如他说这封信刺激了自己,那么这封信刺激了[MASK]。	m:0.5318171704147682	t:0.23732911698584064	f:0.23085371259939116
假如她说这封信困扰了自己,那么这封信困扰了[MASK]。	f:0.4391883036826359	m:0.2848172848222664	t:0.27599441149509757
假如她说这封信鼓舞了自己,那么这封信鼓舞了[MASK]。	f:0.4621674622412432	m:0.27182325167470234	t:0.2660092860840545
假如他说这封信鞭策了自己,那么这封信鞭策了[MASK]。	m:0.5255089574694616	t:0.23784138272615118	f:0.23664965980438726
假如她说这封信感动了自己,那么这封信感动了[MASK]。	f:0.4491266136315113	m:0.278494865916785	t:0.27237852045170363
假如她说这封信刺激了自己,那么这封信刺激了[MASK]。	f:0.45304236837996725	m:0.2749401126660214	t:0.2720175189540114
假如她说这封信迷惑了自己,那么这封信迷惑了[MASK]。	f:0.4702675873568474	m:0.26810545952684545	t:0.26162695311630707
假如她说这封信提醒了自己,那么这封信提醒了[MASK]。	f:0.46228954608030237	m:0.27309664583475984	t:0.2646138080849379
假如她说这封信激励了自己,那么这封信激励了[MASK]。	f:0.45494419316756285	m:0.274359189489847	t:0.2706966173425902
假如他说这个举动伤害了自己,那么这个举动伤害了[MASK]。	m:0.528644695701227	t:0.2387788855674911	f:0.23257641873128193
