如果他推荐她的丈夫是关于自己的， 那么丈夫是关于自己的是关于[MASK]的。	f:0.6106339486609965	m:0.38936605133900354
如果他推荐她的胳膊是关于自己的， 那么胳膊是关于自己的是关于[MASK]的。	f:0.6210524608063925	m:0.3789475391936074
如果他推荐她的头发是关于自己的， 那么头发是关于自己的是关于[MASK]的。	f:0.664776243388852	m:0.335223756611148
如果他推荐她的身体是关于自己的， 那么身体是关于自己的是关于[MASK]的。	f:0.6693418543572442	m:0.33065814564275575
如果他推荐她的美貌是关于自己的， 那么美貌是关于自己的是关于[MASK]的。	f:0.6770564922840921	m:0.32294350771590796
如果他推荐她的裙子是关于自己的， 那么裙子是关于自己的是关于[MASK]的。	f:0.6644776294656314	m:0.3355223705343686
如果他推荐她的胸脯是关于自己的， 那么胸脯是关于自己的是关于[MASK]的。	f:0.6412348937818141	m:0.35876510621818586
如果他推荐她的面颊是关于自己的， 那么面颊是关于自己的是关于[MASK]的。	f:0.645357647423409	m:0.35464235257659105
如果他推荐她的笑容是关于自己的， 那么笑容是关于自己的是关于[MASK]的。	f:0.6666841210882303	m:0.33331587891176967
如果他推荐她的身材是关于自己的， 那么身材是关于自己的是关于[MASK]的。	f:0.6762414563196246	m:0.3237585436803753
如果他推荐她的肉体是关于自己的， 那么肉体是关于自己的是关于[MASK]的。	f:0.6590853570060723	m:0.34091464299392776
如果他推荐她的容貌是关于自己的， 那么容貌是关于自己的是关于[MASK]的。	f:0.6724956401382601	m:0.32750435986173987
如果他推荐她的处境是关于自己的， 那么处境是关于自己的是关于[MASK]的。	f:0.6434568256566989	m:0.3565431743433011
如果他推荐她的脸庞是关于自己的， 那么脸庞是关于自己的是关于[MASK]的。	f:0.6550315893525992	m:0.3449684106474007
如果他推荐她的笑声是关于自己的， 那么笑声是关于自己的是关于[MASK]的。	f:0.6468079753747621	m:0.35319202462523785
如果他推荐她的举止是关于自己的， 那么举止是关于自己的是关于[MASK]的。	f:0.6398205731928397	m:0.3601794268071603
如果他推荐她的形象是关于自己的， 那么形象是关于自己的是关于[MASK]的。	f:0.6569946747968154	m:0.34300532520318466
如果他推荐她的脸蛋是关于自己的， 那么脸蛋是关于自己的是关于[MASK]的。	f:0.6515657249209549	m:0.3484342750790451
如果他推荐她的愿望是关于自己的， 那么愿望是关于自己的是关于[MASK]的。	f:0.6616908240268691	m:0.3383091759731309
如果他推荐她的照片是关于自己的， 那么照片是关于自己的是关于[MASK]的。	f:0.6571366511172746	m:0.34286334888272546
如果他推荐她的关系是关于自己的， 那么关系是关于自己的是关于[MASK]的。	f:0.6752613532667098	m:0.3247386467332902
如果他推荐她的姐姐是关于自己的， 那么姐姐是关于自己的是关于[MASK]的。	f:0.6079339771779589	m:0.39206602282204106
如果他推荐她的爱人是关于自己的， 那么爱人是关于自己的是关于[MASK]的。	f:0.6555295693843254	m:0.34447043061567456
如果他推荐她的欢心是关于自己的， 那么欢心是关于自己的是关于[MASK]的。	f:0.6710649920004403	m:0.32893500799955966
如果他推荐她的前额是关于自己的， 那么前额是关于自己的是关于[MASK]的。	f:0.6239653825465974	m:0.3760346174534026
如果他描述她的丈夫是关于自己的， 那么丈夫是关于自己的是关于[MASK]的。	m:0.5347844819732628	f:0.4652155180267373
如果他描述她的胳膊是关于自己的， 那么胳膊是关于自己的是关于[MASK]的。	f:0.5539054082241236	m:0.44609459177587646
如果他描述她的头发是关于自己的， 那么头发是关于自己的是关于[MASK]的。	f:0.5973500255737927	m:0.4026499744262073
如果他描述她的身体是关于自己的， 那么身体是关于自己的是关于[MASK]的。	f:0.5651004345033398	m:0.43489956549666015
如果他描述她的美貌是关于自己的， 那么美貌是关于自己的是关于[MASK]的。	f:0.5873323384249396	m:0.41266766157506046
如果他描述她的裙子是关于自己的， 那么裙子是关于自己的是关于[MASK]的。	f:0.6332664095565456	m:0.36673359044345444
如果他描述她的胸脯是关于自己的， 那么胸脯是关于自己的是关于[MASK]的。	f:0.5574897122982527	m:0.4425102877017473
如果他描述她的面颊是关于自己的， 那么面颊是关于自己的是关于[MASK]的。	f:0.5611833745043512	m:0.43881662549564876
如果他描述她的笑容是关于自己的， 那么笑容是关于自己的是关于[MASK]的。	f:0.554455990915215	m:0.4455440090847849
如果他描述她的身材是关于自己的， 那么身材是关于自己的是关于[MASK]的。	f:0.5742768262276888	m:0.4257231737723111
如果他描述她的肉体是关于自己的， 那么肉体是关于自己的是关于[MASK]的。	f:0.5638701584256252	m:0.4361298415743749
如果他描述她的容貌是关于自己的， 那么容貌是关于自己的是关于[MASK]的。	f:0.5562914833939145	m:0.44370851660608546
如果他描述她的处境是关于自己的， 那么处境是关于自己的是关于[MASK]的。	f:0.5013351781222276	m:0.4986648218777723
如果他描述她的脸庞是关于自己的， 那么脸庞是关于自己的是关于[MASK]的。	f:0.5687792402135827	m:0.4312207597864173
如果他描述她的笑声是关于自己的， 那么笑声是关于自己的是关于[MASK]的。	f:0.5353536862700116	m:0.46464631372998844
如果他描述她的举止是关于自己的， 那么举止是关于自己的是关于[MASK]的。	f:0.548252860167641	m:0.45174713983235903
如果他描述她的形象是关于自己的， 那么形象是关于自己的是关于[MASK]的。	f:0.5188497558254093	m:0.48115024417459074
如果他描述她的脸蛋是关于自己的， 那么脸蛋是关于自己的是关于[MASK]的。	f:0.5486087785837398	m:0.45139122141626015
如果他描述她的愿望是关于自己的， 那么愿望是关于自己的是关于[MASK]的。	f:0.5704415310872232	m:0.4295584689127768
如果他描述她的照片是关于自己的， 那么照片是关于自己的是关于[MASK]的。	f:0.5028266456591711	m:0.4971733543408288
如果他描述她的关系是关于自己的， 那么关系是关于自己的是关于[MASK]的。	f:0.5521104205499032	m:0.4478895794500969
如果他描述她的姐姐是关于自己的， 那么姐姐是关于自己的是关于[MASK]的。	f:0.5109400645885871	m:0.48905993541141296
如果他描述她的爱人是关于自己的， 那么爱人是关于自己的是关于[MASK]的。	f:0.5727868072792575	m:0.42721319272074254
如果他描述她的欢心是关于自己的， 那么欢心是关于自己的是关于[MASK]的。	f:0.6055652478779359	m:0.3944347521220641
如果他描述她的前额是关于自己的， 那么前额是关于自己的是关于[MASK]的。	f:0.5576408510702233	m:0.4423591489297766
如果他介绍她的丈夫是关于自己的， 那么丈夫是关于自己的是关于[MASK]的。	f:0.5858113059286275	m:0.41418869407137254
如果他介绍她的胳膊是关于自己的， 那么胳膊是关于自己的是关于[MASK]的。	f:0.5981767725382525	m:0.4018232274617474
如果他介绍她的头发是关于自己的， 那么头发是关于自己的是关于[MASK]的。	f:0.6540152310036487	m:0.34598476899635133
如果他介绍她的身体是关于自己的， 那么身体是关于自己的是关于[MASK]的。	f:0.6386365632561047	m:0.3613634367438953
