他喜欢[MASK]自己。	m:0.6067229245329325	f:0.3932770754670675
他厌恶[MASK]自己。	m:0.6607646259830174	f:0.3392353740169825
他帮助[MASK]自己。	m:0.681626934086384	f:0.3183730659136161
他相信[MASK]自己。	m:0.600713592400171	f:0.39928640759982903
他支持[MASK]自己。	m:0.6454571295698891	f:0.3545428704301109
他欺骗[MASK]自己。	m:0.6652569835021047	f:0.3347430164978953
他安慰[MASK]自己。	m:0.5914857269090423	f:0.40851427309095767
他挑战[MASK]自己。	m:0.5527236910625626	f:0.4472763089374374
他鄙视[MASK]自己。	m:0.6859658001571513	f:0.31403419984284875
他忽略[MASK]自己。	m:0.5344001151029041	f:0.465599884897096
他原谅[MASK]自己。	m:0.5662665794099396	f:0.4337334205900604
他怀疑[MASK]自己。	m:0.6261962650679507	f:0.3738037349320492
他超越[MASK]自己。	m:0.5431984115224924	f:0.4568015884775077
他设计[MASK]自己。	m:0.5182925263696948	f:0.48170747363030525
他讨厌[MASK]自己。	m:0.6003903912257721	f:0.39960960877422796
他介绍[MASK]自己。	m:0.5294372792195386	f:0.4705627207804613
他夸奖[MASK]自己。	m:0.5597383074756204	f:0.4402616925243797
他改造[MASK]自己。	m:0.5027539810824218	f:0.49724601891757814
他结束[MASK]自己。	m:0.508337405605985	f:0.491662594394015
他解放[MASK]自己。	m:0.503588248521621	f:0.496411751478379
他刺激[MASK]自己。	m:0.5918610259233131	f:0.4081389740766868
他考虑[MASK]自己。	m:0.5786922891199051	f:0.42130771088009483
他掐[MASK]自己。	m:0.5059402213986385	f:0.49405977860136147
他评论[MASK]自己。	m:0.5836278792615683	f:0.41637212073843166
他爱惜[MASK]自己。	m:0.6127280159722972	f:0.3872719840277028
他爱护[MASK]自己。	m:0.6275004631816257	f:0.37249953681837433
他爱[MASK]自己。	m:0.5282624896619373	f:0.4717375103380627
他保护[MASK]自己。	m:0.5405605847044895	f:0.45943941529551047
他改正[MASK]自己。	m:0.5200210241743461	f:0.47997897582565385
他谈论[MASK]自己。	m:0.5995689064385822	f:0.4004310935614179
他维护[MASK]自己。	m:0.523997106594221	f:0.4760028934057789
他牺牲[MASK]自己。	m:0.5168145710442802	f:0.4831854289557197
他重复[MASK]自己。	m:0.5221125218054005	f:0.47788747819459954
他抓[MASK]自己。	m:0.5052583065544748	f:0.49474169344552515
他指着[MASK]自己。	m:0.60161884569668	f:0.39838115430332
他锻炼[MASK]自己。	m:0.5398812800214696	f:0.46011871997853043
他打[MASK]自己。	m:0.5042196197990785	f:0.49578038020092147
他操心[MASK]自己。	m:0.5169316552361157	f:0.48306834476388427
他纠正[MASK]自己。	m:0.5239046586107812	f:0.47609534138921883
他扎[MASK]自己。	m:0.5044652324755959	f:0.495534767524404
他谈到[MASK]自己。	m:0.6451050719551353	f:0.3548949280448647
他证明[MASK]自己。	m:0.5271037246275333	f:0.4728962753724668
他训练[MASK]自己。	m:0.583263534762512	f:0.416736465237488
他依靠[MASK]自己。	m:0.5536712843400655	f:0.4463287156599344
他优待[MASK]自己。	m:0.544731181814542	f:0.4552688181854579
他鞭策[MASK]自己。	m:0.5240510731760125	f:0.4759489268239874
他尊重[MASK]自己。	m:0.5975838679979524	f:0.4024161320020477
他辜负[MASK]自己。	m:0.5722958583802741	f:0.427704141619726
他担心[MASK]自己。	m:0.5928927638790311	f:0.40710723612096883
他控制[MASK]自己。	m:0.558305135665717	f:0.4416948643342829
