如果他只要将手中的剑举起，看着一抹黑影无声无息地掠向了自己，那么黑影掠向了[MASK]。	m:0.5037445582195089	t:0.24936532638432166	f:0.24689011539616948
如果新的门就在眼前，他却不知道那后面是什么在等待自己，那么后面有东西在等待[MASK]。	m:0.5167099792936806	t:0.24317199132992437	f:0.24011802937639512
如果她想那些东西若被搜查着，日本兵的刺刀会刺通了自己，那么刺刀刺痛了[MASK]。	f:0.5293661391662775	m:0.23724394588711334	t:0.23338991494660916
如果她感到它在暗中牢牢地控制着自己，那么它在控制[MASK]。	t:0.3898012501760752	m:0.3089409613138129	f:0.301257788510112
如果男子知道旋律已经以虎钳般的力量抓住了自己，那么旋律抓住了[MASK]。	m:0.343825117162408	t:0.3327732290184583	f:0.3234016538191336
如果他认为猝死会逼近自己，那么猝死逼近[MASK]。	m:0.48096900835809403	t:0.2604763888046444	f:0.25855460283726167
如果我甚至感到土黄色的地面都在威胁着自己，那么地面在威胁[MASK]。	m:0.2547562905539857	w:0.2506964834223996	t:0.24778342540043014	f:0.24676380062318454
如果杰克感到错综复杂的各类情感像刀子一样切割自己，那么情感像刀子在切割[MASK]。	m:0.36234725768840753	t:0.32062949781624756	f:0.3170232444953448
如果适才他只是假定了几十只摄影机的黑洞洞的独眼包围着自己，那么独眼包围着[MASK]。	m:0.506982949770587	t:0.24829365025399952	f:0.24472339997541345
如果她只是无形中感到杰克那无拘无束的态度在不断地威胁着自己，那么杰克的态度在威胁[MASK]。	f:0.3539430515817703	m:0.34152490782491557	t:0.30453204059331407
如果她觉着有个东西狠狠垫了自己一下，那么有东西垫了[MASK]。	f:0.43518201817647606	m:0.29077183275735313	t:0.27404614906617086
如果他刚装了一副假牙，还拿定了这种奶酪最合适自己，那么这种奶酪最适合[MASK]。	m:0.4891455119369914	t:0.25582576245544325	f:0.2550287256075653
如果他还不懂得瘟疫在威胁着自己，那么瘟疫威胁着[MASK]。	m:0.5121765735108708	t:0.24469729593060827	f:0.24312613055852103
如果走出帐篷时，他感到那早已忘掉的高山雪夜的死一般的寂静笼罩着自己，那么寂静笼罩着[MASK]。	m:0.491487533260802	t:0.25487210873471516	f:0.25364035800448287
如果他觉得可能是风里的那个东西抓住了克洛维斯，他害怕那东西也会抓住自己，那么他害怕那东西会抓住[MASK]。	m:0.4433204079050114	t:0.28722786527197164	f:0.2694517268230169
