她知道他经常批评[MASK]自己。	m:0.6949996430127423	f:0.30500035698725775
她知道他把[MASK]自己的书送给了朋友。	m:0.6016870430484585	f:0.39831295695154145
她担心他会批评[MASK]自己。	m:0.7144001649644682	f:0.2855998350355318
她知道他害了[MASK]自己。	m:0.5489273685662776	f:0.45107263143372245
她觉得他对[MASK]自己没信心。	m:0.5887164822303085	f:0.4112835177696916
她认为他的骄傲害了[MASK]自己。	m:0.6769187174942628	f:0.3230812825057372
她知道他告诉过她有关[MASK]自己的工作。	f:0.5047738833652515	m:0.4952261166347484
她说他跟她谈过[MASK]自己的事。	m:0.6105717268576003	f:0.38942827314239964
她认为他从她那里听说了[MASK]自己的分数。	m:0.6780043367376161	f:0.32199566326238394
她知道他在她家洗[MASK]自己的照片。	f:0.5001584351650032	m:0.49984156483499675
她不喜欢他管[MASK]自己的事。	m:0.505944945703516	f:0.49405505429648394
她知道他的报告害了[MASK]自己。	m:0.566640762542026	f:0.43335923745797394
她的话暗示他的信害了[MASK]自己。	m:0.6321207925615798	f:0.3678792074384201
她认为他恨[MASK]自己。	m:0.553892666372553	f:0.44610733362744703
她说他喜欢[MASK]自己。	m:0.6239769845305165	f:0.37602301546948347
她告诉别人他觉得[MASK]自己明年可以考进好大学。	m:0.6238220691000973	f:0.37617793089990265
她说他批评了[MASK]自己。	m:0.7158949276748304	f:0.28410507232516957
她觉得他在批评[MASK]自己。	m:0.67654244125613	f:0.32345755874387
她认为他知道[MASK]自己的朋友是一个好人。	m:0.7019764247378447	f:0.2980235752621552
她觉得他不喜欢[MASK]自己。	m:0.6424362410916227	f:0.35756375890837727
