假如他说她反思自己,那么她反思[MASK]自己。	m:0.5672286753172908	f:0.4327713246827093
假如他说她反省自己,那么她反省[MASK]自己。	m:0.5609678838962507	f:0.43903211610374937
假如他说她坦白自己,那么她坦白[MASK]自己。	m:0.5820710617321364	f:0.41792893826786354
假如他说她迷失自己,那么她迷失[MASK]自己。	m:0.5871935135839713	f:0.4128064864160288
假如他说她克制自己,那么她克制[MASK]自己。	m:0.6073433821440092	f:0.3926566178559909
假如他说她检讨自己,那么她检讨[MASK]自己。	m:0.5433401118170579	f:0.4566598881829421
假如他说她放松自己,那么她放松[MASK]自己。	m:0.5074452562918353	f:0.4925547437081646
假如他说她磨练自己,那么她磨练[MASK]自己。	m:0.5314059524555237	f:0.4685940475444763
假如他说她奉献自己,那么她奉献[MASK]自己。	m:0.5051979785034283	f:0.49480202149657165
假如他说她调整自己,那么她调整[MASK]自己。	m:0.509790130234329	f:0.49020986976567105
假如他说她提升自己,那么她提升[MASK]自己。	m:0.5260565813926411	f:0.4739434186073589
假如他说她炫耀自己,那么她炫耀[MASK]自己。	m:0.565905253241658	f:0.4340947467583421
假如他说她调节自己,那么她调节[MASK]自己。	m:0.5250828871186118	f:0.4749171128813882
假如他说她坚持自己,那么她坚持[MASK]自己。	m:0.5329449993020932	f:0.4670550006979069
假如他说她交代自己,那么她交代[MASK]自己。	m:0.5891516504507188	f:0.4108483495492812
假如他说她计较自己,那么她计较[MASK]自己。	m:0.5587365590193114	f:0.44126344098068865
假如他说她检讨自己,那么她检讨[MASK]自己。	m:0.5433401118170579	f:0.4566598881829421
假如他说她卖弄自己,那么她卖弄[MASK]自己。	m:0.5221207022800562	f:0.47787929771994375
假如他说她表达自己,那么她表达[MASK]自己。	m:0.5205002456973097	f:0.4794997543026902
假如他说她表现自己,那么她表现[MASK]自己。	m:0.5249538084857706	f:0.4750461915142295
假如他说她扭伤自己,那么她扭伤[MASK]自己。	m:0.5904721813736555	f:0.40952781862634446
