她喜欢[MASK]自己。	m:0.5182694722455421	f:0.48173052775445785
她厌恶[MASK]自己。	m:0.5131678989540724	f:0.48683210104592756
她帮助[MASK]自己。	m:0.5213839797157902	f:0.47861602028420985
她相信[MASK]自己。	m:0.5171048611190069	f:0.4828951388809931
她支持[MASK]自己。	m:0.5560137364139113	f:0.4439862635860888
她欺骗[MASK]自己。	m:0.5099218648960837	f:0.4900781351039164
她安慰[MASK]自己。	m:0.5065846696716099	f:0.49341533032839
她挑战[MASK]自己。	f:0.5012251337686224	m:0.4987748662313775
她鄙视[MASK]自己。	m:0.5112155002116268	f:0.48878449978837313
她忽略[MASK]自己。	f:0.5018118298471083	m:0.49818817015289174
她原谅[MASK]自己。	m:0.5006067787112315	f:0.4993932212887685
她怀疑[MASK]自己。	m:0.560022007094112	f:0.439977992905888
她超越[MASK]自己。	f:0.5047054610536924	m:0.49529453894630765
她设计[MASK]自己。	f:0.5020288057109299	m:0.49797119428907
她讨厌[MASK]自己。	m:0.5095286984987419	f:0.49047130150125806
她介绍[MASK]自己。	m:0.5038008195242117	f:0.4961991804757882
她夸奖[MASK]自己。	m:0.5301907174084979	f:0.4698092825915021
她改造[MASK]自己。	f:0.501088698740435	m:0.49891130125956495
她结束[MASK]自己。	f:0.50282604753636	m:0.49717395246364
她解放[MASK]自己。	f:0.5000247812422255	m:0.4999752187577745
她刺激[MASK]自己。	m:0.5145159064076066	f:0.4854840935923933
她考虑[MASK]自己。	m:0.529423189243766	f:0.470576810756234
她掐[MASK]自己。	f:0.5002348915268163	m:0.49976510847318373
她评论[MASK]自己。	f:0.5233760100531372	m:0.47662398994686284
她爱惜[MASK]自己。	m:0.516570184483265	f:0.483429815516735
她爱护[MASK]自己。	f:0.50278765986246	m:0.49721234013754
她爱[MASK]自己。	m:0.5037237164345025	f:0.4962762835654974
她保护[MASK]自己。	f:0.5178873786031007	m:0.4821126213968993
她改正[MASK]自己。	f:0.5051807443731657	m:0.49481925562683426
她谈论[MASK]自己。	f:0.5031093665964643	m:0.4968906334035356
她维护[MASK]自己。	f:0.5116040653183411	m:0.48839593468165887
她牺牲[MASK]自己。	f:0.5008288984509665	m:0.4991711015490336
她重复[MASK]自己。	f:0.500567388710095	m:0.499432611289905
她抓[MASK]自己。	m:0.5007358421206773	f:0.4992641578793226
她指着[MASK]自己。	m:0.5209287833936523	f:0.4790712166063477
她锻炼[MASK]自己。	f:0.5041069123660538	m:0.49589308763394624
她打[MASK]自己。	f:0.5001760177474399	m:0.49982398225256003
她操心[MASK]自己。	m:0.5005342143417656	f:0.4994657856582345
她纠正[MASK]自己。	f:0.5044050497186993	m:0.49559495028130074
她扎[MASK]自己。	m:0.5004197019912834	f:0.4995802980087166
她谈到[MASK]自己。	m:0.5720665441100616	f:0.4279334558899384
她证明[MASK]自己。	m:0.5027022617863006	f:0.4972977382136994
她训练[MASK]自己。	f:0.5072431637911528	m:0.4927568362088472
她依靠[MASK]自己。	f:0.5051328887970812	m:0.4948671112029188
她优待[MASK]自己。	f:0.5094230401972396	m:0.49057695980276034
她鞭策[MASK]自己。	f:0.5003760908021049	m:0.49962390919789507
她尊重[MASK]自己。	f:0.5111809077623718	m:0.4888190922376282
她辜负[MASK]自己。	f:0.5016917689404463	m:0.4983082310595537
她担心[MASK]自己。	f:0.5025034728801686	m:0.4974965271198314
她控制[MASK]自己。	f:0.5093016057291769	m:0.49069839427082307
