如果她们觉得她是在卖弄自己，那么她在卖弄[MASK]。	f:0.5379264862194025	m:0.46207351378059747
如果我觉得他是想淹死自己，那么他想淹死[MASK]。	m:0.641201683150454	f:0.3587983168495459
如果我看她是故意显夸自己，那么她显夸[MASK]。	f:0.5051125014921977	m:0.4948874985078023
如果我知道他又开始在责备自己，那么他责备[MASK]。	m:0.6056378910992608	f:0.3943621089007392
如果我也提醒了他注意自己，那么他注意[MASK]。	m:0.5605453729718156	f:0.4394546270281843
如果我发现她的唯一缺陷是她有时有点控制不住自己，那么她控制不住[MASK]。	f:0.603665000204073	m:0.39633499979592696
如果她想这个美国人也许一直都躺在紫外线灯下晒黑自己，那么这个美国人晒黑[MASK]。	m:0.5128240784931218	f:0.4871759215068782
如果请你不要以为我只是考虑自己，那么我考虑[MASK]。	m:0.5164837545004378	f:0.4835162454995622
如果我告诉了她我刚才做了什么和我为什么克制住了自己，那么我克制[MASK]。	m:0.507539938307586	f:0.4924600616924139
如果他埋怨她只顾着自己，那么她只顾[MASK]。	m:0.5721456068499756	f:0.4278543931500243
如果他认为她特意在考虑为他牺牲自己，那么她考虑牺牲[MASK]。	m:0.6041293243420004	f:0.39587067565799955
如果她落在后面，奇怪他竟会只顾自己，那么他只顾[MASK]。	m:0.5958278413985828	f:0.40417215860141714
如果我觉得他全靠香槟酒在支撑自己，那么他支撑[MASK]。	m:0.5897426893288794	f:0.4102573106711206
如果我们看到他坐在书桌前，准备结果自己，那么他结果[MASK]。	m:0.5302844264415807	f:0.46971557355841936
如果太阳好像早早就升起来了，想看看桑乔怎样折腾自己，那么桑乔折腾[MASK]。	m:0.5089412357769717	f:0.4910587642230283
如果尽管我痛不欲生，但我不愿意她这样折磨自己，那么她折磨[MASK]。	f:0.5334874094621874	m:0.4665125905378126
如果她无法简捷地理解女人为何要如此装饰自己，那么女人装饰[MASK]。	f:0.5288929202136614	m:0.4711070797863386
如果我们知道她已经能够照顾自己了，那么她照顾[MASK]。	f:0.553838998879813	m:0.446161001120187
