他知道她经常批评[MASK]自己。	m:0.554893248793146	f:0.44510675120685406
他知道她把[MASK]自己的书送给了朋友。	f:0.5383286520842333	m:0.46167134791576675
他担心她会批评[MASK]自己。	m:0.5665636121599437	f:0.43343638784005634
他知道她害了[MASK]自己。	f:0.5006211285078241	m:0.4993788714921758
他觉得她对[MASK]自己没信心。	m:0.6088038503434263	f:0.3911961496565736
他认为她的骄傲害了[MASK]自己。	f:0.5132401396601257	m:0.4867598603398743
他知道她告诉过他有关[MASK]自己的工作。	m:0.5538242354634871	f:0.44617576453651275
他说她跟他谈过[MASK]自己的事。	m:0.5623712159575678	f:0.4376287840424322
他认为她从他那里听说了[MASK]自己的分数。	f:0.5552109469451875	m:0.4447890530548124
他知道她在他家洗[MASK]自己的照片。	m:0.5003778425024568	f:0.49962215749754324
他不喜欢她管[MASK]自己的事。	m:0.5108120103783343	f:0.4891879896216657
他知道她的报告害了[MASK]自己。	f:0.5331051500093852	m:0.4668948499906148
他的话暗示她的信害了[MASK]自己。	f:0.5284124418827139	m:0.4715875581172862
他认为她恨[MASK]自己。	m:0.5558090905815198	f:0.4441909094184801
他说她喜欢[MASK]自己。	m:0.6024694244936882	f:0.39753057550631177
他告诉别人她觉得[MASK]自己明年可以考进好大学。	f:0.5782766659972487	m:0.42172333400275136
他说她批评了[MASK]自己。	f:0.5271594112393343	m:0.4728405887606658
他觉得她在批评[MASK]自己。	m:0.5142863425237895	f:0.4857136574762104
他认为她知道[MASK]自己的朋友是一个好人。	m:0.531857303551164	f:0.468142696448836
他觉得她不喜欢[MASK]自己。	m:0.6331213315035453	f:0.3668786684964547
