假如他说她诬陷自己,那么她诬陷[MASK]。	m:0.6386273039972099	f:0.36137269600279015
假如他说她拥抱自己,那么她拥抱[MASK]。	m:0.6083575828877199	f:0.39164241711228015
假如他说她离开自己,那么她离开[MASK]。	m:0.6279729261780288	f:0.37202707382197114
假如他说她打扰自己,那么她打扰[MASK]。	m:0.6663977661527748	f:0.3336022338472251
假如他说她超过自己,那么她超过[MASK]。	m:0.664004216973282	f:0.335995783026718
假如他说她忘了自己,那么她忘了[MASK]。	m:0.5750920613644347	f:0.42490793863556525
假如他说她回答自己,那么她回答[MASK]。	m:0.6139530123728861	f:0.38604698762711387
假如他说她表扬自己,那么她表扬[MASK]。	m:0.591070560508317	f:0.408929439491683
假如他说她反对自己,那么她反对[MASK]。	m:0.6755941851090954	f:0.3244058148909046
假如他说她调查自己,那么她调查[MASK]。	m:0.6022523455313833	f:0.3977476544686167
假如他说她拜访自己,那么她拜访[MASK]。	m:0.691869653149554	f:0.3081303468504461
假如他说她偷听自己,那么她偷听[MASK]。	m:0.6168043093912976	f:0.38319569060870234
假如他说她暗恋自己,那么她暗恋[MASK]。	m:0.6903201896145177	f:0.3096798103854823
假如他说她邀请自己,那么她邀请[MASK]。	m:0.6496044838744417	f:0.3503955161255582
假如他说她等待自己,那么她等待[MASK]。	m:0.6618959042736068	f:0.33810409572639316
假如他说她嫉妒自己,那么她嫉妒[MASK]。	m:0.5942787834638692	f:0.4057212165361307
假如他说她羡慕自己,那么她羡慕[MASK]。	m:0.6639374255606412	f:0.3360625744393588
假如他说她搭讪自己,那么她搭讪[MASK]。	m:0.5773066430916456	f:0.4226933569083544
假如他说她监视自己,那么她监视[MASK]。	m:0.629404170680232	f:0.37059582931976803
假如他说她吵醒自己,那么她吵醒[MASK]。	m:0.555275919587772	f:0.44472408041222794
假如他说她激怒自己,那么她激怒[MASK]。	m:0.6827563579748267	f:0.3172436420251734
假如他说她模仿自己,那么她模仿[MASK]。	m:0.6447734279893108	f:0.35522657201068913
假如他说她欺负自己,那么她欺负[MASK]。	m:0.6703053692055747	f:0.3296946307944252
假如他说她追随自己,那么她追随[MASK]。	m:0.6525644310595275	f:0.3474355689404725
假如他说她回避自己,那么她回避[MASK]。	m:0.6327625843211911	f:0.3672374156788088
假如他说她思念自己,那么她思念[MASK]。	m:0.6125078131907458	f:0.3874921868092542
假如他说她仰慕自己,那么她仰慕[MASK]。	m:0.6628387893404468	f:0.33716121065955323
假如他说她冷落自己,那么她冷落[MASK]。	m:0.5120581733706184	f:0.48794182662938157
假如他说她靠近自己,那么她靠近[MASK]。	m:0.6789420974650069	f:0.32105790253499306
假如他说她辅导自己,那么她辅导[MASK]。	m:0.6066975999398001	f:0.3933024000602
假如他说她干扰自己,那么她干扰[MASK]。	m:0.6607784499573189	f:0.33922155004268106
假如他说她加入自己,那么她加入[MASK]。	m:0.6484769909980759	f:0.3515230090019242
假如他说她接近自己,那么她接近[MASK]。	m:0.6816813543262773	f:0.3183186456737227
假如他说她看望自己,那么她看望[MASK]。	m:0.6677292554892517	f:0.33227074451074834
假如他说她捞自己,那么她捞[MASK]。	m:0.5290401048490949	f:0.4709598951509051
假如他说她欢迎自己,那么她欢迎[MASK]。	m:0.6654973071675069	f:0.3345026928324931
假如他说她勾引自己,那么她勾引[MASK]。	m:0.6240095624842984	f:0.3759904375157016
假如他说她勾结自己,那么她勾结[MASK]。	m:0.6398734152332477	f:0.36012658476675236
假如他说她等自己,那么她等[MASK]。	m:0.5362458295991126	f:0.4637541704008874
假如他说她等候自己,那么她等候[MASK]。	m:0.6361846064466165	f:0.36381539355338355
假如他说她挤自己,那么她挤[MASK]。	m:0.5415896942471639	f:0.45841030575283614
假如他说她排挤自己,那么她排挤[MASK]。	m:0.6285466092129893	f:0.37145339078701073
假如他说她欺压自己,那么她欺压[MASK]。	m:0.6722375264907607	f:0.32776247350923937
假如他说她探望自己,那么她探望[MASK]。	m:0.669828748117927	f:0.3301712518820729
假如他说她信任自己,那么她信任[MASK]。	m:0.5642516502293291	f:0.4357483497706709
假如他说她响应自己,那么她响应[MASK]。	m:0.6134843808805152	f:0.3865156191194848
假如他说她学习自己,那么她学习[MASK]。	m:0.6090712226793527	f:0.3909287773206474
假如他说她咬自己,那么她咬[MASK]。	m:0.5901692212786145	f:0.40983077872138546
假如他说她消灭自己,那么她消灭[MASK]。	m:0.5081618218503	f:0.4918381781497
假如他说她追赶自己,那么她追赶[MASK]。	m:0.6173217772879631	f:0.3826782227120369
假如他说她追求自己,那么她追求[MASK]。	m:0.6342284954000216	f:0.3657715045999784
假如他说她阻挡自己,那么她阻挡[MASK]。	m:0.6051528216194635	f:0.39484717838053646
假如他说她孝敬自己,那么她孝敬[MASK]。	m:0.6076568426954758	f:0.3923431573045242
假如他说她赢自己,那么她赢[MASK]。	m:0.5684593618242537	f:0.4315406381757462
假如他说她招呼自己,那么她招呼[MASK]。	m:0.6224994122901427	f:0.37750058770985734
假如他说她指导自己,那么她指导[MASK]。	m:0.6244455609635063	f:0.3755544390364937
假如他说她支援自己,那么她支援[MASK]。	m:0.66049681018859	f:0.33950318981141014
假如他说她替换自己,那么她替换[MASK]。	m:0.5322087277220603	f:0.4677912722779396
假如他说她通知自己,那么她通知[MASK]。	m:0.6478791149875617	f:0.3521208850124382
假如他说她吸引自己,那么她吸引[MASK]。	m:0.6237500368057721	f:0.3762499631942278
假如他说她影响自己,那么她影响[MASK]。	m:0.6849990371881466	f:0.3150009628118534
假如他说她杀害自己,那么她杀害[MASK]。	m:0.6022229664707753	f:0.39777703352922467
假如他说她赔偿自己,那么她赔偿[MASK]。	m:0.566399398886872	f:0.433600601113128
假如他说她衬托自己,那么她衬托[MASK]。	m:0.651426084553483	f:0.3485739154465169
假如他说她扣留自己,那么她扣留[MASK]。	m:0.5835451591699271	f:0.416454840830073
假如他说她恐吓自己,那么她恐吓[MASK]。	m:0.6480375987395022	f:0.3519624012604978
假如他说她联络自己,那么她联络[MASK]。	m:0.6634199944189433	f:0.3365800055810566
假如他说她忍受自己,那么她忍受[MASK]。	m:0.5934000328501242	f:0.4065999671498758
假如他说她请示自己,那么她请示[MASK]。	m:0.6128074451225263	f:0.3871925548774737
假如他说她算计自己,那么她算计[MASK]。	m:0.5741944331819668	f:0.4258055668180332
