假如她告诉他一个关于自己的秘密， 那么秘密是关于[MASK]的。	m:0.5933255828480315	f:0.4066744171519686
假如她寄给他一封关于自己的信， 那么信是关于[MASK]的。	m:0.5606550721815747	f:0.43934492781842527
假如她送给他一本关于自己的书， 那么书是关于[MASK]的。	m:0.6377937406639366	f:0.36220625933606343
假如她描述给他一个关于自己的梦， 那么梦是关于[MASK]的。	m:0.6821609375777088	f:0.31783906242229126
假如她解释给他一个关于自己的决定， 那么决定是关于[MASK]的。	m:0.632138710809742	f:0.367861289190258
假如她展示给他一幅关于自己的画， 那么画是关于[MASK]的。	m:0.6442815121240094	f:0.35571848787599053
假如她讲述给他一个关于自己的故事， 那么故事是关于[MASK]的。	m:0.6523630024094383	f:0.3476369975905616
假如她编写给他一首关于自己的诗， 那么诗是关于[MASK]的。	m:0.6795474224148551	f:0.3204525775851449
假如她演示给他一个关于自己的技巧， 那么技巧是关于[MASK]的。	m:0.6316347454373483	f:0.3683652545626517
假如她描述给他一场关于自己的经历， 那么经历是关于[MASK]的。	m:0.699086501597375	f:0.30091349840262493
假如她回忆给他一段关于自己的往事， 那么往事是关于[MASK]的。	m:0.6265857151158678	f:0.3734142848841322
假如她给他看了一张关于自己的照片， 那么照片是关于[MASK]的。	m:0.6310009153449662	f:0.36899908465503384
假如她发给他一条关于自己的消息， 那么消息是关于[MASK]的。	m:0.5711961739393167	f:0.42880382606068335
假如她写给他一篇关于自己的文章， 那么文章是关于[MASK]的。	m:0.6451340063806006	f:0.3548659936193993
假如她展示给他一张关于自己的地图， 那么地图是关于[MASK]的。	m:0.6692056189656332	f:0.33079438103436676
假如她讲给他一个关于自己的笑话， 那么笑话是关于[MASK]的。	m:0.6308587904844701	f:0.3691412095155299
假如她传给他一个关于自己的文件， 那么文件是关于[MASK]的。	m:0.6399976494346292	f:0.36000235056537083
假如她绘制给他一幅关于自己的草图， 那么草图是关于[MASK]的。	m:0.6628619136102002	f:0.33713808638979975
假如她提供给他一项关于自己的建议， 那么建议是关于[MASK]的。	m:0.6135004735478159	f:0.38649952645218405
假如她演唱给他一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	m:0.6446121708318178	f:0.3553878291681822
假如她设计给他一个关于自己的项目， 那么项目是关于[MASK]的。	m:0.647163067750725	f:0.352836932249275
假如她讲述给他一段关于自己的历史， 那么历史是关于[MASK]的。	m:0.6917611921416437	f:0.30823880785835633
假如她推荐给他一本关于自己的传记， 那么传记是关于[MASK]的。	m:0.6511076634062225	f:0.3488923365937775
假如她解释给他一个关于自己的观点， 那么观点是关于[MASK]的。	m:0.657066292677524	f:0.3429337073224761
假如她分享给他一篇关于自己的论文， 那么论文是关于[MASK]的。	m:0.6529403390197568	f:0.34705966098024316
假如她报告给他一项关于自己的研究， 那么研究是关于[MASK]的。	m:0.6584974587719891	f:0.34150254122801094
假如她送给他一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	m:0.6214392265472566	f:0.3785607734527433
假如她展示给他一份关于自己的简历， 那么简历是关于[MASK]的。	m:0.6044863987591095	f:0.3955136012408905
假如她描绘给他一幅关于自己的肖像， 那么肖像是关于[MASK]的。	m:0.6844835501090154	f:0.3155164498909847
假如她讨论给他一个关于自己的话题， 那么话题是关于[MASK]的。	m:0.6271410299872849	f:0.37285897001271506
假如她汇报给他一项关于自己的成就， 那么成就是关于[MASK]的。	m:0.6562325268529378	f:0.34376747314706235
假如她寄给他一件关于自己的物品， 那么物品是关于[MASK]的。	m:0.6252822693485716	f:0.3747177306514285
假如她翻译给他一篇关于自己的文章， 那么文章是关于[MASK]的。	m:0.6844352639272092	f:0.3155647360727909
假如她编排给他一个关于自己的节目， 那么节目是关于[MASK]的。	m:0.5852715403741331	f:0.41472845962586685
假如她演示给他一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	m:0.5817597280978728	f:0.4182402719021272
假如她朗读给他一封关于自己的信件， 那么信件是关于[MASK]的。	m:0.6325272868390875	f:0.3674727131609124
假如她发布给他一条关于自己的公告， 那么公告是关于[MASK]的。	m:0.5545378718599724	f:0.44546212814002756
假如她策划给他一个关于自己的活动， 那么活动是关于[MASK]的。	m:0.6176983172687514	f:0.38230168273124876
假如她陈述给他一份关于自己的声明， 那么声明是关于[MASK]的。	m:0.670179562307347	f:0.329820437692653
假如她发送给他一条关于自己的通知， 那么通知是关于[MASK]的。	m:0.5675839639837595	f:0.4324160360162404
