假如他告诉她一个关于自己的秘密， 那么秘密是关于[MASK]的。	m:0.5955215009038696	f:0.40447849909613054
假如他寄给她一封关于自己的信， 那么信是关于[MASK]的。	m:0.5544656132943238	f:0.44553438670567624
假如他送给她一本关于自己的书， 那么书是关于[MASK]的。	m:0.5531387712013344	f:0.4468612287986657
假如他描述给她一个关于自己的梦， 那么梦是关于[MASK]的。	f:0.5425835595505817	m:0.4574164404494183
假如他解释给她一个关于自己的决定， 那么决定是关于[MASK]的。	m:0.5411037697048184	f:0.45889623029518156
假如他展示给她一幅关于自己的画， 那么画是关于[MASK]的。	f:0.5451292082844182	m:0.4548707917155818
假如他讲述给她一个关于自己的故事， 那么故事是关于[MASK]的。	m:0.5158184039796518	f:0.4841815960203481
假如他编写给她一首关于自己的诗， 那么诗是关于[MASK]的。	f:0.5952111690495065	m:0.40478883095049345
假如他演示给她一个关于自己的技巧， 那么技巧是关于[MASK]的。	m:0.5352989087397124	f:0.46470109126028747
假如他描述给她一场关于自己的经历， 那么经历是关于[MASK]的。	f:0.572497904440195	m:0.42750209555980506
假如他回忆给她一段关于自己的往事， 那么往事是关于[MASK]的。	m:0.5668335877685267	f:0.4331664122314733
假如他给她看了一张关于自己的照片， 那么照片是关于[MASK]的。	m:0.5631325145637134	f:0.43686748543628656
假如他发给她一条关于自己的消息， 那么消息是关于[MASK]的。	m:0.5012117898580187	f:0.4987882101419812
假如他写给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5235171566457164	m:0.47648284335428365
假如他展示给她一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.5472538148546796	m:0.4527461851453204
假如他讲给她一个关于自己的笑话， 那么笑话是关于[MASK]的。	m:0.5756705407434464	f:0.4243294592565535
假如他传给她一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5173471133811455	m:0.4826528866188546
假如他绘制给她一幅关于自己的草图， 那么草图是关于[MASK]的。	f:0.562612885008222	m:0.4373871149917779
假如他提供给她一项关于自己的建议， 那么建议是关于[MASK]的。	f:0.5032305565937683	m:0.4967694434062317
假如他演唱给她一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	f:0.5960036561246672	m:0.4039963438753328
假如他设计给她一个关于自己的项目， 那么项目是关于[MASK]的。	m:0.5469560367967525	f:0.4530439632032476
假如他讲述给她一段关于自己的历史， 那么历史是关于[MASK]的。	f:0.6152943628070603	m:0.3847056371929397
假如他推荐给她一本关于自己的传记， 那么传记是关于[MASK]的。	f:0.5097915825404544	m:0.49020841745954563
假如他解释给她一个关于自己的观点， 那么观点是关于[MASK]的。	m:0.511216755002721	f:0.488783244997279
假如他分享给她一篇关于自己的论文， 那么论文是关于[MASK]的。	m:0.5110963837783513	f:0.4889036162216488
假如他报告给她一项关于自己的研究， 那么研究是关于[MASK]的。	f:0.576780877791234	m:0.423219122208766
假如他送给她一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	f:0.570549154965859	m:0.429450845034141
假如他展示给她一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.5110850048925267	m:0.48891499510747327
假如他描绘给她一幅关于自己的肖像， 那么肖像是关于[MASK]的。	f:0.5716401752478233	m:0.42835982475217665
假如他讨论给她一个关于自己的话题， 那么话题是关于[MASK]的。	m:0.5312009127950612	f:0.4687990872049388
假如他汇报给她一项关于自己的成就， 那么成就是关于[MASK]的。	f:0.5022029436140121	m:0.497797056385988
假如他寄给她一件关于自己的物品， 那么物品是关于[MASK]的。	m:0.5584641552005538	f:0.4415358447994462
假如他翻译给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5236111674175145	m:0.47638883258248543
假如他编排给她一个关于自己的节目， 那么节目是关于[MASK]的。	f:0.6065556316119628	m:0.3934443683880371
假如他演示给她一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	f:0.5407373400087929	m:0.459262659991207
假如他朗读给她一封关于自己的信件， 那么信件是关于[MASK]的。	m:0.5348999983422319	f:0.46510000165776805
假如他发布给她一条关于自己的公告， 那么公告是关于[MASK]的。	m:0.5268370954096655	f:0.47316290459033455
假如他策划给她一个关于自己的活动， 那么活动是关于[MASK]的。	f:0.5930366696570956	m:0.40696333034290455
假如他陈述给她一份关于自己的声明， 那么声明是关于[MASK]的。	m:0.5346730177442663	f:0.46532698225573366
假如他发送给她一条关于自己的通知， 那么通知是关于[MASK]的。	m:0.5077380319813759	f:0.49226196801862415
