不管他是否原谅[MASK]自己.	m:0.7138325878165832	f:0.28616741218341685
赫尔曼问[MASK]自己。	m:0.5835951433930314	f:0.4164048566069685
原始的欲又来了，一种百战不死的老兵；他唤醒[MASK]自己。	m:0.5011991626379458	f:0.4988008373620542
他没有看见[MASK]自己。	m:0.6581533961905666	f:0.34184660380943344
王德好象问[MASK]自己。	m:0.529334838938606	f:0.47066516106139394
他嘲笑[MASK]自己。	m:0.6069088007813652	f:0.3930911992186347
不过这事全都怪[MASK]自己。	m:0.5020065515674352	f:0.49799344843256477
他只爱[MASK]自己。”	m:0.5841312820898306	f:0.41586871791016944
他问[MASK]自己。	m:0.5727129333709482	f:0.42728706662905186
雅夏问[MASK]自己。	m:0.512870156290887	f:0.48712984370911305
斯捷潘·阿尔卡季奇想到[MASK]自己。	m:0.541055657838783	f:0.4589443421612171
倘使有这种男人，也是他在欺骗[MASK]自己。	m:0.6929517320761153	f:0.30704826792388473
这要看[MASK]自己。	m:0.5060844562633687	f:0.49391554373663127
他不爱[MASK]自己。	m:0.5519097926779186	f:0.4480902073220814
他回答[MASK]自己。	m:0.5514104651886881	f:0.4485895348113119
瑞宣认识[MASK]自己。	m:0.5021717473968302	f:0.4978282526031698
他恨[MASK]自己，他轻视他自己。	m:0.7281925715301487	f:0.2718074284698513
你不信问[MASK]自己。	m:0.5212939017782077	f:0.4787060982217924
以同样的方式，拥有认[MASK]自我的知识的人会认识他自己。	m:0.5031739871546848	f:0.49682601284531525
每个人只能代表[MASK]自己。	m:0.5650931118721724	f:0.4349068881278276
林乃久问[MASK]自己。	m:0.510137665900589	f:0.48986233409941105
别这么心慌，雅夏尔，他劝[MASK]自己。	m:0.5178817238134692	f:0.48211827618653075
是相信我胜过相信[MASK]自己。	m:0.5086438808991373	f:0.49135611910086285
接下来，只等着大下巴的人介绍[MASK]自己了。	m:0.5114191790794097	f:0.48858082092059024
王子在打扮[MASK]自己了。	m:0.5102925411160475	f:0.4897074588839525
这时候他说到[MASK]自己了。	m:0.5689315732658244	f:0.43106842673417545
既然家有信来，还是要好好替他打算一下，把利害说给他，取决当然在于[MASK]自己了。	m:0.5434860778496806	f:0.4565139221503194
杰夫劝[MASK]自己保管，或者早点回家，以免那些不怀好意的庄稼汉钻进来骗了去。	m:0.5844191569835172	f:0.41558084301648274
宰相您问[MASK]自己去，听他回答您什么吧。	m:0.5846260271533769	f:0.41537397284662325
接下来的六个星期都属于[MASK]自己可是女主人说：“噢，别急！	m:0.5161607918073228	f:0.4838392081926773
他的空虚令[MASK]自己吃惊。	m:0.6825465019140629	f:0.3174534980859372
“假如他说到[MASK]自己呢？”	m:0.5895728044819318	f:0.41042719551806817
“我打算让[MASK]自己权衡一下利弊，一方面是偷窃的行为给他带来的一点点小利益，另一方	m:0.7189917023246514	f:0.28100829767534863
王琦瑶让[MASK]自己泡茶，问他这些日子做什么，打不打桥牌，有没有分配工作的消息。	m:0.5934618705128618	f:0.40653812948713824
使善的事物成为[MASK]自己的。	m:0.5435530622085536	f:0.4564469377914464
有时候他会好气[MASK]自己，用根棍于敲他自己的脚，或是拿他的头去撞石头什么的。	m:0.5354254773727283	f:0.46457452262727184
“没有一分钟留给[MASK]自己的，”魏德尔太太叹道，“如果你知道他扛在肩膀上的东西有多少……	m:0.6959239505210559	f:0.30407604947894407
通过使美的东西成为[MASK]自己的，他将得到什么呢？	m:0.6386934360155878	f:0.36130656398441224
不过，这三天假日是属于[MASK]自己的，他要干自己想干的事。	m:0.7157974210339553	f:0.2842025789660448
让他捡，如果他拿[MASK]自己的，而且心满意足，你就把另外两把全赠给他。	m:0.5039056524906855	f:0.49609434750931447
他应该写[MASK]自己而不是克里斯塔尔……我辜负了他。	m:0.5093964045844339	f:0.490603595415566
去年5月8日的下午，蒙蒂教授曾记载[MASK]自己要在多尼咖啡店与罗伯特?莱布朗会面。	m:0.6726818798129777	f:0.32731812018702233
你让[MASK]自己说，他会帮着我们说话；要是当面和他说破，他反而不敢帮我们——因	m:0.6656067840548414	f:0.3343932159451586
有时他会把玩[MASK]自己送给我作礼物的蒙古墨水瓶。	m:0.5087561343607052	f:0.49124386563929484
这让[MASK]自己都觉得不好意思了。	m:0.702291401944997	f:0.297708598055003
他恨[MASK]自己！	m:0.5652844679653668	f:0.4347155320346332
他只想到[MASK]自己！	m:0.5474790726361952	f:0.45252092736380467
他问[MASK]自己，“怎么！	m:0.5302654701277563	f:0.4697345298722436
“由于贫困，”陀思妥耶夫斯基说[MASK]自己，“我被迫为金钱而匆忙写作，所以接二连三地失败。”	m:0.5826821386842169	f:0.417317861315783
他问[MASK]自己，“说到头来，这是我的，我的……	m:0.5843987532533663	f:0.41560124674663373
有保留在他印象中的完全，对于美人迟[MASK]自不免兴一种感伤，但他若想想他自己，也到了一礼拜不修脸就不成样子的人，他就觉得未来生活渺茫，把自	m:0.5003232272088038	f:0.4996767727911961
他恨[MASK]自己，什么本事也没有，连点力气都没有，到底是干什么的呢？	m:0.55990737237364	f:0.44009262762636003
振保突然提醒[MASK]自己，他正在挖空心思想出各种的理由，证明他为什么应当同这女人睡觉。	m:0.6643716879579052	f:0.33562831204209476
同时，他更相信[MASK]自己，他的才识，他的胆气，他的体力以至容貌，毕竟胜于常人，好运	m:0.5444786018576426	f:0.45552139814235726
“他到处炫示[MASK]自己，他的时髦衣服，他的四轮敞篷马车，通过这些，去教导人们懂得什么	m:0.6773011154606597	f:0.3226988845393403
陪审员们以及仅仅从民谣和历史小说里吸收历史知识的一般人，他想起[MASK]自己，他自己也不是从布道词和法律里，而是从寓言、小说、诗歌里汲取生	m:0.6371132209007941	f:0.36288677909920575
他问[MASK]自己，但是他没法回答。	m:0.6700354482652953	f:0.3299645517347047
这也怪[MASK]自己，因为他拖拖拉拉，没有给安娜上紧宗教信仰这根弦。	m:0.5118980332665196	f:0.4881019667334803
这要怨[MASK]自己，小狮子不平地说，我们的满腹苦水对谁诉?办理结婚登记手续	m:0.5033897533590218	f:0.49661024664097814
我父亲不爱谈[MASK]自己，我们也不问。	m:0.5146988309092017	f:0.48530116909079835
听到大师兄这么贬低[MASK]自己，楚玄玄自然大感不满。	m:0.5634269685284451	f:0.4365730314715549
他问[MASK]自己，脑子里一片混乱。	m:0.6255695421389857	f:0.3744304578610142
阿希礼用语言来禁闭[MASK]自己，这禁闭比任何监狱都牢固。	m:0.6682499131998215	f:0.3317500868001785
克雷默尔立刻述说[MASK]自己，述说关于他自己的一切。	m:0.7186222151047867	f:0.2813777848952133
但是，一个作者只能写[MASK]自己，难道不是真的吗？	m:0.5193690162377699	f:0.48063098376223007
他说[MASK]自己：“我这人我问他一天能卖多少钱。	m:0.5362769913671678	f:0.4637230086328323
太对不起他的母亲，也太对不起他的夫人了，可是他尤其对不起[MASK]自己；他所失去的这位妻子，她的美貌足以使人间粉黛一齐失色，	m:0.6709717233430513	f:0.32902827665694867
