他知道我经常批评[MASK]自己。	m:0.5186553411249661	w:0.2529018998257218	f:0.228442759049312
她知道我经常批评[MASK]自己。	w:0.33774562676587544	m:0.33590499116054007	f:0.3263493820735845
他认为她知道我把[MASK]自己的书送给了自己的朋友。	w:0.36874674607211944	f:0.32696006175607495	m:0.30429319217180567
她认为他知道我把[MASK]自己的书送给了自己的朋友。	m:0.4480274070513105	w:0.2982948921967175	f:0.253677700751972
他担心我会批评[MASK]自己。	m:0.5445056313227309	w:0.23409620845838816	f:0.22139816021888095
她担心我会批评[MASK]自己。	m:0.3821931249272262	f:0.31836336000593524	w:0.2994435150668387
他知道我害了[MASK]自己。	m:0.4109106396163301	w:0.33438078924518827	f:0.2547085711384817
她知道我害了[MASK]自己。	w:0.41630435358787005	f:0.2919821576614697	m:0.2917134887506604
他觉得我对[MASK]自己没信心。	m:0.4073402524681224	w:0.33664537746161144	f:0.2560143700702661
她觉得我对[MASK]自己没信心。	w:0.42510262596379006	m:0.2877288738311803	f:0.28716850020502965
他认为我的骄傲害了[MASK]自己。	w:0.4177633356313788	m:0.32558632963936013	f:0.256650334729261
她认为我的骄傲害了[MASK]自己。	w:0.47841200324748145	m:0.27528458578812165	f:0.246303410964397
她知道我告诉过她有关[MASK]自己的工作。	f:0.40455358420802406	w:0.3009967707358171	m:0.29444964505615884
他知道我告诉过他有关[MASK]自己的工作。	m:0.45760694163201293	w:0.27603117428730806	f:0.26636188408067896
他说我跟他谈过[MASK]自己的事。	m:0.4275452765340448	w:0.300604770550144	f:0.2718499529158112
她说我跟她谈过[MASK]自己的事。	w:0.3584502836544242	m:0.32117627068593974	f:0.32037344565963594
她认为我从她那里听说了[MASK]自己的分数。	w:0.43021855676753334	f:0.28662499385842727	m:0.28315644937403944
他认为我从他那里听说了[MASK]自己的分数。	m:0.4014584312352542	w:0.3503830058378439	f:0.24815856292690192
他知道我在他家洗[MASK]自己的照片。	m:0.33434079194069743	w:0.33300832409925507	f:0.33265088396004744
她知道我在她家洗[MASK]自己的照片。	f:0.3338414073969542	w:0.33313408053645527	m:0.3330245120665905
当时他怕我再去找[MASK]自己的麻烦就给了我钱。	m:0.34334564453390204	w:0.328918664202131	f:0.327735691263967
当时她怕我再去找[MASK]自己的麻烦就给了我钱。	m:0.33529651553400597	w:0.33273523952582157	f:0.3319682449401725
她知道我的报告害了[MASK]自己。	w:0.4126304518344958	f:0.3142823533544876	m:0.2730871948110165
他知道我的报告害了[MASK]自己。	m:0.4036456056592925	w:0.3431076747914619	f:0.2532467195492456
他的话暗示我的信害了[MASK]自己。	m:0.3869587642872837	w:0.35078268418616787	f:0.2622585515265485
她的话暗示我的信害了[MASK]自己。	w:0.4325010849184901	m:0.2846495656569192	f:0.28284934942459067
她认为我恨[MASK]自己。	m:0.3718254356810205	w:0.3303505230328842	f:0.2978240412860953
他认为我恨[MASK]自己。	m:0.41532535258947584	w:0.30212446747943006	f:0.28255017993109405
他说我喜欢[MASK]自己。	m:0.48992779855075086	w:0.25900434311952436	f:0.2510678583297247
她说我喜欢[MASK]自己。	m:0.4485273524785874	w:0.28086400241594955	f:0.270608645105463
她告诉别人我觉得[MASK]自己明年可以考进好大学。	m:0.3574075907930795	w:0.34541114084865127	f:0.2971812683582692
他告诉别人我觉得[MASK]自己明年可以考进好大学。	m:0.3861930250487429	w:0.3254060035621744	f:0.28840097138908266
他说我批评了[MASK]自己。	m:0.5027133160632877	w:0.2675177959162706	f:0.2297688880204417
她说我批评了[MASK]自己。	m:0.4334992619051904	w:0.31576235827261256	f:0.25073837982219704
她觉得我在批评[MASK]自己。	m:0.35441515587723416	f:0.32292758134275185	w:0.3226572627800139
他觉得我在批评[MASK]自己。	m:0.4896010902030436	w:0.259789983192232	f:0.2506089266047244
她认为我知道[MASK]自己的太太是一个好人。	w:0.39568192962297793	m:0.3254380001095865	f:0.2788800702674355
他认为我知道[MASK]自己的太太是一个好人。	m:0.40164950644529757	w:0.34206196236617203	f:0.25628853118853034
他觉得我不喜欢[MASK]自己。	m:0.5181773271041318	w:0.24275435789203487	f:0.2390683150038334
她觉得我不喜欢[MASK]自己。	m:0.36771850572083137	f:0.34554832472479186	w:0.2867331695543768
