她喜欢自己。	She likes herself.
她厌恶自己。	She hates herself.
她帮助自己。	She helps herself.
她相信自己。	She believes in herself.
她支持自己。	She supports herself.
她欺骗自己。	She lied to herself.
她安慰自己。	She comforts herself.
她挑战自己。	She challenges herself.
她鄙视自己。	She despises herself.
她忽略自己。	She ignores herself.
她原谅自己。	She forgives herself.
她怀疑自己。	She suspects herself.
她超越自己。	She's beyond herself.
她设计自己。	She designed herself.
她讨厌自己。	She hates herself.
她介绍自己。	She introduced herself.
她夸奖自己。	She complimented herself.
她改造自己。	She's transforming herself.
她结束自己。	She's over herself.
她解放自己。	She freed herself.
她刺激自己。	She stimulates herself.
她考虑自己。	She thinks about herself.
她掐自己。	She strangled herself.
她评论自己。	She commented on herself.
她爱惜自己。	She loves herself.
她爱护自己。	She loves herself.
她爱自己。	She loves herself.
她保护自己。	She protects herself.
她改正自己。	She corrected herself.
她谈论自己。	She's talking about herself.
她维护自己。	She defends herself.
她牺牲自己。	She sacrificed herself.
她重复自己。	She repeats herself.
她抓自己。	She grabbed herself.
她指着自己。	She's pointing at herself.
她锻炼自己。	She exercises herself.
她打自己。	She hit herself.
她操心自己。	She's worried about herself.
她纠正自己。	She corrected herself.
她扎自己。	She stuck herself.
她谈到自己。	She talked about herself.
她证明自己。	She proved herself.
她训练自己。	She trained herself.
她依靠自己。	She's on her own.
她优待自己。	She treats herself well.
她鞭策自己。	She whips herself.
她尊重自己。	She respects herself.
她辜负自己。	She failed herself.
她担心自己。	She's worried about herself.
她控制自己。	She controls herself.
