假如她说他反思自己,那么他反思[MASK]自己。	m:0.5362932012635733	f:0.46370679873642673
假如她说他反省自己,那么他反省[MASK]自己。	m:0.5226549346066477	f:0.4773450653933523
假如她说他坦白自己,那么他坦白[MASK]自己。	m:0.5057179409404665	f:0.49428205905953343
假如她说他迷失自己,那么他迷失[MASK]自己。	m:0.5005582037856706	f:0.4994417962143293
假如她说他克制自己,那么他克制[MASK]自己。	m:0.5129877564129871	f:0.4870122435870129
假如她说他检讨自己,那么他检讨[MASK]自己。	m:0.5447731757758434	f:0.45522682422415667
假如她说他放松自己,那么他放松[MASK]自己。	m:0.504808803357878	f:0.49519119664212197
假如她说他磨练自己,那么他磨练[MASK]自己。	m:0.5087136403997272	f:0.4912863596002727
假如她说他奉献自己,那么他奉献[MASK]自己。	m:0.5268372922812374	f:0.47316270771876257
假如她说他调整自己,那么他调整[MASK]自己。	m:0.5096988671265802	f:0.49030113287341986
假如她说他提升自己,那么他提升[MASK]自己。	m:0.5096761646526344	f:0.49032383534736557
假如她说他炫耀自己,那么他炫耀[MASK]自己。	m:0.5141508013632757	f:0.4858491986367242
假如她说他调节自己,那么他调节[MASK]自己。	m:0.5223908502222865	f:0.4776091497777135
假如她说他坚持自己,那么他坚持[MASK]自己。	m:0.5400412038904209	f:0.4599587961095792
假如她说他交代自己,那么他交代[MASK]自己。	m:0.5190491594629494	f:0.48095084053705073
假如她说他计较自己,那么他计较[MASK]自己。	m:0.5226408447241702	f:0.4773591552758299
假如她说他检讨自己,那么他检讨[MASK]自己。	m:0.5447731757758434	f:0.45522682422415667
假如她说他卖弄自己,那么他卖弄[MASK]自己。	m:0.5207618160236894	f:0.47923818397631057
假如她说他表达自己,那么他表达[MASK]自己。	m:0.5350466312655946	f:0.46495336873440535
假如她说他表现自己,那么他表现[MASK]自己。	m:0.5399442053557437	f:0.4600557946442564
假如她说他扭伤自己,那么他扭伤[MASK]自己。	f:0.5001895653458754	m:0.4998104346541245
