假如她告诉他一个关于自己的秘密， 那么秘密是关于[MASK]的。	f:0.5005548370587343	m:0.4994451629412656
假如她寄给他一封关于自己的信， 那么信是关于[MASK]的。	m:0.5616115422207221	f:0.43838845777927793
假如她送给他一本关于自己的书， 那么书是关于[MASK]的。	m:0.5492691415491713	f:0.4507308584508287
假如她描述给他一个关于自己的梦， 那么梦是关于[MASK]的。	m:0.5170059669529738	f:0.4829940330470261
假如她解释给他一个关于自己的决定， 那么决定是关于[MASK]的。	m:0.5032080008961006	f:0.4967919991038993
假如她展示给他一幅关于自己的画， 那么画是关于[MASK]的。	m:0.5105192894917276	f:0.4894807105082724
假如她讲述给他一个关于自己的故事， 那么故事是关于[MASK]的。	f:0.5073551966422126	m:0.49264480335778726
假如她编写给他一首关于自己的诗， 那么诗是关于[MASK]的。	f:0.5161830266664439	m:0.48381697333355617
假如她演示给他一个关于自己的技巧， 那么技巧是关于[MASK]的。	m:0.5171013722806453	f:0.4828986277193546
假如她描述给他一场关于自己的经历， 那么经历是关于[MASK]的。	m:0.5076359533581795	f:0.49236404664182054
假如她回忆给他一段关于自己的往事， 那么往事是关于[MASK]的。	f:0.5172300112177154	m:0.4827699887822846
假如她给他看了一张关于自己的照片， 那么照片是关于[MASK]的。	m:0.5090545350930181	f:0.4909454649069819
假如她发给他一条关于自己的消息， 那么消息是关于[MASK]的。	m:0.5431941164917422	f:0.45680588350825785
假如她写给他一篇关于自己的文章， 那么文章是关于[MASK]的。	m:0.521371295979088	f:0.478628704020912
假如她展示给他一张关于自己的地图， 那么地图是关于[MASK]的。	m:0.5168750393567556	f:0.48312496064324434
假如她讲给他一个关于自己的笑话， 那么笑话是关于[MASK]的。	m:0.5211673707414276	f:0.47883262925857234
假如她传给他一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5097460470791033	m:0.4902539529208967
假如她绘制给他一幅关于自己的草图， 那么草图是关于[MASK]的。	m:0.5414871807573546	f:0.4585128192426454
假如她提供给他一项关于自己的建议， 那么建议是关于[MASK]的。	m:0.5178089100167661	f:0.4821910899832339
假如她演唱给他一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	m:0.557313880061894	f:0.4426861199381061
假如她设计给他一个关于自己的项目， 那么项目是关于[MASK]的。	m:0.5005798411750196	f:0.49942015882498025
假如她讲述给他一段关于自己的历史， 那么历史是关于[MASK]的。	f:0.5347534520684087	m:0.46524654793159126
假如她推荐给他一本关于自己的传记， 那么传记是关于[MASK]的。	m:0.607726076877084	f:0.39227392312291604
假如她解释给他一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5070876648642335	m:0.4929123351357665
假如她分享给他一篇关于自己的论文， 那么论文是关于[MASK]的。	f:0.5024722315065724	m:0.4975277684934276
假如她报告给他一项关于自己的研究， 那么研究是关于[MASK]的。	f:0.5052067468874374	m:0.49479325311256256
假如她送给他一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	m:0.5556428149029475	f:0.4443571850970525
假如她展示给他一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.5055529538949584	m:0.49444704610504153
假如她描绘给他一幅关于自己的肖像， 那么肖像是关于[MASK]的。	m:0.5151731670966866	f:0.4848268329033133
假如她讨论给他一个关于自己的话题， 那么话题是关于[MASK]的。	m:0.5068497172031827	f:0.4931502827968173
假如她汇报给他一项关于自己的成就， 那么成就是关于[MASK]的。	f:0.514477876181928	m:0.4855221238180721
假如她寄给他一件关于自己的物品， 那么物品是关于[MASK]的。	m:0.5128350441112793	f:0.48716495588872055
假如她翻译给他一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5163612902407732	m:0.48363870975922685
假如她编排给他一个关于自己的节目， 那么节目是关于[MASK]的。	m:0.5392996996309932	f:0.46070030036900667
假如她演示给他一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	m:0.5159461083337237	f:0.48405389166627644
假如她朗读给他一封关于自己的信件， 那么信件是关于[MASK]的。	m:0.5118183902801245	f:0.4881816097198755
假如她发布给他一条关于自己的公告， 那么公告是关于[MASK]的。	m:0.5037093152579181	f:0.4962906847420819
假如她策划给他一个关于自己的活动， 那么活动是关于[MASK]的。	m:0.5303368085799859	f:0.469663191420014
假如她陈述给他一份关于自己的声明， 那么声明是关于[MASK]的。	f:0.5056794897642461	m:0.49432051023575396
假如她发送给他一条关于自己的通知， 那么通知是关于[MASK]的。	m:0.5381022479940182	f:0.4618977520059818
