他知道我经常批评[MASK]自己。	w:0.4140073575336532	m:0.34619323211681086	f:0.239799410349536
她知道我经常批评[MASK]自己。	f:0.384795293971034	w:0.36914354843757674	m:0.24606115759138933
他认为她知道我把[MASK]自己的书送给了自己的朋友。	f:0.45884828508146064	w:0.27857595756835746	m:0.26257575735018196
她认为他知道我把[MASK]自己的书送给了自己的朋友。	m:0.42160361128098384	w:0.29486184511237346	f:0.2835345436066427
他担心我会批评[MASK]自己。	m:0.4091096685654357	w:0.34883169633452865	f:0.24205863510003559
她担心我会批评[MASK]自己。	f:0.4315667635216662	w:0.3158803133442387	m:0.2525529231340951
他知道我害了[MASK]自己。	m:0.5155752280834468	w:0.25750894099887434	f:0.22691583091767883
她知道我害了[MASK]自己。	f:0.5234322222570347	w:0.24836450251807665	m:0.22820327522488867
他觉得我对[MASK]自己没信心。	m:0.4400875974448482	w:0.3102090560997666	f:0.24970334645538514
她觉得我对[MASK]自己没信心。	f:0.38326143829433523	w:0.3413510870060026	m:0.27538747469966224
他认为我的骄傲害了[MASK]自己。	w:0.4560158687570588	m:0.310301256948485	f:0.23368287429445614
她认为我的骄傲害了[MASK]自己。	w:0.39847749177240793	f:0.36312944944887393	m:0.23839305877871805
她知道我告诉过她有关[MASK]自己的工作。	f:0.3725724567130823	w:0.36238783876776126	m:0.2650397045191564
他知道我告诉过他有关[MASK]自己的工作。	w:0.3882318067765026	m:0.35496583976965773	f:0.2568023534538398
他说我跟他谈过[MASK]自己的事。	w:0.4116032973044831	m:0.32551298061134853	f:0.26288372208416827
她说我跟她谈过[MASK]自己的事。	w:0.38407295061841007	f:0.3364911838287057	m:0.27943586555288413
她认为我从她那里听说了[MASK]自己的分数。	f:0.41692026430691986	w:0.331010212453681	m:0.2520695232393991
他认为我从他那里听说了[MASK]自己的分数。	m:0.39078187059076686	w:0.36353860071033034	f:0.24567952869890275
他知道我在他家洗[MASK]自己的照片。	m:0.33724009933446836	w:0.3316943688612931	f:0.3310655318042387
她知道我在她家洗[MASK]自己的照片。	f:0.3446722274463272	w:0.32824679827983505	m:0.3270809742738377
当时他怕我再去找[MASK]自己的麻烦就给了我钱。	m:0.4971491033916	w:0.25408164684243767	f:0.24876924976596226
当时她怕我再去找[MASK]自己的麻烦就给了我钱。	f:0.5024337131431608	w:0.24910901630769972	m:0.24845727054913955
她知道我的报告害了[MASK]自己。	f:0.537301100228864	w:0.23979669791131378	m:0.2229022018598222
他知道我的报告害了[MASK]自己。	m:0.49748058650716886	w:0.27475376666047296	f:0.22776564683235814
他的话暗示我的信害了[MASK]自己。	w:0.5272988677512488	m:0.2477556594547993	f:0.22494547279395183
她的话暗示我的信害了[MASK]自己。	w:0.5080090902494419	f:0.2626676857927682	m:0.22932322395778978
她认为我恨[MASK]自己。	f:0.37681516781316765	w:0.3223994127193865	m:0.30078541946744586
他认为我恨[MASK]自己。	m:0.3741338574234846	w:0.3304706328753017	f:0.29539550970121375
他说我喜欢[MASK]自己。	w:0.47674371392221204	m:0.2722139893123163	f:0.2510422967654718
她说我喜欢[MASK]自己。	w:0.44774900076162666	f:0.29092125094227006	m:0.2613297482961033
他不喜欢我管[MASK]自己的事。	m:0.5549697165176757	w:0.22516797760654708	f:0.21986230587577732
她不喜欢我管[MASK]自己的事。	f:0.5139040647853984	m:0.24789713569105012	w:0.23819879952355158
他告诉别人我觉得[MASK]自己明年可以考进好大学。	m:0.3952093055244633	w:0.3420733124358087	f:0.26271738203972805
他说我批评了[MASK]自己。	w:0.5022686292573756	m:0.2621210737566069	f:0.23561029698601743
她说我批评了[MASK]自己。	w:0.47531504526964025	f:0.28326465076592877	m:0.24142030396443098
她觉得我在批评[MASK]自己。	f:0.40167418845820646	w:0.35622280853508115	m:0.24210300300671247
他觉得我在批评[MASK]自己。	m:0.43101990232914966	w:0.3344207160378402	f:0.23455938163301004
她认为我知道[MASK]自己的太太是一个好人。	w:0.40274229765762004	f:0.3145606878734549	m:0.2826970144689251
他认为我知道[MASK]自己的太太是一个好人。	w:0.3801642077009831	m:0.3526147544197279	f:0.267221037879289
他觉得我不喜欢[MASK]自己。	m:0.38619418755202284	w:0.3740675949241961	f:0.23973821752378108
她觉得我不喜欢[MASK]自己。	w:0.38019907581433876	f:0.3701191743385933	m:0.2496817498470679
