如果她们觉得她是在卖弄自己，那么她在卖弄[MASK]。	m:0.5011701599751537	f:0.4988298400248463
如果我觉得他是想淹死自己，那么他想淹死[MASK]。	w:0.4655390091896896	m:0.27179082331553134	f:0.26267016749477895
如果我看她是故意显夸自己，那么她显夸[MASK]。	w:0.4296711414046246	f:0.2876603357968291	m:0.2826685227985463
如果我知道他又开始在责备自己，那么他责备[MASK]。	w:0.45841163970976584	m:0.28784851399306827	f:0.25373984629716595
如果我也提醒了他注意自己，那么他注意[MASK]。	w:0.3602301097886646	m:0.32723853827951827	f:0.31253135193181714
如果我发现她的唯一缺陷是她有时有点控制不住自己，那么她控制不住[MASK]。	w:0.4016866100854607	f:0.3020224748517857	m:0.2962909150627535
如果她想这个美国人也许一直都躺在紫外线灯下晒黑自己，那么这个美国人晒黑[MASK]。	f:0.5002931302033857	m:0.49970686979661416
如果请你不要以为我只是考虑自己，那么我考虑[MASK]。	w:0.33996693642125464	m:0.33090601018092225	f:0.32912705339782306
如果我告诉了她我刚才做了什么和我为什么克制住了自己，那么我克制[MASK]。	f:0.34633440123208303	w:0.32886900208479874	m:0.3247965966831182
如果他埋怨她只顾着自己，那么她只顾[MASK]。	m:0.5986993341660666	f:0.40130066583393337
如果他认为她特意在考虑为他牺牲自己，那么她考虑牺牲[MASK]。	m:0.6874058872391994	f:0.31259411276080057
如果她落在后面，奇怪他竟会只顾自己，那么他只顾[MASK]。	f:0.7004071970665179	m:0.2995928029334821
如果我觉得他全靠香槟酒在支撑自己，那么他支撑[MASK]。	w:0.39062837571385955	m:0.3295329186561354	f:0.279838705630005
如果我们看到他坐在书桌前，准备结果自己，那么他结果[MASK]。	w:0.33733099534578315	m:0.334719517042609	f:0.3279494876116079
如果太阳好像早早就升起来了，想看看桑乔怎样折腾自己，那么桑乔折腾[MASK]。	f:0.5020545363276457	m:0.4979454636723542
如果尽管我痛不欲生，但我不愿意她这样折磨自己，那么她折磨[MASK]。	w:0.4751363959011762	f:0.282429116051416	m:0.2424344880474077
如果她无法简捷地理解女人为何要如此装饰自己，那么女人装饰[MASK]。	f:0.5536890902868399	m:0.44631090971316006
如果我们知道她已经能够照顾自己了，那么她照顾[MASK]。	f:0.3872451471235937	w:0.32189424662319094	m:0.29086060625321547
