如果罗伯特-乔丹明白她信任自己，那么她信任[MASK]。	m:0.628047067326505	f:0.3719529326734951
如果她明白是建军在暗中保护着自己，那么建军在保护[MASK]。	f:0.6684445569187236	m:0.3315554430812763
如果他知道他们在说自己，那么他们在说[MASK]。	m:0.5423461917526151	f:0.4576538082473848
如果婆一见她就说他骗了自己，那么他骗了[MASK]。	f:0.5664468174533337	m:0.43355318254666625
如果她明白他还在跟着自己，那么他跟着[MASK]。	f:0.6395924123244058	m:0.3604075876755943
如果她发现他还在恶狠狠地看着自己，那么他在看着[MASK]。	f:0.7084009705517937	m:0.29159902944820637
如果姑娘却用如此凄楚的眼神看着他，仿佛恳求他来解救自己，那么他被恳求解救[MASK]。	m:0.5024396231975243	f:0.4975603768024756
如果德克尔仍在抚摸着贝丝的秀发，他真不愿意警察这个时候来打扰自己，那么警察打扰[MASK]。	m:0.5759795078239015	f:0.4240204921760985
如果建军本来在看电视，突然发觉母亲在注视着自己，那么母亲在注视着[MASK]。	m:0.6927458699692048	f:0.3072541300307952
如果校长忽然不说话了，建军知道她正打量着自己，那么她打量[MASK]。	m:0.5318222794150335	f:0.46817772058496654
如果他抬眼一瞥，看到她在看着自己，那么她在看着[MASK]。	m:0.7104379163143907	f:0.2895620836856094
如果我咕哝着，担心他弄醒自己，那么我担心他弄醒[MASK]。	w:0.5310498928603183	m:0.2348801726134476	f:0.23406993452623406
如果铂内尔发现那双灰眼睛正以奇异的目光注视着自己，那么眼睛正注视着[MASK]。	m:0.6101742049951562	f:0.38982579500484393
如果她感觉到男出纳的黑眼睛一动不动地盯着自己，那么眼睛正盯着[MASK]。	f:0.5754330009564582	m:0.42456699904354184
如果他看到丽娟怀疑地看着自己，那么丽娟看着[MASK]。	m:0.6585853136060708	f:0.34141468639392925
如果她不喜欢建军继续抚摸自己，那么建军抚摸[MASK]。	f:0.6556726551689025	m:0.3443273448310974
如果我甚至也希望丽娟能够这样来迎接自己，那么丽娟可以这样来迎接[MASK]。	w:0.5523248724549795	f:0.22675300927892336	m:0.22092211826609714
如果她一抬头，看到建军正在端详着自己，那么建军在端详[MASK]。	f:0.6353575466120304	m:0.3646424533879697
如果她觉得对面的日本兵非常不友好地看着自己，那么日本兵在看着[MASK]。	f:0.6862223444269415	m:0.3137776555730584
如果她相信一营的士兵们也都会这样嘲笑自己，那么士兵们嘲笑[MASK]。	f:0.6651223233664375	m:0.33487767663356244
如果她害怕他辞掉自己，那么他可能辞掉[MASK]。	f:0.6670528974857826	m:0.33294710251421744
如果丽娟知道建军是有心救济自己，那么建军有心救济[MASK]。	f:0.6896356961197179	m:0.3103643038802822
如果他感到她在注意自己，那么她在注意[MASK]。	m:0.6691005328868863	f:0.33089946711311363
如果奥多太太还只道他看上了自己，那么他看上了[MASK]。	f:0.5844751574136088	m:0.41552484258639133
如果他看到她正微笑地注视着自己，那么她正注视着[MASK]。	m:0.7200842524793561	f:0.27991574752064374
如果建军忽然发觉女儿长得并不像自己，那么女儿不像[MASK]。	m:0.6139940978085574	f:0.38600590219144254
如果她看到知县大老爷也正在注目自己，那么知县大老爷正注目[MASK]。	f:0.6908352832473879	m:0.30916471675261203
如果突然他发现丽娟在看自己，那么丽娟在看[MASK]。	m:0.5594815986630982	f:0.4405184013369019
