假如他告诉她一个关于自己的秘密， 那么秘密是关于[MASK]的。	f:0.511186394231393	m:0.48881360576860705
假如他寄给她一封关于自己的信， 那么信是关于[MASK]的。	f:0.5347724259418406	m:0.4652275740581593
假如他送给她一本关于自己的书， 那么书是关于[MASK]的。	f:0.5133894550928959	m:0.48661054490710404
假如他描述给她一个关于自己的梦， 那么梦是关于[MASK]的。	f:0.5658368817465631	m:0.43416311825343684
假如他解释给她一个关于自己的决定， 那么决定是关于[MASK]的。	f:0.510088802785423	m:0.48991119721457693
假如他展示给她一幅关于自己的画， 那么画是关于[MASK]的。	f:0.5491753716310082	m:0.4508246283689918
假如他讲述给她一个关于自己的故事， 那么故事是关于[MASK]的。	f:0.5999487980526981	m:0.40005120194730187
假如他编写给她一首关于自己的诗， 那么诗是关于[MASK]的。	f:0.5773258004859693	m:0.4226741995140308
假如他演示给她一个关于自己的技巧， 那么技巧是关于[MASK]的。	f:0.5649497095313221	m:0.4350502904686778
假如他描述给她一场关于自己的经历， 那么经历是关于[MASK]的。	f:0.5635117514390426	m:0.43648824856095747
假如他回忆给她一段关于自己的往事， 那么往事是关于[MASK]的。	f:0.5520665264936498	m:0.4479334735063502
假如他给她看了一张关于自己的照片， 那么照片是关于[MASK]的。	f:0.5386234218198577	m:0.4613765781801424
假如他发给她一条关于自己的消息， 那么消息是关于[MASK]的。	f:0.5569085069214192	m:0.4430914930785807
假如他写给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5392649202593918	m:0.4607350797406082
假如他展示给她一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.5899055780328716	m:0.4100944219671285
假如他讲给她一个关于自己的笑话， 那么笑话是关于[MASK]的。	f:0.5470280401461073	m:0.45297195985389277
假如他传给她一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5348626301698027	m:0.4651373698301972
假如他绘制给她一幅关于自己的草图， 那么草图是关于[MASK]的。	f:0.5896440175971647	m:0.41035598240283533
假如他提供给她一项关于自己的建议， 那么建议是关于[MASK]的。	f:0.5272076262973239	m:0.47279237370267607
假如他演唱给她一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	f:0.5803673920561917	m:0.41963260794380836
假如他设计给她一个关于自己的项目， 那么项目是关于[MASK]的。	f:0.5875162995552135	m:0.4124837004447866
假如他讲述给她一段关于自己的历史， 那么历史是关于[MASK]的。	f:0.6411703821365788	m:0.3588296178634211
假如他推荐给她一本关于自己的传记， 那么传记是关于[MASK]的。	f:0.5780340802908054	m:0.42196591970919467
假如他解释给她一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5435034760681396	m:0.4564965239318603
假如他分享给她一篇关于自己的论文， 那么论文是关于[MASK]的。	f:0.5648337699198588	m:0.4351662300801411
假如他报告给她一项关于自己的研究， 那么研究是关于[MASK]的。	f:0.5404048338861205	m:0.4595951661138795
假如他送给她一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	f:0.5386713464809504	m:0.46132865351904956
假如他展示给她一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.5669774324532039	m:0.4330225675467961
假如他描绘给她一幅关于自己的肖像， 那么肖像是关于[MASK]的。	f:0.5799770780108938	m:0.4200229219891061
假如他讨论给她一个关于自己的话题， 那么话题是关于[MASK]的。	f:0.5670057851751803	m:0.43299421482481965
假如他汇报给她一项关于自己的成就， 那么成就是关于[MASK]的。	f:0.5710053795747724	m:0.4289946204252276
假如他寄给她一件关于自己的物品， 那么物品是关于[MASK]的。	f:0.5200409676012161	m:0.47995903239878385
假如他翻译给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5540878564752578	m:0.4459121435247421
假如他编排给她一个关于自己的节目， 那么节目是关于[MASK]的。	f:0.572335960242403	m:0.42766403975759715
假如他演示给她一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	f:0.5733213109122917	m:0.4266786890877083
假如他朗读给她一封关于自己的信件， 那么信件是关于[MASK]的。	f:0.5575678193942262	m:0.4424321806057739
假如他发布给她一条关于自己的公告， 那么公告是关于[MASK]的。	f:0.5709935639593902	m:0.42900643604060984
假如他策划给她一个关于自己的活动， 那么活动是关于[MASK]的。	f:0.5894687335262425	m:0.41053126647375743
假如他陈述给她一份关于自己的声明， 那么声明是关于[MASK]的。	f:0.5510193966378786	m:0.4489806033621214
假如他发送给她一条关于自己的通知， 那么通知是关于[MASK]的。	f:0.5359536920740114	m:0.4640463079259885
