假如他说她反思自己,那么她反思[MASK]自己。	f:0.5023417897652528	m:0.49765821023474716
假如他说她反省自己,那么她反省[MASK]自己。	m:0.5032003243193823	f:0.49679967568061767
假如他说她坦白自己,那么她坦白[MASK]自己。	m:0.5225513656950882	f:0.4774486343049118
假如他说她迷失自己,那么她迷失[MASK]自己。	m:0.5007554275289288	f:0.4992445724710713
假如他说她克制自己,那么她克制[MASK]自己。	m:0.5041244379708842	f:0.4958755620291158
假如他说她检讨自己,那么她检讨[MASK]自己。	m:0.500303197614938	f:0.4996968023850619
假如他说她放松自己,那么她放松[MASK]自己。	f:0.5011209293581633	m:0.4988790706418367
假如他说她磨练自己,那么她磨练[MASK]自己。	f:0.5008207324040239	m:0.4991792675959761
假如他说她奉献自己,那么她奉献[MASK]自己。	m:0.5085815359646838	f:0.49141846403531614
假如他说她调整自己,那么她调整[MASK]自己。	f:0.5000462993046808	m:0.4999537006953192
假如他说她提升自己,那么她提升[MASK]自己。	m:0.5037596536943512	f:0.4962403463056488
假如他说她炫耀自己,那么她炫耀[MASK]自己。	m:0.511605366605948	f:0.48839463339405204
假如他说她调节自己,那么她调节[MASK]自己。	m:0.5059176937581381	f:0.49408230624186183
假如他说她坚持自己,那么她坚持[MASK]自己。	f:0.5182804290344296	m:0.4817195709655705
假如他说她交代自己,那么她交代[MASK]自己。	m:0.5428317471989181	f:0.4571682528010819
假如他说她计较自己,那么她计较[MASK]自己。	m:0.522124404476127	f:0.477875595523873
假如他说她检讨自己,那么她检讨[MASK]自己。	m:0.500303197614938	f:0.4996968023850619
假如他说她卖弄自己,那么她卖弄[MASK]自己。	m:0.509157981882311	f:0.49084201811768907
假如他说她表达自己,那么她表达[MASK]自己。	f:0.5249826492964204	m:0.4750173507035797
假如他说她表现自己,那么她表现[MASK]自己。	f:0.5060233875222914	m:0.49397661247770863
假如他说她扭伤自己,那么她扭伤[MASK]自己。	m:0.5011436821504617	f:0.49885631784953827
