假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.43541185486700096	m:0.2880997352895618	t:0.27648840984343726
假如他说这本书改变了自己,那么这本书改变了[MASK]。	m:0.4683870349366072	t:0.26648127388218384	f:0.265131691181209
假如他说这本书影响了自己,那么这本书影响了[MASK]。	m:0.4518820327290143	f:0.2744312450571036	t:0.2736867222138822
假如他说这本书吸引了自己,那么这本书吸引了[MASK]。	m:0.45707071482038986	f:0.271541441562805	t:0.2713878436168051
假如她说这本书启发了自己,那么这本书启发了[MASK]。	f:0.40268232578326896	m:0.3039237823747449	t:0.29339389184198617
假如他说这本书激励了自己,那么这本书激励了[MASK]。	m:0.4669644460904217	f:0.26688813214288193	t:0.26614742176669637
假如她说这本书刺激了自己,那么这本书刺激了[MASK]。	f:0.41963992594333244	m:0.29666403498053134	t:0.28369603907613616
假如他说这本书困扰了自己,那么这本书困扰了[MASK]。	m:0.43786244671581004	f:0.28143171287738317	t:0.28070584040680685
假如他说这本书鼓舞了自己,那么这本书鼓舞了[MASK]。	m:0.45924162262475704	t:0.27059981054553395	f:0.2701585668297091
假如他说这本书鞭策了自己,那么这本书鞭策了[MASK]。	m:0.4362205302843037	f:0.282098818195538	t:0.28168065152015814
假如他说这本书感动了自己,那么这本书感动了[MASK]。	m:0.4271862425889724	f:0.28705232230098915	t:0.2857614351100385
假如他说这本书迷惑了自己,那么这本书迷惑了[MASK]。	m:0.4270915514604191	t:0.2865962890943884	f:0.28631215944519245
假如她说这本书提醒了自己,那么这本书提醒了[MASK]。	f:0.3998898236051172	m:0.30534851918988914	t:0.29476165720499364
假如他说这封信伤害了自己,那么这封信伤害了[MASK]。	m:0.45856790437685324	f:0.27249493088401383	t:0.26893716473913293
假如她说这封信改变了自己,那么这封信改变了[MASK]。	f:0.447491904827063	m:0.2853363350322292	t:0.26717176014070776
假如她说这封信影响了自己,那么这封信影响了[MASK]。	f:0.4110997725087967	m:0.30818392418234275	t:0.28071630330886055
假如她说这封信吸引了自己,那么这封信吸引了[MASK]。	f:0.4252200042616315	m:0.2974057150041188	t:0.2773742807342498
假如她说这封信启发了自己,那么这封信启发了[MASK]。	f:0.40135150711445233	m:0.30775399006146886	t:0.2908945028240788
假如他说这封信激励了自己,那么这封信激励了[MASK]。	m:0.4680467212103249	f:0.26721107064544625	t:0.26474220814422883
假如他说这封信刺激了自己,那么这封信刺激了[MASK]。	m:0.45518794248780736	f:0.27420039943771396	t:0.2706116580744786
假如她说这封信困扰了自己,那么这封信困扰了[MASK]。	f:0.40902924921285466	m:0.30179273009325697	t:0.28917802069388826
假如她说这封信鼓舞了自己,那么这封信鼓舞了[MASK]。	f:0.4298143890410712	m:0.2943326718786776	t:0.27585293908025116
假如他说这封信鞭策了自己,那么这封信鞭策了[MASK]。	m:0.43825956884832784	f:0.28185626431143035	t:0.2798841668402417
假如她说这封信感动了自己,那么这封信感动了[MASK]。	f:0.41677634054322305	m:0.298074634007766	t:0.285149025449011
假如她说这封信刺激了自己,那么这封信刺激了[MASK]。	f:0.4206587819934806	m:0.2992048966176544	t:0.280136321388865
假如她说这封信迷惑了自己,那么这封信迷惑了[MASK]。	f:0.444388140759863	m:0.2844938654488664	t:0.27111799379127066
假如她说这封信提醒了自己,那么这封信提醒了[MASK]。	f:0.3997835097334197	m:0.30824582084369656	t:0.29197066942288374
假如她说这封信激励了自己,那么这封信激励了[MASK]。	f:0.42583150653665874	m:0.29614961934865985	t:0.27801887411468135
假如他说这个举动伤害了自己,那么这个举动伤害了[MASK]。	m:0.4411013757541814	f:0.27991328846838415	t:0.2789853357774344
假如她说这个举动改变了自己,那么这个举动改变了[MASK]。	f:0.4371145227864226	m:0.29005777684662615	t:0.27282770036695136
假如她说这个举动影响了自己,那么这个举动影响了[MASK]。	f:0.39810992611424656	m:0.3150355357632544	t:0.2868545381224991
假如他说这个举动吸引了自己,那么这个举动吸引了[MASK]。	m:0.44841547214162464	f:0.2762918979746213	t:0.27529262988375414
假如她说这个举动启发了自己,那么这个举动启发了[MASK]。	f:0.41275686253727145	m:0.304546774004186	t:0.28269636345854265
假如他说这个举动激励了自己,那么这个举动激励了[MASK]。	m:0.4567379336534733	f:0.2716928487708634	t:0.2715692175756633
