假如她说他诬陷自己,那么他诬陷[MASK]。	f:0.6128716031150637	m:0.3871283968849364
假如她说他拥抱自己,那么他拥抱[MASK]。	f:0.6310499702113619	m:0.36895002978863806
假如她说他离开自己,那么他离开[MASK]。	f:0.5712506347639317	m:0.4287493652360684
假如她说他打扰自己,那么他打扰[MASK]。	f:0.5691465626093826	m:0.4308534373906174
假如她说他超过自己,那么他超过[MASK]。	f:0.6274816032975755	m:0.37251839670242454
假如她说他忘了自己,那么他忘了[MASK]。	f:0.6255635610795353	m:0.3744364389204647
假如她说他回答自己,那么他回答[MASK]。	f:0.5428688781094301	m:0.4571311218905699
假如她说他表扬自己,那么他表扬[MASK]。	f:0.5649319906106935	m:0.4350680093893065
假如她说他反对自己,那么他反对[MASK]。	f:0.5621127995316069	m:0.43788720046839313
假如她说他调查自己,那么他调查[MASK]。	f:0.5151621392190728	m:0.4848378607809272
假如她说他拜访自己,那么他拜访[MASK]。	f:0.5620373220729044	m:0.4379626779270957
假如她说他偷听自己,那么他偷听[MASK]。	f:0.6063009734065853	m:0.3936990265934147
假如她说他暗恋自己,那么他暗恋[MASK]。	f:0.6205524436527939	m:0.37944755634720606
假如她说他邀请自己,那么他邀请[MASK]。	f:0.5880356421348893	m:0.4119643578651106
假如她说他等待自己,那么他等待[MASK]。	f:0.5546901373639701	m:0.4453098626360298
假如她说他嫉妒自己,那么他嫉妒[MASK]。	f:0.5837498812408111	m:0.416250118759189
假如她说他羡慕自己,那么他羡慕[MASK]。	f:0.571501297616386	m:0.428498702383614
假如她说他搭讪自己,那么他搭讪[MASK]。	f:0.6335109270056325	m:0.36648907299436756
假如她说他监视自己,那么他监视[MASK]。	f:0.5774754081481642	m:0.4225245918518357
假如她说他吵醒自己,那么他吵醒[MASK]。	f:0.5706248922400066	m:0.4293751077599935
假如她说他激怒自己,那么他激怒[MASK]。	f:0.6024733814254333	m:0.3975266185745667
假如她说他模仿自己,那么他模仿[MASK]。	f:0.5825735100619915	m:0.41742648993800835
假如她说他欺负自己,那么他欺负[MASK]。	f:0.6109238499853108	m:0.38907615001468915
假如她说他追随自己,那么他追随[MASK]。	f:0.573903153252763	m:0.42609684674723697
假如她说他回避自己,那么他回避[MASK]。	f:0.5608430501785371	m:0.4391569498214629
假如她说他思念自己,那么他思念[MASK]。	f:0.5771786114783185	m:0.42282138852168144
假如她说他仰慕自己,那么他仰慕[MASK]。	f:0.5735807802382374	m:0.42641921976176256
假如她说他冷落自己,那么他冷落[MASK]。	f:0.6543887071304364	m:0.3456112928695636
假如她说他靠近自己,那么他靠近[MASK]。	f:0.6303896643400708	m:0.36961033565992923
假如她说他辅导自己,那么他辅导[MASK]。	f:0.5864739554517631	m:0.41352604454823694
假如她说他干扰自己,那么他干扰[MASK]。	f:0.5611024014858126	m:0.4388975985141874
假如她说他加入自己,那么他加入[MASK]。	f:0.5366455860305737	m:0.4633544139694264
假如她说他接近自己,那么他接近[MASK]。	f:0.6326533743785793	m:0.36734662562142073
假如她说他看望自己,那么他看望[MASK]。	f:0.5903597260018022	m:0.4096402739981978
假如她说他捞自己,那么他捞[MASK]。	f:0.531483942782067	m:0.468516057217933
假如她说他欢迎自己,那么他欢迎[MASK]。	f:0.5907747791997938	m:0.4092252208002062
假如她说他勾引自己,那么他勾引[MASK]。	f:0.6574210882507108	m:0.3425789117492891
假如她说他勾结自己,那么他勾结[MASK]。	f:0.589492940465816	m:0.41050705953418387
假如她说他等自己,那么他等[MASK]。	f:0.5406024774709657	m:0.4593975225290344
假如她说他等候自己,那么他等候[MASK]。	f:0.5669995768811863	m:0.4330004231188138
假如她说他挤自己,那么他挤[MASK]。	f:0.572027215646813	m:0.4279727843531869
假如她说他排挤自己,那么他排挤[MASK]。	f:0.5772193291911071	m:0.422780670808893
假如她说他欺压自己,那么他欺压[MASK]。	f:0.6138383357517875	m:0.3861616642482124
假如她说他探望自己,那么他探望[MASK]。	f:0.5640476697304835	m:0.4359523302695165
假如她说他信任自己,那么他信任[MASK]。	f:0.5704544604716312	m:0.4295455395283688
假如她说他响应自己,那么他响应[MASK]。	m:0.5126541982586346	f:0.4873458017413654
假如她说他学习自己,那么他学习[MASK]。	m:0.5091595925297574	f:0.4908404074702426
