假如他说她诬陷自己,那么她诬陷[MASK]。	m:0.678480203987446	f:0.32151979601255387
假如他说她拥抱自己,那么她拥抱[MASK]。	m:0.5854967241056674	f:0.41450327589433256
假如他说她离开自己,那么她离开[MASK]。	m:0.5993746970904552	f:0.40062530290954484
假如他说她打扰自己,那么她打扰[MASK]。	m:0.604851919115811	f:0.395148080884189
假如他说她超过自己,那么她超过[MASK]。	m:0.6471034093627126	f:0.3528965906372875
假如他说她忘了自己,那么她忘了[MASK]。	m:0.6778363623147768	f:0.3221636376852232
假如他说她回答自己,那么她回答[MASK]。	m:0.6276964902800993	f:0.3723035097199006
假如他说她表扬自己,那么她表扬[MASK]。	m:0.6433840756859397	f:0.35661592431406036
假如他说她反对自己,那么她反对[MASK]。	m:0.6365092067947199	f:0.3634907932052801
假如他说她调查自己,那么她调查[MASK]。	m:0.6371726159310246	f:0.3628273840689753
假如他说她拜访自己,那么她拜访[MASK]。	m:0.643522752859206	f:0.356477247140794
假如他说她偷听自己,那么她偷听[MASK]。	m:0.6031412564325821	f:0.39685874356741785
假如他说她暗恋自己,那么她暗恋[MASK]。	m:0.6617030609909953	f:0.3382969390090047
假如他说她邀请自己,那么她邀请[MASK]。	m:0.6271017911485341	f:0.37289820885146585
假如他说她等待自己,那么她等待[MASK]。	m:0.6352678345139383	f:0.3647321654860618
假如他说她嫉妒自己,那么她嫉妒[MASK]。	m:0.6384916866136167	f:0.36150831338638345
假如他说她羡慕自己,那么她羡慕[MASK]。	m:0.6061233558006898	f:0.39387664419931023
假如他说她搭讪自己,那么她搭讪[MASK]。	m:0.6103813791780102	f:0.3896186208219897
假如他说她监视自己,那么她监视[MASK]。	m:0.6659432031669859	f:0.33405679683301415
假如他说她吵醒自己,那么她吵醒[MASK]。	m:0.5952805999868328	f:0.40471940001316714
假如他说她激怒自己,那么她激怒[MASK]。	m:0.6457328970754395	f:0.3542671029245606
假如他说她模仿自己,那么她模仿[MASK]。	m:0.6257656831031653	f:0.37423431689683473
假如他说她欺负自己,那么她欺负[MASK]。	m:0.6602042745622025	f:0.3397957254377974
假如他说她追随自己,那么她追随[MASK]。	m:0.6439966835280037	f:0.35600331647199646
假如他说她回避自己,那么她回避[MASK]。	m:0.6408010251859372	f:0.35919897481406277
假如他说她思念自己,那么她思念[MASK]。	m:0.6351459667155706	f:0.36485403328442945
假如他说她仰慕自己,那么她仰慕[MASK]。	m:0.6468976112128532	f:0.35310238878714695
假如他说她冷落自己,那么她冷落[MASK]。	m:0.6663062257377658	f:0.33369377426223423
假如他说她靠近自己,那么她靠近[MASK]。	m:0.6627139817607555	f:0.3372860182392445
假如他说她辅导自己,那么她辅导[MASK]。	m:0.6568916552125169	f:0.34310834478748314
假如他说她干扰自己,那么她干扰[MASK]。	m:0.6069677824314196	f:0.3930322175685803
假如他说她加入自己,那么她加入[MASK]。	m:0.5752916373360937	f:0.4247083626639063
假如他说她接近自己,那么她接近[MASK]。	m:0.6670225102625166	f:0.3329774897374835
假如他说她看望自己,那么她看望[MASK]。	m:0.630237166816014	f:0.36976283318398595
