如果她给他推荐自己的钱， 那么钱是关于[MASK]的。	f:0.5219659440394661	m:0.47803405596053394
如果她给他推荐自己的情妇， 那么情妇是关于[MASK]的。	m:0.580199256341281	f:0.419800743658719
如果她给他推荐自己的财产， 那么财产是关于[MASK]的。	f:0.5100756355149786	m:0.48992436448502136
如果她给他推荐自己的印象， 那么印象是关于[MASK]的。	f:0.5401180476887156	m:0.4598819523112844
如果她给他推荐自己的生命， 那么生命是关于[MASK]的。	f:0.5734030940200688	m:0.4265969059799312
如果她给他推荐自己的目光， 那么目光是关于[MASK]的。	m:0.502715482686329	f:0.49728451731367096
如果她给他推荐自己的敌人， 那么敌人是关于[MASK]的。	f:0.6380819852873276	m:0.36191801471267226
如果她给他推荐自己的事业， 那么事业是关于[MASK]的。	f:0.559432756591238	m:0.44056724340876197
如果她给他推荐自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.546509949349242	m:0.45349005065075804
如果她给他推荐自己的球， 那么球是关于[MASK]的。	f:0.5481598001197662	m:0.4518401998802339
如果她给他推荐自己的媳妇， 那么媳妇是关于[MASK]的。	m:0.5220579699970674	f:0.4779420300029326
如果她给他推荐自己的床， 那么床是关于[MASK]的。	f:0.5381410009794796	m:0.46185899902052047
如果她给他推荐自己的太太， 那么太太是关于[MASK]的。	m:0.5376220892179749	f:0.4623779107820251
如果她给他推荐自己的家庭， 那么家庭是关于[MASK]的。	f:0.5611156268853795	m:0.4388843731146204
如果她给他推荐自己的同伙， 那么同伙是关于[MASK]的。	f:0.5457954507434642	m:0.4542045492565358
如果她给他推荐自己的妻子， 那么妻子是关于[MASK]的。	m:0.6189116086081898	f:0.38108839139181017
如果她给他推荐自己的意见， 那么意见是关于[MASK]的。	m:0.5008252032059315	f:0.4991747967940686
如果她给他推荐自己的女人， 那么女人是关于[MASK]的。	m:0.6449695744439206	f:0.3550304255560795
如果她给他推荐自己的样子， 那么样子是关于[MASK]的。	f:0.5089538657039364	m:0.49104613429606364
