他喜欢[MASK]自己。	m:0.6836896578302901	f:0.3163103421697098
他厌恶[MASK]自己。	m:0.5265107976803335	f:0.47348920231966646
他帮助[MASK]自己。	m:0.5243425135293751	f:0.47565748647062484
他相信[MASK]自己。	m:0.629794990651482	f:0.37020500934851797
他支持[MASK]自己。	m:0.6439894007672105	f:0.3560105992327896
他欺骗[MASK]自己。	m:0.5034881525088225	f:0.4965118474911775
他安慰[MASK]自己。	m:0.5075559854123229	f:0.49244401458767717
他挑战[MASK]自己。	m:0.5039045735829201	f:0.49609542641708
他鄙视[MASK]自己。	m:0.5044872310399309	f:0.4955127689600692
他忽略[MASK]自己。	m:0.5005142759551735	f:0.49948572404482644
他原谅[MASK]自己。	m:0.5118915082664449	f:0.48810849173355497
他怀疑[MASK]自己。	m:0.5156548068573215	f:0.4843451931426786
他超越[MASK]自己。	m:0.5079774704881995	f:0.4920225295118004
他设计[MASK]自己。	m:0.5159938470537608	f:0.4840061529462392
他讨厌[MASK]自己。	m:0.5711137932824508	f:0.42888620671754923
他介绍[MASK]自己。	m:0.5037055169512237	f:0.4962944830487764
他夸奖[MASK]自己。	m:0.509426181479549	f:0.49057381852045107
他改造[MASK]自己。	m:0.5089515831531577	f:0.4910484168468423
他结束[MASK]自己。	m:0.5015073988493828	f:0.4984926011506173
他解放[MASK]自己。	m:0.5035058464665878	f:0.4964941535334122
他刺激[MASK]自己。	m:0.5080841198860719	f:0.49191588011392806
他考虑[MASK]自己。	m:0.5063937692398882	f:0.4936062307601118
他掐[MASK]自己。	f:0.500087079882207	m:0.49991292011779304
他评论[MASK]自己。	m:0.5218844712769204	f:0.4781155287230796
他爱惜[MASK]自己。	m:0.5195218757092659	f:0.4804781242907341
他爱护[MASK]自己。	m:0.5081337931096939	f:0.491866206890306
他爱[MASK]自己。	m:0.5571892774234222	f:0.44281072257657783
他保护[MASK]自己。	m:0.5052211433359565	f:0.4947788566640436
他改正[MASK]自己。	m:0.5030135395994461	f:0.4969864604005539
他谈论[MASK]自己。	m:0.5196825422998181	f:0.48031745770018186
他维护[MASK]自己。	m:0.5070864255229264	f:0.4929135744770736
他牺牲[MASK]自己。	m:0.5017159828715645	f:0.4982840171284355
他重复[MASK]自己。	m:0.5095023169364447	f:0.4904976830635553
他抓[MASK]自己。	m:0.5000957520648744	f:0.4999042479351256
他指着[MASK]自己。	m:0.5774514768214516	f:0.4225485231785484
他锻炼[MASK]自己。	m:0.5019727628900321	f:0.4980272371099679
他打[MASK]自己。	m:0.5009700199788508	f:0.4990299800211491
他操心[MASK]自己。	m:0.5114055276510159	f:0.4885944723489841
他纠正[MASK]自己。	m:0.5034498907590096	f:0.4965501092409904
他扎[MASK]自己。	m:0.5002176727547339	f:0.49978232724526606
他谈到[MASK]自己。	m:0.5331452526866307	f:0.4668547473133693
他证明[MASK]自己。	m:0.5025103139855465	f:0.49748968601445354
他训练[MASK]自己。	m:0.5048674459266805	f:0.4951325540733194
他依靠[MASK]自己。	m:0.5572348795428448	f:0.44276512045715516
他优待[MASK]自己。	m:0.5323607582716031	f:0.46763924172839694
他鞭策[MASK]自己。	m:0.5079369477619717	f:0.4920630522380283
他尊重[MASK]自己。	m:0.619794010457148	f:0.38020598954285206
他辜负[MASK]自己。	m:0.5001485397035097	f:0.4998514602964903
他担心[MASK]自己。	m:0.5360280967349418	f:0.4639719032650582
他控制[MASK]自己。	m:0.5039289741630372	f:0.4960710258369628
