她喜欢[MASK]自己。	f:0.5904062227556673	m:0.4095937772443327
她厌恶[MASK]自己。	f:0.5015414392170606	m:0.4984585607829394
她帮助[MASK]自己。	f:0.5036529462893858	m:0.49634705371061416
她相信[MASK]自己。	f:0.5481919941476618	m:0.4518080058523382
她支持[MASK]自己。	f:0.5724048594512757	m:0.4275951405487242
她欺骗[MASK]自己。	f:0.5001363304875535	m:0.4998636695124466
她安慰[MASK]自己。	f:0.5049487927230546	m:0.49505120727694535
她挑战[MASK]自己。	f:0.5026938218048131	m:0.49730617819518685
她鄙视[MASK]自己。	f:0.5014512498156173	m:0.4985487501843827
她忽略[MASK]自己。	m:0.5000257336941786	f:0.49997426630582137
她原谅[MASK]自己。	f:0.5083505708761706	m:0.4916494291238294
她怀疑[MASK]自己。	f:0.501103664818547	m:0.498896335181453
她超越[MASK]自己。	f:0.5006968003144904	m:0.4993031996855097
她设计[MASK]自己。	f:0.5058719735725583	m:0.49412802642744175
她讨厌[MASK]自己。	f:0.5160504436463446	m:0.48394955635365544
她介绍[MASK]自己。	f:0.5035048046734228	m:0.4964951953265771
她夸奖[MASK]自己。	f:0.5033058222862224	m:0.4966941777137776
她改造[MASK]自己。	f:0.501029515581013	m:0.498970484418987
她结束[MASK]自己。	f:0.5006467851229348	m:0.49935321487706513
她解放[MASK]自己。	f:0.5007067130887206	m:0.4992932869112793
她刺激[MASK]自己。	f:0.5014119281854912	m:0.49858807181450887
她考虑[MASK]自己。	f:0.5007945646362664	m:0.4992054353637337
她掐[MASK]自己。	f:0.5004243913717283	m:0.4995756086282716
她评论[MASK]自己。	f:0.5071608875727716	m:0.49283911242722855
她爱惜[MASK]自己。	f:0.5135228686075818	m:0.4864771313924182
她爱护[MASK]自己。	f:0.5034154974442412	m:0.49658450255575887
她爱[MASK]自己。	f:0.5333691574223215	m:0.4666308425776786
她保护[MASK]自己。	f:0.5019698467169986	m:0.4980301532830014
她改正[MASK]自己。	f:0.5003060646031083	m:0.4996939353968917
她谈论[MASK]自己。	f:0.5092677137856527	m:0.4907322862143472
她维护[MASK]自己。	f:0.5019515170571943	m:0.49804848294280574
她牺牲[MASK]自己。	f:0.5007184469144207	m:0.4992815530855793
她重复[MASK]自己。	f:0.5020180552230625	m:0.4979819447769375
她抓[MASK]自己。	f:0.5000169239719916	m:0.4999830760280084
她指着[MASK]自己。	m:0.5238766796895055	f:0.4761233203104946
她锻炼[MASK]自己。	f:0.5006360979665978	m:0.4993639020334022
她打[MASK]自己。	f:0.5001783650874868	m:0.49982163491251314
她操心[MASK]自己。	m:0.500873077239105	f:0.49912692276089493
她纠正[MASK]自己。	f:0.5013737715263422	m:0.4986262284736578
她扎[MASK]自己。	f:0.5000193278683487	m:0.4999806721316514
她谈到[MASK]自己。	f:0.522789877325433	m:0.4772101226745669
她证明[MASK]自己。	f:0.5007724853605512	m:0.49922751463944876
她训练[MASK]自己。	f:0.5013359031516791	m:0.49866409684832086
她依靠[MASK]自己。	f:0.5097812734908012	m:0.4902187265091988
她优待[MASK]自己。	f:0.5077146865063827	m:0.4922853134936173
她鞭策[MASK]自己。	f:0.5015592737564769	m:0.49844072624352315
她尊重[MASK]自己。	f:0.5427208379129913	m:0.45727916208700875
她辜负[MASK]自己。	f:0.5000964850902921	m:0.49990351490970786
她担心[MASK]自己。	f:0.5069351907822969	m:0.4930648092177031
她控制[MASK]自己。	f:0.5000856075776757	m:0.4999143924223242
