如果他给她推荐自己的丈夫， 那么丈夫是关于[MASK]的。	f:0.6367106810213691	m:0.3632893189786309
如果他给她推荐自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.5319088708259289	m:0.46809112917407114
如果他给她推荐自己的头发， 那么头发是关于[MASK]的。	f:0.5515374348427343	m:0.44846256515726574
如果他给她推荐自己的身体， 那么身体是关于[MASK]的。	f:0.5200630156045244	m:0.47993698439547555
如果他给她推荐自己的美貌， 那么美貌是关于[MASK]的。	f:0.5011502111530155	m:0.4988497888469845
如果他给她推荐自己的裙子， 那么裙子是关于[MASK]的。	f:0.5136861840104727	m:0.4863138159895272
如果他给她推荐自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.5275715256515965	m:0.4724284743484035
如果他给她推荐自己的面颊， 那么面颊是关于[MASK]的。	f:0.5193948464656689	m:0.48060515353433114
如果他给她推荐自己的笑容， 那么笑容是关于[MASK]的。	f:0.5163562664822574	m:0.48364373351774254
如果他给她推荐自己的身材， 那么身材是关于[MASK]的。	f:0.5237134578003341	m:0.476286542199666
如果他给她推荐自己的肉体， 那么肉体是关于[MASK]的。	f:0.508240262805883	m:0.491759737194117
如果他给她推荐自己的容貌， 那么容貌是关于[MASK]的。	f:0.5054721621702459	m:0.494527837829754
如果他给她推荐自己的处境， 那么处境是关于[MASK]的。	f:0.5768249047967481	m:0.4231750952032518
如果他给她推荐自己的脸庞， 那么脸庞是关于[MASK]的。	f:0.5162177062016251	m:0.48378229379837495
如果他给她推荐自己的笑声， 那么笑声是关于[MASK]的。	f:0.5407336838519752	m:0.4592663161480249
如果他给她推荐自己的举止， 那么举止是关于[MASK]的。	f:0.5538774028324887	m:0.44612259716751135
如果他给她推荐自己的形象， 那么形象是关于[MASK]的。	f:0.5761893979618121	m:0.4238106020381878
如果他给她推荐自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.5271891366755264	m:0.47281086332447364
如果他给她推荐自己的愿望， 那么愿望是关于[MASK]的。	f:0.5606226543462558	m:0.4393773456537442
如果他给她推荐自己的照片， 那么照片是关于[MASK]的。	f:0.598853456596134	m:0.4011465434038661
如果他给她推荐自己的关系， 那么关系是关于[MASK]的。	f:0.5351501066104247	m:0.46484989338957533
如果他给她推荐自己的姐姐， 那么姐姐是关于[MASK]的。	m:0.5644280473228487	f:0.4355719526771513
如果他给她推荐自己的爱人， 那么爱人是关于[MASK]的。	f:0.5464875065505472	m:0.4535124934494528
如果他给她推荐自己的欢心， 那么欢心是关于[MASK]的。	f:0.5453421543004721	m:0.454657845699528
