她知道他经常批评[MASK]自己。	f:0.5975785427434933	m:0.40242145725650663
她知道他把[MASK]自己的书送给了朋友。	m:0.5724781450378541	f:0.42752185496214584
她担心他会批评[MASK]自己。	f:0.6265905125479689	m:0.3734094874520312
她知道他害了[MASK]自己。	f:0.6833217324069388	m:0.3166782675930612
她觉得他对[MASK]自己没信心。	f:0.5116025350485937	m:0.48839746495140635
她认为他的骄傲害了[MASK]自己。	f:0.5344398088263405	m:0.46556019117365954
她知道他告诉过她有关[MASK]自己的工作。	m:0.5641097506600923	f:0.4358902493399077
她说他跟她谈过[MASK]自己的事。	m:0.6097979388762591	f:0.3902020611237409
她认为他从她那里听说了[MASK]自己的分数。	m:0.5312371521476149	f:0.46876284785238503
她知道他在她家洗[MASK]自己的照片。	f:0.5039775782756492	m:0.4960224217243508
她不喜欢他管[MASK]自己的事。	m:0.6265218678493637	f:0.3734781321506363
她知道他的报告害了[MASK]自己。	f:0.6557839722492022	m:0.3442160277507978
她的话暗示他的信害了[MASK]自己。	m:0.5091297387295156	f:0.4908702612704845
她认为他恨[MASK]自己。	f:0.5111305129198913	m:0.4888694870801087
她说他喜欢[MASK]自己。	m:0.574103953014978	f:0.42589604698502204
她告诉别人他觉得[MASK]自己明年可以考进好大学。	m:0.5654475997673268	f:0.4345524002326732
她说他批评了[MASK]自己。	m:0.5372361003383178	f:0.4627638996616822
她觉得他在批评[MASK]自己。	f:0.6235870285502119	m:0.3764129714497881
她认为他知道[MASK]自己的朋友是一个好人。	m:0.5040479796318841	f:0.49595202036811586
她觉得他不喜欢[MASK]自己。	f:0.5617452371170648	m:0.43825476288293513
