如果他只要将手中的剑举起，看着一抹黑影无声无息地掠向了自己，那么黑影掠向了[MASK]。	m:0.49689594836707	f:0.26081757307606285	t:0.24228647855686716
如果新的门就在眼前，他却不知道那后面是什么在等待自己，那么后面有东西在等待[MASK]。	m:0.5181748024974041	t:0.24146978409795283	f:0.240355413404643
如果她想那些东西若被搜查着，日本兵的刺刀会刺通了自己，那么刺刀刺痛了[MASK]。	f:0.4882933159146555	m:0.2679857193301351	t:0.2437209647552094
如果她感到它在暗中牢牢地控制着自己，那么它在控制[MASK]。	f:0.39011180461890294	t:0.3079506673075905	m:0.3019375280735065
如果男子知道旋律已经以虎钳般的力量抓住了自己，那么旋律抓住了[MASK]。	m:0.4993393357465967	f:0.25452403415002484	t:0.24613663010337844
如果他认为猝死会逼近自己，那么猝死逼近[MASK]。	m:0.38924071766776847	t:0.31014496458753027	f:0.3006143177447013
如果我甚至感到土黄色的地面都在威胁着自己，那么地面在威胁[MASK]。	w:0.3594449409615766	t:0.2145631679808413	m:0.21383797626749393	f:0.21215391479008824
如果杰克感到错综复杂的各类情感像刀子一样切割自己，那么情感像刀子在切割[MASK]。	m:0.4995630341238322	t:0.25834807683515104	f:0.24208888904101677
如果适才他只是假定了几十只摄影机的黑洞洞的独眼包围着自己，那么独眼包围着[MASK]。	m:0.4553365230754173	f:0.2723706549954835	t:0.27229282192909926
如果她只是无形中感到杰克那无拘无束的态度在不断地威胁着自己，那么杰克的态度在威胁[MASK]。	f:0.5043878511105778	m:0.25438574155396143	t:0.2412264073354607
如果她觉着有个东西狠狠垫了自己一下，那么有东西垫了[MASK]。	f:0.5067064463953184	m:0.24808579578608245	t:0.24520775781859913
如果他刚装了一副假牙，还拿定了这种奶酪最合适自己，那么这种奶酪最适合[MASK]。	m:0.5101883168483284	f:0.24543820433805252	t:0.24437347881361904
如果他还不懂得瘟疫在威胁着自己，那么瘟疫威胁着[MASK]。	m:0.5127443464363038	t:0.2438694657116073	f:0.24338618785208888
如果走出帐篷时，他感到那早已忘掉的高山雪夜的死一般的寂静笼罩着自己，那么寂静笼罩着[MASK]。	m:0.5107531816547153	f:0.24507950206908136	t:0.24416731627620333
如果他觉得可能是风里的那个东西抓住了克洛维斯，他害怕那东西也会抓住自己，那么他害怕那东西会抓住[MASK]。	m:0.5030208647191178	f:0.24915853211060396	t:0.24782060317027824
