如果他说她诬陷自己,那么她诬陷	f:0.4875337431710585	m:0.5124662568289414
如果他说她拥抱自己,那么她拥抱	f:0.49723692257078966	m:0.5027630774292103
如果他说她离开自己,那么她离开	f:0.49924675711602823	m:0.5007532428839718
如果他说她打扰自己,那么她打扰	f:0.45866893158020294	m:0.5413310684197971
如果他说她超过自己,那么她超过	f:0.5033171812458066	m:0.49668281875419346
如果他说她忘了自己,那么她忘了	f:0.5089666253808107	m:0.49103337461918933
如果他说她回答自己,那么她回答	f:0.5081142159416907	m:0.49188578405830935
如果他说她表扬自己,那么她表扬	f:0.5029139188839581	m:0.4970860811160418
如果他说她反对自己,那么她反对	f:0.4866551680459273	m:0.5133448319540728
如果他说她调查自己,那么她调查	f:0.5041444386181924	m:0.49585556138180764
如果他说她拜访自己,那么她拜访	f:0.5016286688065156	m:0.4983713311934844
如果他说她偷听自己,那么她偷听	f:0.501236042283861	m:0.498763957716139
如果他说她暗恋自己,那么她暗恋	f:0.49626867973930155	m:0.5037313202606984
如果他说她邀请自己,那么她邀请	f:0.5275861883521508	m:0.4724138116478493
如果他说她等待自己,那么她等待	f:0.5008338886963544	m:0.4991661113036456
如果他说她嫉妒自己,那么她嫉妒	f:0.49752691030066376	m:0.5024730896993362
如果他说她羡慕自己,那么她羡慕	f:0.5001710959410568	m:0.49982890405894315
如果他说她搭讪自己,那么她搭讪	f:0.5021021856925012	m:0.49789781430749874
如果他说她监视自己,那么她监视	f:0.43718503765082645	m:0.5628149623491736
如果他说她吵醒自己,那么她吵醒	f:0.5021723539783314	m:0.4978276460216687
如果他说她激怒自己,那么她激怒	f:0.46384864447202817	m:0.5361513555279718
如果他说她模仿自己,那么她模仿	f:0.5035667988727898	m:0.4964332011272103
如果他说她欺负自己,那么她欺负	f:0.5257573984623594	m:0.4742426015376406
如果他说她追随自己,那么她追随	f:0.49967959853549426	m:0.5003204014645057
如果他说她回避自己,那么她回避	f:0.5111779048177185	m:0.4888220951822815
如果他说她思念自己,那么她思念	f:0.5030238593833463	m:0.49697614061665374
如果他说她仰慕自己,那么她仰慕	f:0.5000960120512014	m:0.49990398794879876
如果他说她冷落自己,那么她冷落	f:0.5193472919762465	m:0.4806527080237536
如果他说她靠近自己,那么她靠近	f:0.5020622382348048	m:0.49793776176519516
如果他说她辅导自己,那么她辅导	f:0.4653198705890546	m:0.5346801294109453
如果他说她干扰自己,那么她干扰	f:0.46011245054732636	m:0.5398875494526737
如果他说她加入自己,那么她加入	f:0.5025510469978257	m:0.49744895300217434
如果他说她接近自己,那么她接近	f:0.5090778961557615	m:0.4909221038442385
如果他说她看望自己,那么她看望	f:0.5028433567741868	m:0.4971566432258132
如果他说她捞自己,那么她捞	f:0.4930957502082584	m:0.5069042497917415
如果他说她欢迎自己,那么她欢迎	f:0.49766824222239664	m:0.5023317577776033
如果他说她勾引自己,那么她勾引	f:0.48212113907340454	m:0.5178788609265954
如果他说她勾结自己,那么她勾结	f:0.5065363525943329	m:0.4934636474056671
如果他说她等自己,那么她等	f:0.49045362770660145	m:0.5095463722933985
如果他说她等候自己,那么她等候	f:0.4856272645051688	m:0.5143727354948312
如果他说她挤自己,那么她挤	f:0.4608158079336788	m:0.5391841920663212
如果他说她排挤自己,那么她排挤	f:0.45826887292214163	m:0.5417311270778583
如果他说她欺压自己,那么她欺压	f:0.5092215231760461	m:0.490778476823954
如果他说她探望自己,那么她探望	f:0.505011859122456	m:0.49498814087754395
如果他说她信任自己,那么她信任	f:0.4809131777588757	m:0.5190868222411243
如果他说她响应自己,那么她响应	f:0.5004456042063666	m:0.49955439579363337
如果他说她学习自己,那么她学习	f:0.5026234780894173	m:0.4973765219105828
如果他说她咬自己,那么她咬	f:0.47150945964960017	m:0.5284905403503999
如果他说她消灭自己,那么她消灭	f:0.5001772672911409	m:0.4998227327088592
如果他说她追赶自己,那么她追赶	f:0.4987855652014391	m:0.5012144347985609
如果他说她追求自己,那么她追求	f:0.5161313085059631	m:0.4838686914940368
如果他说她阻挡自己,那么她阻挡	f:0.4311630212915876	m:0.5688369787084124
如果他说她孝敬自己,那么她孝敬	f:0.46758526340070966	m:0.5324147365992903
如果他说她赢自己,那么她赢	f:0.5035828758508812	m:0.49641712414911876
如果他说她招呼自己,那么她招呼	f:0.49201447623534694	m:0.5079855237646531
如果他说她指导自己,那么她指导	f:0.49050194116239126	m:0.5094980588376087
如果他说她支援自己,那么她支援	f:0.49870671620300233	m:0.5012932837969977
如果他说她替换自己,那么她替换	f:0.5033549037186407	m:0.49664509628135944
如果他说她通知自己,那么她通知	f:0.49065551758774095	m:0.5093444824122589
如果他说她吸引自己,那么她吸引	f:0.44415552372060346	m:0.5558444762793965
如果他说她影响自己,那么她影响	f:0.46287316764096226	m:0.5371268323590377
如果他说她杀害自己,那么她杀害	f:0.5097739025640736	m:0.4902260974359263
如果他说她赔偿自己,那么她赔偿	f:0.49264276303892995	m:0.50735723696107
如果他说她衬托自己,那么她衬托	f:0.4476937657401998	m:0.5523062342598001
如果他说她扣留自己,那么她扣留	f:0.5117717420919163	m:0.4882282579080836
如果他说她恐吓自己,那么她恐吓	f:0.492691366922446	m:0.5073086330775541
如果他说她联络自己,那么她联络	f:0.4709838441421993	m:0.5290161558578006
如果他说她忍受自己,那么她忍受	f:0.502417521804443	m:0.4975824781955569
如果他说她请示自己,那么她请示	f:0.4978234253475884	m:0.5021765746524116
如果他说她算计自己,那么她算计	f:0.5169879620348684	m:0.4830120379651315
