如果她知道他经常批评自己,那么道他经常批评	f:0.5459262017950102	m:0.4540737982049898
如果她知道他把自己的书送给了朋友,那么道他把自己的书送给了	f:0.5039730909814973	m:0.49602690901850266
如果她担心他会批评自己,那么心他会批评	f:0.47625352870020704	m:0.5237464712997929
如果她知道他害了自己,那么道他害了	f:0.5949740710087134	m:0.40502592899128664
如果她觉得他对自己没信心,那么得他对自己没	f:0.4981367641694288	m:0.5018632358305711
如果她认为他的骄傲害了自己,那么为他的骄傲害了	f:0.5194601756601359	m:0.4805398243398642
如果她知道他告诉过她有关自己的工作,那么道他告诉过她有关自己的	f:0.502706453255549	m:0.4972935467444511
如果她说他跟她谈过自己的事,那么他跟她谈过自己	f:0.501698211406734	m:0.498301788593266
如果她认为他从她那里听说了自己的分数,那么为他从她那里听说了自己的	f:0.5010828745966608	m:0.49891712540333927
如果她知道他在她家洗自己的照片,那么道他在她家洗自己的	f:0.5052153631299731	m:0.49478463687002705
如果她不喜欢他管自己的事,那么喜欢他管自己	f:0.4997484205735813	m:0.5002515794264187
如果她知道他的报告害了自己,那么道他的报告害了	f:0.6443320128768133	m:0.3556679871231868
如果她的话暗示他的信害了自己,那么话暗示他的信害了	f:0.5263697128380342	m:0.4736302871619658
如果她认为他恨自己,那么为他恨	f:0.5104277541216015	m:0.4895722458783986
如果她说他喜欢自己,那么他喜欢	f:0.5089129517982549	m:0.4910870482017451
如果她告诉别人他觉得自己明年可以考进好大学,那么诉别人他觉得自己明年可以考进好	f:0.5018205944082121	m:0.49817940559178786
如果她说他批评了自己,那么他批评了	f:0.5478238240764205	m:0.45217617592357945
如果她觉得他在批评自己,那么得他在批评	f:0.5411817430604572	m:0.4588182569395428
如果她认为他知道自己的朋友是一个好人,那么为他知道自己的朋友是一个	f:0.4992280494501616	m:0.5007719505498384
如果她觉得他不喜欢自己,那么得他不喜欢	f:0.5037297007808975	m:0.49627029921910243
