如果他告诉她一个关于自己的秘密， 那么秘密是关于	f:0.5095054078102759	m:0.49049459218972413
如果他寄给她一封关于自己的信， 那么信是关于	f:0.5030710884889792	m:0.4969289115110208
如果他送给她一本关于自己的书， 那么书是关于	f:0.5014156095577805	m:0.4985843904422194
如果他描述给她一个关于自己的梦， 那么梦是关于	f:0.501623552640066	m:0.498376447359934
如果他解释给她一个关于自己的决定， 那么决定是关于	f:0.5052375023228587	m:0.49476249767714137
如果他展示给她一幅关于自己的画， 那么画是关于	f:0.5100201536656089	m:0.48997984633439107
如果他讲述给她一个关于自己的故事， 那么故事是关于	f:0.5024637019637563	m:0.4975362980362436
如果他编写给她一首关于自己的诗， 那么诗是关于	f:0.5110541666951597	m:0.4889458333048403
如果他演示给她一个关于自己的技巧， 那么技巧是关于	f:0.5050172277734669	m:0.49498277222653314
如果他描述给她一场关于自己的经历， 那么经历是关于	f:0.5055915373472251	m:0.494408462652775
如果他回忆给她一段关于自己的往事， 那么往事是关于	f:0.5078308761851746	m:0.49216912381482536
如果他给她看了一张关于自己的照片， 那么照片是关于	f:0.5049525895857511	m:0.495047410414249
如果他发给她一条关于自己的消息， 那么消息是关于	f:0.5095568279274119	m:0.4904431720725881
如果他写给她一篇关于自己的文章， 那么文章是关于	f:0.5121131013991688	m:0.48788689860083123
如果他展示给她一张关于自己的地图， 那么地图是关于	f:0.5121734215555777	m:0.4878265784444223
如果他讲给她一个关于自己的笑话， 那么笑话是关于	f:0.5035289956863456	m:0.4964710043136545
如果他传给她一个关于自己的文件， 那么文件是关于	f:0.502465255255658	m:0.497534744744342
如果他绘制给她一幅关于自己的草图， 那么草图是关于	f:0.507105829444929	m:0.49289417055507095
如果他提供给她一项关于自己的建议， 那么建议是关于	f:0.5030048047503726	m:0.49699519524962754
如果他演唱给她一首关于自己的歌曲， 那么歌曲是关于	f:0.5022839530770528	m:0.49771604692294724
如果他设计给她一个关于自己的项目， 那么项目是关于	f:0.5136100127525587	m:0.4863899872474413
如果他讲述给她一段关于自己的历史， 那么历史是关于	f:0.5009717301280324	m:0.4990282698719676
如果他推荐给她一本关于自己的传记， 那么传记是关于	f:0.5017807101049347	m:0.4982192898950652
如果他解释给她一个关于自己的观点， 那么观点是关于	f:0.5061633981746485	m:0.49383660182535144
如果他分享给她一篇关于自己的论文， 那么论文是关于	f:0.5022249121514996	m:0.4977750878485004
如果他报告给她一项关于自己的研究， 那么研究是关于	f:0.5083257962055704	m:0.49167420379442955
如果他送给她一个关于自己的纪念品， 那么纪念品是关于	f:0.5050228674690432	m:0.4949771325309568
如果他展示给她一份关于自己的简历， 那么简历是关于	f:0.5086879248267978	m:0.49131207517320225
如果他描绘给她一幅关于自己的肖像， 那么肖像是关于	f:0.5056820321212773	m:0.4943179678787227
如果他讨论给她一个关于自己的话题， 那么话题是关于	f:0.5026800316440383	m:0.49731996835596165
如果他汇报给她一项关于自己的成就， 那么成就是关于	f:0.5062304164447788	m:0.49376958355522116
如果他寄给她一件关于自己的物品， 那么物品是关于	f:0.5208101160106057	m:0.47918988398939444
如果他翻译给她一篇关于自己的文章， 那么文章是关于	f:0.5048744426383477	m:0.4951255573616522
如果他编排给她一个关于自己的节目， 那么节目是关于	f:0.5039641280320746	m:0.49603587196792537
如果他演示给她一段关于自己的舞蹈， 那么舞蹈是关于	f:0.5013499020222494	m:0.49865009797775056
如果他朗读给她一封关于自己的信件， 那么信件是关于	f:0.5027738899856302	m:0.4972261100143697
如果他发布给她一条关于自己的公告， 那么公告是关于	f:0.5079209943192471	m:0.49207900568075297
如果他策划给她一个关于自己的活动， 那么活动是关于	f:0.5030308879335562	m:0.49696911206644373
如果他陈述给她一份关于自己的声明， 那么声明是关于	f:0.5009294587278923	m:0.49907054127210776
如果他发送给她一条关于自己的通知， 那么通知是关于	f:0.5208551804777579	m:0.47914481952224214
