如果她告诉他一个关于自己的秘密， 那么秘密是关于	f:0.5034312248825807	m:0.49656877511741926
如果她寄给他一封关于自己的信， 那么信是关于	f:0.4986843923200063	m:0.5013156076799937
如果她送给他一本关于自己的书， 那么书是关于	f:0.5000083094346329	m:0.49999169056536713
如果她描述给他一个关于自己的梦， 那么梦是关于	f:0.5003529583332575	m:0.49964704166674234
如果她解释给他一个关于自己的决定， 那么决定是关于	f:0.501519739371592	m:0.4984802606284081
如果她展示给他一幅关于自己的画， 那么画是关于	f:0.5009581905235617	m:0.4990418094764383
如果她讲述给他一个关于自己的故事， 那么故事是关于	f:0.5013562979205012	m:0.4986437020794988
如果她编写给他一首关于自己的诗， 那么诗是关于	f:0.49989864882220564	m:0.5001013511777944
如果她演示给他一个关于自己的技巧， 那么技巧是关于	f:0.49957655566623393	m:0.5004234443337661
如果她描述给他一场关于自己的经历， 那么经历是关于	f:0.5011451651574772	m:0.4988548348425228
如果她回忆给他一段关于自己的往事， 那么往事是关于	f:0.5027251785150556	m:0.49727482148494434
如果她给他看了一张关于自己的照片， 那么照片是关于	f:0.4996541536499026	m:0.5003458463500973
如果她发给他一条关于自己的消息， 那么消息是关于	f:0.49772417813128206	m:0.5022758218687179
如果她写给他一篇关于自己的文章， 那么文章是关于	f:0.5088173038483607	m:0.49118269615163934
如果她展示给他一张关于自己的地图， 那么地图是关于	f:0.4999215253635234	m:0.5000784746364766
如果她讲给他一个关于自己的笑话， 那么笑话是关于	f:0.501237722146675	m:0.49876227785332505
如果她传给他一个关于自己的文件， 那么文件是关于	f:0.4981727392735077	m:0.5018272607264923
如果她绘制给他一幅关于自己的草图， 那么草图是关于	f:0.498097247316087	m:0.5019027526839129
如果她提供给他一项关于自己的建议， 那么建议是关于	f:0.5000648722048934	m:0.4999351277951066
如果她演唱给他一首关于自己的歌曲， 那么歌曲是关于	f:0.49951412788518884	m:0.5004858721148111
如果她设计给他一个关于自己的项目， 那么项目是关于	f:0.4964340994294411	m:0.5035659005705588
如果她讲述给他一段关于自己的历史， 那么历史是关于	f:0.5006890680236656	m:0.49931093197633436
如果她推荐给他一本关于自己的传记， 那么传记是关于	f:0.5015995294238204	m:0.49840047057617964
如果她解释给他一个关于自己的观点， 那么观点是关于	f:0.5027771814110131	m:0.4972228185889868
如果她分享给他一篇关于自己的论文， 那么论文是关于	f:0.5027569308875117	m:0.49724306911248817
如果她报告给他一项关于自己的研究， 那么研究是关于	f:0.5003379657349867	m:0.49966203426501327
如果她送给他一个关于自己的纪念品， 那么纪念品是关于	f:0.5002269048553657	m:0.49977309514463425
如果她展示给他一份关于自己的简历， 那么简历是关于	f:0.5009033656162846	m:0.49909663438371543
如果她描绘给他一幅关于自己的肖像， 那么肖像是关于	f:0.5017047591106855	m:0.4982952408893146
如果她讨论给他一个关于自己的话题， 那么话题是关于	f:0.501168097514381	m:0.49883190248561904
如果她汇报给他一项关于自己的成就， 那么成就是关于	f:0.5012045791350874	m:0.49879542086491263
如果她寄给他一件关于自己的物品， 那么物品是关于	f:0.4950891114473641	m:0.5049108885526359
如果她翻译给他一篇关于自己的文章， 那么文章是关于	f:0.5011004203392894	m:0.4988995796607106
如果她编排给他一个关于自己的节目， 那么节目是关于	f:0.49940489726301973	m:0.5005951027369802
如果她演示给他一段关于自己的舞蹈， 那么舞蹈是关于	f:0.5001454511034252	m:0.4998545488965749
如果她朗读给他一封关于自己的信件， 那么信件是关于	f:0.5000945304043504	m:0.49990546959564963
如果她发布给他一条关于自己的公告， 那么公告是关于	f:0.501244784555064	m:0.49875521544493595
如果她策划给他一个关于自己的活动， 那么活动是关于	f:0.49998986884020413	m:0.500010131159796
如果她陈述给他一份关于自己的声明， 那么声明是关于	f:0.5002063537132182	m:0.49979364628678175
如果她发送给他一条关于自己的通知， 那么通知是关于	f:0.4951209917542662	m:0.5048790082457337
