如果她说这本书伤害了自己,那么这本书伤害了	f:0.36248672506328233	m:0.31965532305222844	t:0.3178579518844891
如果他说这本书改变了自己,那么这本书改变了	f:0.3240680873044797	m:0.35250594485525777	t:0.3234259678402625
如果他说这本书影响了自己,那么这本书影响了	f:0.3269162034659022	m:0.3473554998077116	t:0.32572829672638626
如果他说这本书吸引了自己,那么这本书吸引了	f:0.32381114389882204	m:0.3547432254223303	t:0.32144563067884757
如果她说这本书启发了自己,那么这本书启发了	f:0.3570144949594968	m:0.32209669692284776	t:0.32088880811765536
如果他说这本书激励了自己,那么这本书激励了	f:0.32537736294540354	m:0.35009886683433594	t:0.3245237702202605
如果她说这本书刺激了自己,那么这本书刺激了	f:0.38441585119698407	m:0.30922427192160123	t:0.3063598768814147
如果他说这本书困扰了自己,那么这本书困扰了	f:0.3187501472839805	m:0.363808328380084	t:0.3174415243359356
如果他说这本书鼓舞了自己,那么这本书鼓舞了	f:0.3286266719185925	m:0.34571372497566843	t:0.325659603105739
如果他说这本书鞭策了自己,那么这本书鞭策了	f:0.3266344760070303	m:0.3475009311034461	t:0.32586459288952363
如果他说这本书感动了自己,那么这本书感动了	f:0.32380767818183825	m:0.3548690530411595	t:0.32132326877700224
如果他说这本书迷惑了自己,那么这本书迷惑了	f:0.3257716100908484	m:0.3514470087292179	t:0.3227813811799338
如果她说这本书提醒了自己,那么这本书提醒了	f:0.35890373819719706	m:0.3211275264689918	t:0.3199687353338112
如果他说这封信伤害了自己,那么这封信伤害了	f:0.3271163039248984	m:0.34666524697170614	t:0.32621844910339554
如果她说这封信改变了自己,那么这封信改变了	f:0.3618764034414994	m:0.32111867421210716	t:0.3170049223463933
如果她说这封信影响了自己,那么这封信影响了	f:0.35112759983193803	m:0.3253795266548729	t:0.3234928735131891
如果她说这封信吸引了自己,那么这封信吸引了	f:0.36490152400156145	m:0.32010151825692545	t:0.31499695774151315
如果她说这封信启发了自己,那么这封信启发了	f:0.3486278397855357	m:0.3267767246786789	t:0.3245954355357855
如果他说这封信激励了自己,那么这封信激励了	f:0.3181461416000749	m:0.36484772276898314	t:0.3170061356309419
如果他说这封信刺激了自己,那么这封信刺激了	f:0.32103185505787485	m:0.35947915896109944	t:0.31948898598102565
如果她说这封信困扰了自己,那么这封信困扰了	f:0.3814871586439538	m:0.3111899181593493	t:0.30732292319669685
如果她说这封信鼓舞了自己,那么这封信鼓舞了	f:0.3767028265286646	m:0.31266814011363137	t:0.310629033357704
如果他说这封信鞭策了自己,那么这封信鞭策了	f:0.3261026623113852	m:0.3488228544690322	t:0.3250744832195826
如果她说这封信感动了自己,那么这封信感动了	f:0.3505585337801013	m:0.32675700647773853	t:0.3226844597421601
如果她说这封信刺激了自己,那么这封信刺激了	f:0.3675911103095181	m:0.31878834825185276	t:0.3136205414386291
如果她说这封信迷惑了自己,那么这封信迷惑了	f:0.3934915445684929	m:0.30500771525371284	t:0.3015007401777944
如果她说这封信提醒了自己,那么这封信提醒了	f:0.3542959625671789	m:0.32428337300865584	t:0.3214206644241652
如果她说这封信激励了自己,那么这封信激励了	f:0.3672314041700017	m:0.3187215740875489	t:0.3140470217424493
如果他说这个举动伤害了自己,那么这个举动伤害了	f:0.31761906055787414	m:0.36704528787908486	t:0.315335651563041
如果她说这个举动改变了自己,那么这个举动改变了	f:0.3987928338414118	m:0.3028260638999343	t:0.298381102258654
如果她说这个举动影响了自己,那么这个举动影响了	f:0.37238991748463013	m:0.3159183569213709	t:0.31169172559399894
如果他说这个举动吸引了自己,那么这个举动吸引了	f:0.30717207485215725	m:0.39008660453521027	t:0.3027413206126325
如果她说这个举动启发了自己,那么这个举动启发了	f:0.37313474087283593	m:0.3152934586522642	t:0.31157180047489974
如果他说这个举动激励了自己,那么这个举动激励了	f:0.3253506888825628	m:0.35007618702792165	t:0.32457312408951566
如果他说这个举动刺激了自己,那么这个举动刺激了	f:0.32262110987140297	m:0.3563944195725006	t:0.3209844705560964
如果她说这个举动困扰了自己,那么这个举动困扰了	f:0.3905406878983379	m:0.3071549873202852	t:0.302304324781377
如果她说这个举动鼓舞了自己,那么这个举动鼓舞了	f:0.3659690140428477	m:0.318027247077252	t:0.31600373887990035
如果他说这个举动鞭策了自己,那么这个举动鞭策了	f:0.3254859334158605	m:0.35019844534729866	t:0.32431562123684077
如果她说这个举动感动了自己,那么这个举动感动了	f:0.3926303055889801	m:0.30983204523598074	t:0.2975376491750392
如果他说这个举动迷惑了自己,那么这个举动迷惑了	f:0.32849418464608704	m:0.34419283620988	t:0.32731297914403296
如果他说这个举动提醒了自己,那么这个举动提醒了	f:0.3240462595464821	m:0.3537458829112211	t:0.3222078575422968
如果她说这个举动激励了自己,那么这个举动激励了	f:0.35561899210338255	m:0.32358320535204976	t:0.32079780254456775
如果他说这个结果伤害了自己,那么这个结果伤害了	f:0.3207130300033003	m:0.3616393934239046	t:0.317647576572795
如果他说这个结果改变了自己,那么这个结果改变了	f:0.3154306311681787	m:0.36932054384974344	t:0.31524882498207785
如果他说这个结果影响了自己,那么这个结果影响了	f:0.3232234716326955	m:0.3542576870744294	t:0.3225188412928751
如果他说这个结果吸引了自己,那么这个结果吸引了	f:0.3134117522105348	m:0.3756480458160789	t:0.31094020197338623
如果他说这个结果启发了自己,那么这个结果启发了	f:0.324808396673337	m:0.35102506413567414	t:0.3241665391909888
如果他说这个结果激励了自己,那么这个结果激励了	f:0.32692086545085636	m:0.3470112637113574	t:0.32606787083778627
如果她说这个结果刺激了自己,那么这个结果刺激了	f:0.36389475201551863	m:0.31911827510563634	t:0.316986972878845
如果她说这个结果困扰了自己,那么这个结果困扰了	f:0.39017878111706045	m:0.306238820927625	t:0.30358239795531455
如果她说这个结果鼓舞了自己,那么这个结果鼓舞了	f:0.3761044324607416	m:0.31281339574554134	t:0.3110821717937171
如果她说这个结果鞭策了自己,那么这个结果鞭策了	f:0.3606233395810278	m:0.32075371989850954	t:0.31862294052046264
如果她说这个结果感动了自己,那么这个结果感动了	f:0.39006965509219393	m:0.30741546979002893	t:0.3025148751177772
如果他说这个结果刺激了自己,那么这个结果刺激了	f:0.32712650257871656	m:0.34707791709391356	t:0.32579558032736994
如果他说这个结果迷惑了自己,那么这个结果迷惑了	f:0.32739161308566894	m:0.3470199897963524	t:0.32558839711797877
如果她说这个结果提醒了自己,那么这个结果提醒了	f:0.37452098729449285	m:0.31388049067610013	t:0.31159852202940697
如果她说这个结果激励了自己,那么这个结果激励了	f:0.35874695792840106	m:0.32142385525133343	t:0.3198291868202655
如果他说这个问题伤害了自己,那么这个问题伤害了	f:0.31379099046343645	m:0.3735286895402419	t:0.31268031999632184
如果她说这个问题改变了自己,那么这个问题改变了	f:0.4056970942635041	m:0.2983318110786028	t:0.2959710946578932
如果她说这个问题影响了自己,那么这个问题影响了	f:0.3801361373740703	m:0.3113370117729818	t:0.30852685085294784
如果她说这个问题吸引了自己,那么这个问题吸引了	f:0.42417481962613823	m:0.2904937199827664	t:0.2853314603910953
如果他说这个问题启发了自己,那么这个问题启发了	f:0.3247788162522344	m:0.3506298725201803	t:0.32459131122758533
如果他说这个问题激励了自己,那么这个问题激励了	f:0.32272808080909154	m:0.3549269277962862	t:0.3223449913946222
如果他说这个问题刺激了自己,那么这个问题刺激了	f:0.32188396196529157	m:0.35699075174097367	t:0.32112528629373477
如果他说这个问题困扰了自己,那么这个问题困扰了	f:0.30451222556882174	m:0.3916890848437927	t:0.3037986895873855
如果他说这个问题鼓舞了自己,那么这个问题鼓舞了	f:0.32457054561356824	m:0.35358073120200567	t:0.3218487231844261
如果他说这个问题鞭策了自己,那么这个问题鞭策了	f:0.3271991991674812	m:0.3461865442337293	t:0.32661425659878957
如果他说这个问题感动了自己,那么这个问题感动了	f:0.30282468329326767	m:0.39522873246027	t:0.30194658424646237
如果她说这个问题迷惑了自己,那么这个问题迷惑了	f:0.3615827254041083	m:0.3198385224955941	t:0.31857875210029774
如果她说这个问题提醒了自己,那么这个问题提醒了	f:0.3821885207672575	m:0.31033728403136557	t:0.3074741952013769
如果她说这句话伤害了自己,那么这句话伤害了	f:0.35959767809007964	m:0.32193919723301606	t:0.3184631246769043
如果她说这句话改变了自己,那么这句话改变了	f:0.3831190144845402	m:0.3099135237824735	t:0.3069674617329862
如果他说这句话影响了自己,那么这句话影响了	f:0.32577555890791937	m:0.3492346348608905	t:0.32498980623119006
如果他说这句话吸引了自己,那么这句话吸引了	f:0.31801863872914066	m:0.3672232012076857	t:0.31475816006317364
如果她说这句话启发了自己,那么这句话启发了	f:0.36090595367452655	m:0.3204906773109642	t:0.3186033690145093
如果她说这句话激励了自己,那么这句话激励了	f:0.38128025717185027	m:0.31157531768382885	t:0.3071444251443209
如果他说这句话刺激了自己,那么这句话刺激了	f:0.31842567204368777	m:0.36510955152135777	t:0.3164647764349544
如果他说这句话困扰了自己,那么这句话困扰了	f:0.31963002878309704	m:0.3620050601444792	t:0.31836491107242376
如果他说这句话鼓舞了自己,那么这句话鼓舞了	f:0.3250158474380992	m:0.3535696516581718	t:0.32141450090372903
如果他说这句话鞭策了自己,那么这句话鞭策了	f:0.3266331801009051	m:0.34883441645907665	t:0.3245324034400182
如果他说这句话感动了自己,那么这句话感动了	f:0.32106605705860064	m:0.36004300664390393	t:0.31889093629749554
