如果他说她反思自己,那么她反思	f:0.5156257756987755	m:0.48437422430122445
如果他说她反省自己,那么她反省	f:0.49123573300833523	m:0.5087642669916649
如果他说她坦白自己,那么她坦白	f:0.5100162227347687	m:0.4899837772652313
如果他说她迷失自己,那么她迷失	f:0.5072896006681319	m:0.492710399331868
如果他说她克制自己,那么她克制	f:0.5006140746814063	m:0.49938592531859366
如果他说她检讨自己,那么她检讨	f:0.4756794647360187	m:0.5243205352639813
如果他说她放松自己,那么她放松	f:0.5066502656639084	m:0.49334973433609164
如果他说她磨练自己,那么她磨练	f:0.5030521931281039	m:0.4969478068718961
如果他说她奉献自己,那么她奉献	f:0.5004736286393755	m:0.49952637136062444
如果他说她调整自己,那么她调整	f:0.5050267157126859	m:0.4949732842873141
如果他说她提升自己,那么她提升	f:0.5115431689783527	m:0.4884568310216473
如果他说她炫耀自己,那么她炫耀	f:0.5213398663342796	m:0.4786601336657203
如果他说她调节自己,那么她调节	f:0.4967858060642181	m:0.5032141939357818
如果他说她坚持自己,那么她坚持	f:0.5032172690357204	m:0.4967827309642796
如果他说她交代自己,那么她交代	f:0.5029951366895357	m:0.49700486331046434
如果他说她计较自己,那么她计较	f:0.4895253142304578	m:0.5104746857695422
如果他说她检讨自己,那么她检讨	f:0.4756794647360187	m:0.5243205352639813
如果他说她卖弄自己,那么她卖弄	f:0.4939722358973122	m:0.5060277641026878
如果他说她表达自己,那么她表达	f:0.519369322866001	m:0.480630677133999
如果他说她表现自己,那么她表现	f:0.5228007702035861	m:0.477199229796414
如果他说她扭伤自己,那么她扭伤	f:0.48724481196795616	m:0.5127551880320438
