如果他喜欢自己,那么他喜欢	f:0.47112177283826273	m:0.5288782271617372
如果他厌恶自己,那么他厌恶	f:0.48529002682103695	m:0.514709973178963
如果他帮助自己,那么他帮助	f:0.48591151567471635	m:0.5140884843252836
如果他相信自己,那么他相信	f:0.4609037963157521	m:0.5390962036842478
如果他支持自己,那么他支持	f:0.44935852831843986	m:0.5506414716815601
如果他欺骗自己,那么他欺骗	f:0.4935831258201288	m:0.5064168741798712
如果他安慰自己,那么他安慰	f:0.49612506600135853	m:0.5038749339986415
如果他挑战自己,那么他挑战	f:0.474859738248039	m:0.525140261751961
如果他鄙视自己,那么他鄙视	f:0.49998971737341125	m:0.5000102826265888
如果他忽略自己,那么他忽略	f:0.4761690498680938	m:0.5238309501319062
如果他原谅自己,那么他原谅	f:0.4504468181784668	m:0.5495531818215331
如果他怀疑自己,那么他怀疑	f:0.4697205290648131	m:0.5302794709351869
如果他超越自己,那么他超越	f:0.4587044931332329	m:0.5412955068667671
如果他设计自己,那么他设计	f:0.42485036555950895	m:0.575149634440491
如果他讨厌自己,那么他讨厌	f:0.4796882705258528	m:0.5203117294741472
如果他介绍自己,那么他介绍	f:0.49711139023540013	m:0.5028886097645998
如果他夸奖自己,那么他夸奖	f:0.46698681058900127	m:0.5330131894109986
如果他改造自己,那么他改造	f:0.42493455254884566	m:0.5750654474511543
如果他结束自己,那么他结束	f:0.48932000203078146	m:0.5106799979692185
如果他解放自己,那么他解放	f:0.46800444610804304	m:0.531995553891957
如果他刺激自己,那么他刺激	f:0.48157352754890126	m:0.5184264724510987
如果他考虑自己,那么他考虑	f:0.47269431911141896	m:0.5273056808885811
如果他掐自己,那么他掐	f:0.4992834832767446	m:0.5007165167232555
如果他评论自己,那么他评论	f:0.4602075852094567	m:0.5397924147905432
如果他爱惜自己,那么他爱惜	f:0.5022515437181654	m:0.49774845628183456
如果他爱护自己,那么他爱护	f:0.4815628300335848	m:0.5184371699664152
如果他爱自己,那么他爱	f:0.48602983051400844	m:0.5139701694859916
如果他保护自己,那么他保护	f:0.48203515275817527	m:0.5179648472418247
如果他改正自己,那么他改正	f:0.43976651464637606	m:0.5602334853536239
如果他谈论自己,那么他谈论	f:0.47248250876484876	m:0.5275174912351513
如果他维护自己,那么他维护	f:0.47522722469649087	m:0.5247727753035091
如果他牺牲自己,那么他牺牲	f:0.4992786313580968	m:0.5007213686419032
如果他重复自己,那么他重复	f:0.4745217719123162	m:0.5254782280876837
如果他抓自己,那么他抓	f:0.4881043634223436	m:0.5118956365776564
如果他指着自己,那么他指着	f:0.4713349200058831	m:0.5286650799941169
如果他锻炼自己,那么他锻炼	f:0.4848120977251157	m:0.5151879022748844
如果他打自己,那么他打	f:0.48173000231787644	m:0.5182699976821237
如果他操心自己,那么他操心	f:0.4728874834141014	m:0.5271125165858986
如果他纠正自己,那么他纠正	f:0.4596163948843222	m:0.5403836051156777
如果他扎自己,那么他扎	f:0.49031394945692597	m:0.509686050543074
如果他谈到自己,那么他谈到	f:0.4782106589424147	m:0.5217893410575852
如果他证明自己,那么他证明	f:0.45009048377661265	m:0.5499095162233875
如果他训练自己,那么他训练	f:0.4959305541861495	m:0.5040694458138504
如果他依靠自己,那么他依靠	f:0.447494315814518	m:0.552505684185482
如果他优待自己,那么他优待	f:0.4578510208662341	m:0.5421489791337659
如果他鞭策自己,那么他鞭策	f:0.48069667517556985	m:0.5193033248244302
如果他尊重自己,那么他尊重	f:0.4355650321156964	m:0.5644349678843036
如果他辜负自己,那么他辜负	f:0.49982915061929	m:0.50017084938071
如果他担心自己,那么他担心	f:0.46825398461547546	m:0.5317460153845246
如果他控制自己,那么他控制	f:0.46545293016172073	m:0.5345470698382793
