如果她说他诬陷自己,那么他诬陷	f:0.5226526958884483	m:0.47734730411155174
如果她说他拥抱自己,那么他拥抱	f:0.5112745794950819	m:0.488725420504918
如果她说他离开自己,那么他离开	f:0.5125275400598618	m:0.4874724599401381
如果她说他打扰自己,那么他打扰	f:0.5620818081994883	m:0.43791819180051167
如果她说他超过自己,那么他超过	f:0.5039336675349189	m:0.4960663324650811
如果她说他忘了自己,那么他忘了	f:0.5383501493195575	m:0.46164985068044245
如果她说他回答自己,那么他回答	f:0.5160351056688322	m:0.4839648943311678
如果她说他表扬自己,那么他表扬	f:0.5197593182559563	m:0.4802406817440437
如果她说他反对自己,那么他反对	f:0.5043608716364152	m:0.4956391283635849
如果她说他调查自己,那么他调查	f:0.4968498975532926	m:0.5031501024467073
如果她说他拜访自己,那么他拜访	f:0.5113807977018062	m:0.4886192022981938
如果她说他偷听自己,那么他偷听	f:0.5014760230166461	m:0.498523976983354
如果她说他暗恋自己,那么他暗恋	f:0.5335853276638498	m:0.46641467233615025
如果她说他邀请自己,那么他邀请	f:0.5818555046345223	m:0.41814449536547776
如果她说他等待自己,那么他等待	f:0.5102412196200258	m:0.48975878037997433
如果她说他嫉妒自己,那么他嫉妒	f:0.5310584646207237	m:0.4689415353792763
如果她说他羡慕自己,那么他羡慕	f:0.5014394759739449	m:0.49856052402605505
如果她说他搭讪自己,那么他搭讪	f:0.5108646194586257	m:0.48913538054137434
如果她说他监视自己,那么他监视	f:0.5810190769507778	m:0.41898092304922213
如果她说他吵醒自己,那么他吵醒	f:0.5077717531117011	m:0.49222824688829886
如果她说他激怒自己,那么他激怒	f:0.5327625033332224	m:0.4672374966667776
如果她说他模仿自己,那么他模仿	f:0.5028509874346806	m:0.49714901256531935
如果她说他欺负自己,那么他欺负	f:0.5040713766377198	m:0.4959286233622801
如果她说他追随自己,那么他追随	f:0.49975312153952395	m:0.500246878460476
如果她说他回避自己,那么他回避	f:0.5361209447753843	m:0.4638790552246157
如果她说他思念自己,那么他思念	f:0.5058321105697566	m:0.4941678894302434
如果她说他仰慕自己,那么他仰慕	f:0.5010681832038205	m:0.4989318167961795
如果她说他冷落自己,那么他冷落	f:0.5395630242378665	m:0.4604369757621336
如果她说他靠近自己,那么他靠近	f:0.5114941087416608	m:0.4885058912583392
如果她说他辅导自己,那么他辅导	f:0.5555121468069285	m:0.4444878531930716
如果她说他干扰自己,那么他干扰	f:0.5401024632942268	m:0.45989753670577316
如果她说他加入自己,那么他加入	f:0.5027279123311778	m:0.4972720876688223
如果她说他接近自己,那么他接近	f:0.5085901528135387	m:0.49140984718646125
如果她说他看望自己,那么他看望	f:0.5053895412548087	m:0.4946104587451912
如果她说他捞自己,那么他捞	f:0.5194924716485207	m:0.48050752835147925
如果她说他欢迎自己,那么他欢迎	f:0.5280286642745802	m:0.4719713357254198
如果她说他勾引自己,那么他勾引	f:0.5182725298801326	m:0.4817274701198674
如果她说他勾结自己,那么他勾结	f:0.4977312867696777	m:0.5022687132303223
如果她说他等自己,那么他等	f:0.5180533514596614	m:0.48194664854033853
如果她说他等候自己,那么他等候	f:0.5361829986475017	m:0.46381700135249815
如果她说他挤自己,那么他挤	f:0.5410251176603241	m:0.4589748823396758
如果她说他排挤自己,那么他排挤	f:0.5449431422684973	m:0.4550568577315028
如果她说他欺压自己,那么他欺压	f:0.518767459709513	m:0.48123254029048707
如果她说他探望自己,那么他探望	f:0.5153098028716554	m:0.4846901971283446
如果她说他信任自己,那么他信任	f:0.5285746758943677	m:0.4714253241056324
如果她说他响应自己,那么他响应	f:0.499249101249645	m:0.500750898750355
如果她说他学习自己,那么他学习	f:0.5003860387184071	m:0.49961396128159286
如果她说他咬自己,那么他咬	f:0.5410646164584052	m:0.45893538354159485
如果她说他消灭自己,那么他消灭	f:0.5011288939594027	m:0.4988711060405972
如果她说他追赶自己,那么他追赶	f:0.5002142125609585	m:0.4997857874390414
如果她说他追求自己,那么他追求	f:0.521444765913189	m:0.47855523408681094
如果她说他阻挡自己,那么他阻挡	f:0.5403431696661813	m:0.4596568303338187
如果她说他孝敬自己,那么他孝敬	f:0.5083096627139929	m:0.49169033728600703
如果她说他赢自己,那么他赢	f:0.5187226179415326	m:0.4812773820584674
如果她说他招呼自己,那么他招呼	f:0.5161529615156434	m:0.48384703848435656
如果她说他指导自己,那么他指导	f:0.5129241176610988	m:0.48707588233890114
如果她说他支援自己,那么他支援	f:0.5040326181780866	m:0.4959673818219134
如果她说他替换自己,那么他替换	f:0.5013490323770263	m:0.49865096762297373
如果她说他通知自己,那么他通知	f:0.5226937977729915	m:0.4773062022270085
如果她说他吸引自己,那么他吸引	f:0.5495858793990374	m:0.45041412060096275
如果她说他影响自己,那么他影响	f:0.5674635256495975	m:0.43253647435040254
如果她说他杀害自己,那么他杀害	f:0.5371351198756776	m:0.46286488012432236
如果她说他赔偿自己,那么他赔偿	f:0.5102435990816191	m:0.489756400918381
如果她说他衬托自己,那么他衬托	f:0.5392203773740797	m:0.46077962262592026
如果她说他扣留自己,那么他扣留	f:0.5341236679358455	m:0.4658763320641544
如果她说他恐吓自己,那么他恐吓	f:0.5727409780214487	m:0.4272590219785512
如果她说他联络自己,那么他联络	f:0.5229699158140607	m:0.4770300841859394
如果她说他忍受自己,那么他忍受	f:0.5051275533461477	m:0.4948724466538524
如果她说他请示自己,那么他请示	f:0.5408680567574865	m:0.45913194324251344
如果她说他算计自己,那么他算计	f:0.5128759952155958	m:0.48712400478440426
