如果她喜欢自己,那么她喜欢	f:0.5140138955035818	m:0.4859861044964182
如果她厌恶自己,那么她厌恶	f:0.4999962812289596	m:0.5000037187710403
如果她帮助自己,那么她帮助	f:0.5030837084795199	m:0.49691629152048017
如果她相信自己,那么她相信	f:0.5089071710526873	m:0.49109282894731277
如果她支持自己,那么她支持	f:0.5210608951796032	m:0.47893910482039675
如果她欺骗自己,那么她欺骗	f:0.5172936251980768	m:0.48270637480192335
如果她安慰自己,那么她安慰	f:0.524069668847358	m:0.47593033115264205
如果她挑战自己,那么她挑战	f:0.5194951557667596	m:0.48050484423324036
如果她鄙视自己,那么她鄙视	f:0.5000073167616387	m:0.4999926832383613
如果她忽略自己,那么她忽略	f:0.5106022826515306	m:0.48939771734846943
如果她原谅自己,那么她原谅	f:0.5007741761726408	m:0.4992258238273593
如果她怀疑自己,那么她怀疑	f:0.5186628496840966	m:0.48133715031590346
如果她超越自己,那么她超越	f:0.5176609946369232	m:0.4823390053630767
如果她设计自己,那么她设计	f:0.534105996435034	m:0.465894003564966
如果她讨厌自己,那么她讨厌	f:0.4987277257706723	m:0.5012722742293277
如果她介绍自己,那么她介绍	f:0.5070442938027664	m:0.4929557061972336
如果她夸奖自己,那么她夸奖	f:0.5200504164893907	m:0.4799495835106094
如果她改造自己,那么她改造	f:0.538633784357087	m:0.4613662156429131
如果她结束自己,那么她结束	f:0.50488103490162	m:0.49511896509838005
如果她解放自己,那么她解放	f:0.5139523913713955	m:0.4860476086286045
如果她刺激自己,那么她刺激	f:0.5103634619945963	m:0.48963653800540363
如果她考虑自己,那么她考虑	f:0.5113455406815068	m:0.4886544593184931
如果她掐自己,那么她掐	f:0.5109228596467825	m:0.4890771403532175
如果她评论自己,那么她评论	f:0.517756641242175	m:0.4822433587578249
如果她爱惜自己,那么她爱惜	f:0.5170986069297104	m:0.48290139307028956
如果她爱护自己,那么她爱护	f:0.5058608413766672	m:0.4941391586233328
如果她爱自己,那么她爱	f:0.5136548754125019	m:0.4863451245874981
如果她保护自己,那么她保护	f:0.5073796120150134	m:0.49262038798498664
如果她改正自己,那么她改正	f:0.5259535595763165	m:0.4740464404236835
如果她谈论自己,那么她谈论	f:0.5192721347473519	m:0.4807278652526481
如果她维护自己,那么她维护	f:0.5080091131349472	m:0.4919908868650528
如果她牺牲自己,那么她牺牲	f:0.502725452170243	m:0.49727454782975694
如果她重复自己,那么她重复	f:0.5157402866180871	m:0.4842597133819129
如果她抓自己,那么她抓	f:0.5142664903516188	m:0.4857335096483812
如果她指着自己,那么她指着	f:0.5061970830394855	m:0.4938029169605146
如果她锻炼自己,那么她锻炼	f:0.5185818288994382	m:0.4814181711005618
如果她打自己,那么她打	f:0.5072992109190216	m:0.4927007890809784
如果她操心自己,那么她操心	f:0.508252459347466	m:0.49174754065253395
如果她纠正自己,那么她纠正	f:0.5205555903921463	m:0.47944440960785367
如果她扎自己,那么她扎	f:0.5104451183966593	m:0.48955488160334065
如果她谈到自己,那么她谈到	f:0.5123778157831481	m:0.48762218421685183
如果她证明自己,那么她证明	f:0.5248879477875693	m:0.4751120522124306
如果她训练自己,那么她训练	f:0.5022071487155847	m:0.4977928512844154
如果她依靠自己,那么她依靠	f:0.5143024565900388	m:0.48569754340996124
如果她优待自己,那么她优待	f:0.5124124657524294	m:0.4875875342475705
如果她鞭策自己,那么她鞭策	f:0.5316383836500316	m:0.4683616163499685
如果她尊重自己,那么她尊重	f:0.506070337007396	m:0.49392966299260405
如果她辜负自己,那么她辜负	f:0.5012753498439607	m:0.4987246501560393
如果她担心自己,那么她担心	f:0.5143997261432571	m:0.48560027385674287
如果她控制自己,那么她控制	f:0.5223762689147439	m:0.47762373108525624
