她喜欢[MASK]自己。	m:0.5000013768564031	f:0.4999986231435969
她厌恶[MASK]自己。	f:0.5000006253591209	m:0.49999937464087907
她帮助[MASK]自己。	m:0.5000015281607375	f:0.4999984718392625
她相信[MASK]自己。	f:0.5000003659124559	m:0.4999996340875441
她支持[MASK]自己。	m:0.5000007756711966	f:0.4999992243288034
她欺骗[MASK]自己。	f:0.5000028820286389	m:0.49999711797136115
她安慰[MASK]自己。	f:0.5000016768938167	m:0.4999983231061833
她挑战[MASK]自己。	m:0.5000002963433872	f:0.49999970365661284
她鄙视[MASK]自己。	f:0.5000007428986919	m:0.4999992571013081
她忽略[MASK]自己。	f:0.5000013036244582	m:0.49999869637554184
她原谅[MASK]自己。	f:0.5000001533162504	m:0.49999984668374964
她怀疑[MASK]自己。	f:0.5000015546256691	m:0.49999844537433097
她超越[MASK]自己。	f:0.500001032123464	m:0.49999896787653597
她设计[MASK]自己。	f:0.5000010923106402	m:0.49999890768935984
她讨厌[MASK]自己。	f:0.5000002515655524	m:0.4999997484344476
她介绍[MASK]自己。	m:0.5000008206757229	f:0.499999179324277
她夸奖[MASK]自己。	f:0.5000011553277091	m:0.499998844672291
她改造[MASK]自己。	f:0.500002845039262	m:0.4999971549607381
她结束[MASK]自己。	m:0.5000026864586289	f:0.4999973135413711
她解放[MASK]自己。	f:0.5000032245070543	m:0.4999967754929458
她刺激[MASK]自己。	m:0.5000009779255379	f:0.49999902207446206
她考虑[MASK]自己。	f:0.5000009583936844	m:0.4999990416063156
她掐[MASK]自己。	m:0.5000046126342567	f:0.49999538736574334
她评论[MASK]自己。	m:0.5000004454468581	f:0.49999955455314193
她爱惜[MASK]自己。	f:0.5000027573614715	m:0.4999972426385284
她爱护[MASK]自己。	f:0.5000031706354092	m:0.49999682936459067
她爱[MASK]自己。	f:0.5000017654647309	m:0.49999823453526915
她保护[MASK]自己。	f:0.5000026893517314	m:0.49999731064826847
她改正[MASK]自己。	f:0.5000005624369805	m:0.49999943756301946
她谈论[MASK]自己。	m:0.5000005030967714	f:0.49999949690322865
她维护[MASK]自己。	f:0.5000014700731299	m:0.4999985299268701
她牺牲[MASK]自己。	m:0.5000016563940335	f:0.4999983436059665
她重复[MASK]自己。	m:0.5000034256654544	f:0.49999657433454564
她抓[MASK]自己。	m:0.5000055683066191	f:0.49999443169338087
她指着[MASK]自己。	m:0.5000030245200833	f:0.4999969754799168
她锻炼[MASK]自己。	f:0.5000041652215258	m:0.4999958347784742
她打[MASK]自己。	m:0.5000104232542512	f:0.49998957674574895
她操心[MASK]自己。	m:0.5000013076639789	f:0.4999986923360211
她纠正[MASK]自己。	f:0.5000008537426766	m:0.49999914625732345
她扎[MASK]自己。	m:0.5000009791519915	f:0.4999990208480085
她谈到[MASK]自己。	m:0.500003137193289	f:0.49999686280671085
她证明[MASK]自己。	f:0.5000015460832401	m:0.4999984539167599
她训练[MASK]自己。	f:0.5000030502274058	m:0.4999969497725943
她依靠[MASK]自己。	m:0.5000003509935596	f:0.49999964900644045
她优待[MASK]自己。	f:0.5000018218929654	m:0.4999981781070346
她鞭策[MASK]自己。	m:0.500001641246854	f:0.499998358753146
她尊重[MASK]自己。	f:0.500001187842372	m:0.499998812157628
她辜负[MASK]自己。	f:0.5000024219434636	m:0.49999757805653644
她担心[MASK]自己。	f:0.5000003682253009	m:0.4999996317746991
她控制[MASK]自己。	m:0.5000016844533093	f:0.4999983155466907
