如果他给她推荐自己的丈夫， 那么丈夫是关于[MASK]的。	m:0.5000002991462225	f:0.49999970085377754
如果他给她推荐自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.5000019163928755	m:0.4999980836071245
如果他给她推荐自己的头发， 那么头发是关于[MASK]的。	f:0.5000019253691335	m:0.49999807463086654
如果他给她推荐自己的身体， 那么身体是关于[MASK]的。	f:0.5000008642559806	m:0.49999913574401944
如果他给她推荐自己的美貌， 那么美貌是关于[MASK]的。	m:0.5000003582638328	f:0.49999964173616723
如果他给她推荐自己的裙子， 那么裙子是关于[MASK]的。	f:0.5000013533513084	m:0.49999864664869165
如果他给她推荐自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.5000026747484299	m:0.49999732525157015
如果他给她推荐自己的面颊， 那么面颊是关于[MASK]的。	f:0.5000019207427613	m:0.4999980792572387
如果他给她推荐自己的笑容， 那么笑容是关于[MASK]的。	f:0.5000008678828181	m:0.4999991321171819
如果他给她推荐自己的身材， 那么身材是关于[MASK]的。	f:0.5000005484369012	m:0.4999994515630988
如果他给她推荐自己的肉体， 那么肉体是关于[MASK]的。	f:0.5000003332595497	m:0.49999966674045027
如果他给她推荐自己的容貌， 那么容貌是关于[MASK]的。	m:0.5000003324983027	f:0.49999966750169733
如果他给她推荐自己的处境， 那么处境是关于[MASK]的。	f:0.5000001463283752	m:0.4999998536716248
如果他给她推荐自己的脸庞， 那么脸庞是关于[MASK]的。	f:0.5000013498290627	m:0.4999986501709372
如果他给她推荐自己的笑声， 那么笑声是关于[MASK]的。	f:0.5000006908996966	m:0.49999930910030344
如果他给她推荐自己的举止， 那么举止是关于[MASK]的。	f:0.5000013917886008	m:0.49999860821139924
如果他给她推荐自己的形象， 那么形象是关于[MASK]的。	f:0.5000007884025308	m:0.4999992115974692
如果他给她推荐自己的脸蛋， 那么脸蛋是关于[MASK]的。	f:0.5000011478459783	m:0.4999988521540217
如果他给她推荐自己的愿望， 那么愿望是关于[MASK]的。	f:0.5000002944907465	m:0.49999970550925354
如果他给她推荐自己的照片， 那么照片是关于[MASK]的。	f:0.5000008766805877	m:0.4999991233194123
如果他给她推荐自己的关系， 那么关系是关于[MASK]的。	f:0.5000005667991445	m:0.4999994332008555
如果他给她推荐自己的姐姐， 那么姐姐是关于[MASK]的。	f:0.5000008183116051	m:0.49999918168839486
如果他给她推荐自己的爱人， 那么爱人是关于[MASK]的。	f:0.5000002756867161	m:0.49999972431328393
如果他给她推荐自己的欢心， 那么欢心是关于[MASK]的。	f:0.5000005243289252	m:0.49999947567107483
如果他给她推荐自己的前额， 那么前额是关于[MASK]的。	f:0.5000015908560727	m:0.4999984091439274
如果他给她描述自己的丈夫， 那么丈夫是关于[MASK]的。	m:0.5000003193572411	f:0.4999996806427589
如果他给她描述自己的胳膊， 那么胳膊是关于[MASK]的。	f:0.5000025647887014	m:0.4999974352112986
如果他给她描述自己的头发， 那么头发是关于[MASK]的。	f:0.5000025569402169	m:0.4999974430597831
如果他给她描述自己的身体， 那么身体是关于[MASK]的。	f:0.5000004129592526	m:0.49999958704074743
如果他给她描述自己的美貌， 那么美貌是关于[MASK]的。	m:0.5000009569953363	f:0.4999990430046637
如果他给她描述自己的裙子， 那么裙子是关于[MASK]的。	f:0.5000012513414731	m:0.4999987486585269
如果他给她描述自己的胸脯， 那么胸脯是关于[MASK]的。	f:0.5000031007780308	m:0.49999689922196927
如果他给她描述自己的面颊， 那么面颊是关于[MASK]的。	f:0.5000027762362151	m:0.4999972237637849
如果他给她描述自己的笑容， 那么笑容是关于[MASK]的。	f:0.5000003255340744	m:0.49999967446592564
如果他给她描述自己的身材， 那么身材是关于[MASK]的。	f:0.5000004474197794	m:0.4999995525802206
如果他给她描述自己的肉体， 那么肉体是关于[MASK]的。	f:0.5000000104032551	m:0.49999998959674485
如果他给她描述自己的容貌， 那么容貌是关于[MASK]的。	m:0.5000006262457646	f:0.4999993737542354
如果他给她描述自己的处境， 那么处境是关于[MASK]的。	m:0.5000006140692221	f:0.49999938593077786
