假如她说他诬陷自己,那么他诬陷[MASK]。	f:0.5000012432284393	m:0.4999987567715607
假如她说他拥抱自己,那么他拥抱[MASK]。	f:0.5000012579361055	m:0.4999987420638945
假如她说他离开自己,那么他离开[MASK]。	f:0.5000011598183391	m:0.49999884018166085
假如她说他打扰自己,那么他打扰[MASK]。	f:0.5000007246823088	m:0.49999927531769117
假如她说他超过自己,那么他超过[MASK]。	f:0.5000034910660816	m:0.49999650893391856
假如她说他忘了自己,那么他忘了[MASK]。	f:0.5000008603474271	m:0.499999139652573
假如她说他回答自己,那么他回答[MASK]。	f:0.5000011309863339	m:0.4999988690136661
假如她说他表扬自己,那么他表扬[MASK]。	f:0.5000011130330222	m:0.4999988869669778
假如她说他反对自己,那么他反对[MASK]。	f:0.5000004293709139	m:0.49999957062908607
假如她说他调查自己,那么他调查[MASK]。	f:0.5000015651604599	m:0.49999843483954015
假如她说他拜访自己,那么他拜访[MASK]。	f:0.5000009721155152	m:0.4999990278844848
假如她说他偷听自己,那么他偷听[MASK]。	f:0.5000007604242569	m:0.4999992395757431
假如她说他暗恋自己,那么他暗恋[MASK]。	f:0.5000010375491115	m:0.4999989624508885
假如她说他邀请自己,那么他邀请[MASK]。	f:0.5000005773633802	m:0.4999994226366198
假如她说他等待自己,那么他等待[MASK]。	f:0.5000005664952596	m:0.4999994335047404
假如她说他嫉妒自己,那么他嫉妒[MASK]。	f:0.5000009232676916	m:0.4999990767323083
假如她说他羡慕自己,那么他羡慕[MASK]。	f:0.5000004616359774	m:0.49999953836402256
假如她说他搭讪自己,那么他搭讪[MASK]。	f:0.5000007340082107	m:0.49999926599178934
假如她说他监视自己,那么他监视[MASK]。	f:0.5000009039443398	m:0.4999990960556601
假如她说他吵醒自己,那么他吵醒[MASK]。	f:0.500001346227009	m:0.499998653772991
假如她说他激怒自己,那么他激怒[MASK]。	f:0.5000013343742467	m:0.49999866562575335
假如她说他模仿自己,那么他模仿[MASK]。	f:0.5000004966670417	m:0.49999950333295823
