他知道她经常批评[MASK]自己。	m:0.5000025122685656	f:0.49999748773143443
他知道她把[MASK]自己的书送给了朋友。	m:0.500001639812524	f:0.499998360187476
他担心她会批评[MASK]自己。	m:0.5000062194226299	f:0.4999937805773701
他知道她害了[MASK]自己。	m:0.5000018965911295	f:0.4999981034088705
他觉得她对[MASK]自己没信心。	m:0.5000021765326892	f:0.49999782346731086
他认为她的骄傲害了[MASK]自己。	f:0.5000010420631043	m:0.49999895793689575
他知道她告诉过他有关[MASK]自己的工作。	m:0.5000022464372478	f:0.4999977535627522
他说她跟他谈过[MASK]自己的事。	m:0.5000040526053907	f:0.49999594739460923
他认为她从他那里听说了[MASK]自己的分数。	m:0.5000014938248114	f:0.49999850617518865
他知道她在他家洗[MASK]自己的照片。	m:0.5000507829725466	f:0.4999492170274534
他不喜欢她管[MASK]自己的事。	m:0.5000041210829521	f:0.49999587891704783
他知道她的报告害了[MASK]自己。	f:0.500000344745331	m:0.49999965525466905
他的话暗示她的信害了[MASK]自己。	f:0.500000314143108	m:0.499999685856892
他认为她恨[MASK]自己。	f:0.5000001719881766	m:0.49999982801182336
他说她喜欢[MASK]自己。	m:0.5000023972620511	f:0.4999976027379489
他告诉别人她觉得[MASK]自己明年可以考进好大学。	m:0.5000028385195492	f:0.49999716148045087
他说她批评了[MASK]自己。	m:0.5000007266721695	f:0.49999927332783045
他觉得她在批评[MASK]自己。	m:0.5000001505961791	f:0.4999998494038209
他认为她知道[MASK]自己的朋友是一个好人。	m:0.5000027511609915	f:0.4999972488390086
他觉得她不喜欢[MASK]自己。	m:0.5000026519678613	f:0.4999973480321387
