假如她说他反思自己,那么他反思[MASK]自己。	m:0.5000001566924084	f:0.4999998433075916
假如她说他反省自己,那么他反省[MASK]自己。	m:0.5000001749294825	f:0.4999998250705176
假如她说他坦白自己,那么他坦白[MASK]自己。	m:0.5000000748250386	f:0.49999992517496133
假如她说他迷失自己,那么他迷失[MASK]自己。	m:0.500000752980668	f:0.4999992470193319
假如她说他克制自己,那么他克制[MASK]自己。	m:0.5000018242933493	f:0.4999981757066507
假如她说他检讨自己,那么他检讨[MASK]自己。	m:0.5000004750346534	f:0.4999995249653466
假如她说他放松自己,那么他放松[MASK]自己。	m:0.5000006222389857	f:0.4999993777610143
假如她说他磨练自己,那么他磨练[MASK]自己。	f:0.5000002217107067	m:0.4999997782892933
假如她说他奉献自己,那么他奉献[MASK]自己。	m:0.5000005910137588	f:0.4999994089862412
假如她说他调整自己,那么他调整[MASK]自己。	m:0.50000020495645	f:0.49999979504354997
假如她说他提升自己,那么他提升[MASK]自己。	f:0.5000001481428171	m:0.4999998518571829
假如她说他炫耀自己,那么他炫耀[MASK]自己。	m:0.500000063821517	f:0.49999993617848304
假如她说他调节自己,那么他调节[MASK]自己。	m:0.5000008889890069	f:0.4999991110109931
假如她说他坚持自己,那么他坚持[MASK]自己。	m:0.5000017018950302	f:0.49999829810496976
假如她说他交代自己,那么他交代[MASK]自己。	m:0.5000004600945545	f:0.49999953990544554
假如她说他计较自己,那么他计较[MASK]自己。	m:0.5000010302121609	f:0.4999989697878391
假如她说他检讨自己,那么他检讨[MASK]自己。	m:0.5000004750346534	f:0.4999995249653466
假如她说他卖弄自己,那么他卖弄[MASK]自己。	m:0.5000007219775853	f:0.49999927802241473
假如她说他表达自己,那么他表达[MASK]自己。	f:0.5000006264331205	m:0.49999937356687957
假如她说他表现自己,那么他表现[MASK]自己。	f:0.5000008097069895	m:0.49999919029301054
假如她说他扭伤自己,那么他扭伤[MASK]自己。	m:0.5000007888938853	f:0.49999921110611467
