她知道他经常批评[MASK]自己。	m:0.5000036811798053	f:0.49999631882019463
她知道他把[MASK]自己的书送给了朋友。	m:0.5000016367291664	f:0.4999983632708336
她担心他会批评[MASK]自己。	m:0.5000092323534762	f:0.4999907676465238
她知道他害了[MASK]自己。	m:0.5000023709114885	f:0.49999762908851153
她觉得他对[MASK]自己没信心。	m:0.5000024223297714	f:0.4999975776702286
她认为他的骄傲害了[MASK]自己。	f:0.5000014672104953	m:0.4999985327895047
她知道他告诉过她有关[MASK]自己的工作。	m:0.5000019957334416	f:0.49999800426655844
她说他跟她谈过[MASK]自己的事。	m:0.5000038229527489	f:0.499996177047251
她认为他从她那里听说了[MASK]自己的分数。	m:0.5000013846211004	f:0.49999861537889956
她知道他在她家洗[MASK]自己的照片。	m:0.5000505536925727	f:0.49994944630742744
她不喜欢他管[MASK]自己的事。	m:0.500003920148515	f:0.4999960798514849
她知道他的报告害了[MASK]自己。	f:0.5000001308289939	m:0.49999986917100614
她的话暗示他的信害了[MASK]自己。	f:0.5000001795192475	m:0.49999982048075253
她认为他恨[MASK]自己。	f:0.5000005661995601	m:0.4999994338004399
她说他喜欢[MASK]自己。	m:0.500002472889264	f:0.499997527110736
她告诉别人他觉得[MASK]自己明年可以考进好大学。	m:0.5000022794647521	f:0.49999772053524794
她说他批评了[MASK]自己。	m:0.5000017549384665	f:0.49999824506153345
她觉得他在批评[MASK]自己。	m:0.5000005336539743	f:0.49999946634602566
她认为他知道[MASK]自己的朋友是一个好人。	m:0.5000031157642296	f:0.49999688423577027
她觉得他不喜欢[MASK]自己。	m:0.5000026101647563	f:0.4999973898352437
