他知道我经常批评[MASK]自己。	m:0.3333347108062209	w:0.333333353318262	f:0.333331935875517
她知道我经常批评[MASK]自己。	w:0.33333477714509147	m:0.3333346499790157	f:0.33333057287589274
他认为她知道我把[MASK]自己的书送给了自己的朋友。	m:0.333333985656353	w:0.33333359770266907	f:0.33333241664097785
她认为他知道我把[MASK]自己的书送给了自己的朋友。	m:0.3333340273689294	w:0.3333335089289883	f:0.3333324637020822
他担心我会批评[MASK]自己。	m:0.33333683043994633	w:0.333334704373842	f:0.33332846518621173
她担心我会批评[MASK]自己。	m:0.33333815927512955	w:0.3333356649858091	f:0.33332617573906137
他知道我害了[MASK]自己。	w:0.33334289586187205	m:0.3333306788749399	f:0.333326425263188
她知道我害了[MASK]自己。	w:0.3333528580107251	m:0.33332774841428536	f:0.3333193935749895
他觉得我对[MASK]自己没信心。	w:0.3333351027579191	m:0.333333090495071	f:0.33333180674700985
她觉得我对[MASK]自己没信心。	w:0.33333626898646207	m:0.33333288118429416	f:0.3333308498292437
他认为我的骄傲害了[MASK]自己。	w:0.3333361296118207	f:0.333333191922534	m:0.33333067846564535
她认为我的骄傲害了[MASK]自己。	w:0.3333383684097676	f:0.33333130581685294	m:0.3333303257733795
她知道我告诉过她有关[MASK]自己的工作。	w:0.3333382714457158	m:0.3333318243484024	f:0.3333299042058818
他知道我告诉过他有关[MASK]自己的工作。	w:0.33333676643334564	m:0.3333324889136933	f:0.333330744652961
他说我跟他谈过[MASK]自己的事。	w:0.33333615215223766	m:0.3333331349644646	f:0.3333307128832977
她说我跟她谈过[MASK]自己的事。	w:0.33333820922731716	m:0.3333329125221522	f:0.33332887825053065
她认为我从她那里听说了[MASK]自己的分数。	w:0.333336253360575	f:0.3333319882029421	m:0.33333175843648294
他认为我从他那里听说了[MASK]自己的分数。	w:0.333334776478297	f:0.33333299377841896	m:0.3333322297432841
他知道我在他家洗[MASK]自己的照片。	m:0.33336697450800556	w:0.3333238030458776	f:0.3333092224461168
她知道我在她家洗[MASK]自己的照片。	m:0.3333678456499666	w:0.3333256246385709	f:0.3333065297114624
当时他怕我再去找[MASK]自己的麻烦就给了我钱。	w:0.3333443707957154	m:0.3333307719902208	f:0.33332485721406374
当时她怕我再去找[MASK]自己的麻烦就给了我钱。	w:0.33335058188720607	m:0.333327605587625	f:0.3333218125251689
她知道我的报告害了[MASK]自己。	w:0.33334102190540216	m:0.3333298375070802	f:0.33332914058751767
他知道我的报告害了[MASK]自己。	w:0.3333374858352486	f:0.33333178049937956	m:0.33333073366537175
他的话暗示我的信害了[MASK]自己。	w:0.33333650298304296	m:0.3333318745823378	f:0.3333316224346192
她的话暗示我的信害了[MASK]自己。	w:0.33333909506451315	m:0.33333138050569106	f:0.33332952442979574
她认为我恨[MASK]自己。	w:0.3333463602594404	f:0.33332776605612385	m:0.3333258736844357
他认为我恨[MASK]自己。	w:0.33334145562712325	f:0.3333301942953594	m:0.3333283500775173
他说我喜欢[MASK]自己。	w:0.33333553610969957	m:0.33333307054151434	f:0.3333313933487861
她说我喜欢[MASK]自己。	w:0.33333743971566604	m:0.3333323363727854	f:0.3333302239115485
他不喜欢我管[MASK]自己的事。	w:0.3333378451913594	m:0.33333423744819546	f:0.3333279173604451
她不喜欢我管[MASK]自己的事。	w:0.33334184453991583	m:0.3333335641623791	f:0.3333245912977052
他告诉别人我觉得[MASK]自己明年可以考进好大学。	w:0.3333380396620752	m:0.3333319754532143	f:0.3333299848847105
他说我批评了[MASK]自己。	w:0.3333356426663227	m:0.3333325427732926	f:0.3333318145603847
她说我批评了[MASK]自己。	w:0.3333384266941601	m:0.3333319525625597	f:0.33332962074328015
她觉得我在批评[MASK]自己。	w:0.3333378876098003	m:0.3333312920427452	f:0.3333308203474544
他觉得我在批评[MASK]自己。	w:0.33333553862154736	f:0.33333265580171145	m:0.33333180557674125
她认为我知道[MASK]自己的太太是一个好人。	m:0.33333502982619007	w:0.33333378643257155	f:0.3333311837412384
他认为我知道[MASK]自己的太太是一个好人。	m:0.33333426058856697	w:0.33333397913415663	f:0.33333176027727646
他觉得我不喜欢[MASK]自己。	w:0.33333771823245484	m:0.3333324730360018	f:0.3333298087315434
她觉得我不喜欢[MASK]自己。	w:0.33334056133388745	m:0.3333314846284294	f:0.3333279540376832
