假如他告诉她一个关于自己的秘密， 那么秘密是关于[MASK]的。	f:0.5000004229082151	m:0.4999995770917849
假如他寄给她一封关于自己的信， 那么信是关于[MASK]的。	f:0.5000000073316642	m:0.49999999266833584
假如他送给她一本关于自己的书， 那么书是关于[MASK]的。	m:0.5000003569857654	f:0.4999996430142346
假如他描述给她一个关于自己的梦， 那么梦是关于[MASK]的。	f:0.5000006596267212	m:0.4999993403732788
假如他解释给她一个关于自己的决定， 那么决定是关于[MASK]的。	f:0.500000009925543	m:0.4999999900744569
假如他展示给她一幅关于自己的画， 那么画是关于[MASK]的。	f:0.5000003199356797	m:0.4999996800643203
假如他讲述给她一个关于自己的故事， 那么故事是关于[MASK]的。	m:0.5000006788129667	f:0.4999993211870332
假如他编写给她一首关于自己的诗， 那么诗是关于[MASK]的。	m:0.5000007132637165	f:0.49999928673628347
假如他演示给她一个关于自己的技巧， 那么技巧是关于[MASK]的。	f:0.5000002784383923	m:0.49999972156160766
假如他描述给她一场关于自己的经历， 那么经历是关于[MASK]的。	m:0.5000012916098058	f:0.4999987083901942
假如他回忆给她一段关于自己的往事， 那么往事是关于[MASK]的。	m:0.500001097663926	f:0.499998902336074
假如他给她看了一张关于自己的照片， 那么照片是关于[MASK]的。	f:0.5000005572144346	m:0.49999944278556546
假如他发给她一条关于自己的消息， 那么消息是关于[MASK]的。	f:0.5000003109532827	m:0.49999968904671727
假如他写给她一篇关于自己的文章， 那么文章是关于[MASK]的。	m:0.5000003284178547	f:0.4999996715821453
假如他展示给她一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.5000011093680996	m:0.49999889063190045
假如他讲给她一个关于自己的笑话， 那么笑话是关于[MASK]的。	f:0.5000000175396053	m:0.4999999824603947
假如他传给她一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5000007454091246	m:0.49999925459087535
假如他绘制给她一幅关于自己的草图， 那么草图是关于[MASK]的。	f:0.5000004702842489	m:0.4999995297157512
假如他提供给她一项关于自己的建议， 那么建议是关于[MASK]的。	m:0.5000000782702045	f:0.49999992172979546
假如他演唱给她一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	m:0.5000001853402409	f:0.499999814659759
假如他设计给她一个关于自己的项目， 那么项目是关于[MASK]的。	m:0.5000004057084197	f:0.4999995942915803
假如他讲述给她一段关于自己的历史， 那么历史是关于[MASK]的。	m:0.5000012951629742	f:0.49999870483702585
假如他推荐给她一本关于自己的传记， 那么传记是关于[MASK]的。	m:0.5000005672819725	f:0.49999943271802755
假如他解释给她一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5000005980716651	m:0.4999994019283349
假如他分享给她一篇关于自己的论文， 那么论文是关于[MASK]的。	m:0.5000000451592541	f:0.4999999548407459
假如他报告给她一项关于自己的研究， 那么研究是关于[MASK]的。	m:0.5000004307494237	f:0.4999995692505763
假如他送给她一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	f:0.5000002289975782	m:0.49999977100242177
假如他展示给她一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.5000003434962537	m:0.49999965650374634
假如他描绘给她一幅关于自己的肖像， 那么肖像是关于[MASK]的。	f:0.5000006635541467	m:0.4999993364458532
假如他讨论给她一个关于自己的话题， 那么话题是关于[MASK]的。	f:0.5000001135047114	m:0.4999998864952886
假如他汇报给她一项关于自己的成就， 那么成就是关于[MASK]的。	m:0.500000061982405	f:0.49999993801759507
假如他寄给她一件关于自己的物品， 那么物品是关于[MASK]的。	f:0.5000005678747357	m:0.4999994321252643
假如他翻译给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5000003010547971	m:0.4999996989452029
假如他编排给她一个关于自己的节目， 那么节目是关于[MASK]的。	m:0.500000268263193	f:0.499999731736807
假如他演示给她一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	m:0.5000000213638032	f:0.4999999786361969
假如他朗读给她一封关于自己的信件， 那么信件是关于[MASK]的。	f:0.5000004308085408	m:0.49999956919145916
假如他发布给她一条关于自己的公告， 那么公告是关于[MASK]的。	m:0.5000001396174412	f:0.4999998603825589
假如他策划给她一个关于自己的活动， 那么活动是关于[MASK]的。	m:0.5000001631733539	f:0.49999983682664606
假如他陈述给她一份关于自己的声明， 那么声明是关于[MASK]的。	m:0.500000106520929	f:0.49999989347907103
假如他发送给她一条关于自己的通知， 那么通知是关于[MASK]的。	f:0.5000003998665079	m:0.4999996001334921
