不管他是否原谅[MASK]自己.	f:0.5000028787944757	m:0.49999712120552436
赫尔曼问[MASK]自己。	m:0.5000041837265597	f:0.49999581627344025
原始的欲又来了，一种百战不死的老兵；他唤醒[MASK]自己。	m:0.5000035393654798	f:0.4999964606345203
他没有看见[MASK]自己。	f:0.500000532188551	m:0.499999467811449
王德好象问[MASK]自己。	m:0.5000019593549041	f:0.4999980406450959
他嘲笑[MASK]自己。	f:0.5000006390235967	m:0.49999936097640335
不过这事全都怪[MASK]自己。	f:0.5000000708637913	m:0.4999999291362087
他只爱[MASK]自己。”	f:0.5000004760281627	m:0.49999952397183733
他问[MASK]自己。	m:0.5000031354518341	f:0.49999686454816583
雅夏问[MASK]自己。	m:0.5000021037808438	f:0.49999789621915625
斯捷潘·阿尔卡季奇想到[MASK]自己。	m:0.500003012938123	f:0.49999698706187706
倘使有这种男人，也是他在欺骗[MASK]自己。	f:0.5000021590449251	m:0.49999784095507493
这要看[MASK]自己。	m:0.5000001456563155	f:0.4999998543436846
他不爱[MASK]自己。	f:0.5000005049762422	m:0.49999949502375785
他回答[MASK]自己。	m:0.5000012910054465	f:0.49999870899455345
瑞宣认识[MASK]自己。	f:0.5000014870615814	m:0.49999851293841857
他恨[MASK]自己，他轻视他自己。	f:0.5000006128148016	m:0.4999993871851985
你不信问[MASK]自己。	m:0.5000003310061629	f:0.4999996689938371
以同样的方式，拥有认[MASK]自我的知识的人会认识他自己。	m:0.5000040664317565	f:0.4999959335682434
每个人只能代表[MASK]自己。	f:0.5000003256029686	m:0.49999967439703136
林乃久问[MASK]自己。	m:0.5000006310265235	f:0.4999993689734766
别这么心慌，雅夏尔，他劝[MASK]自己。	m:0.5000041738580875	f:0.49999582614191246
是相信我胜过相信[MASK]自己。	f:0.5000015299243614	m:0.4999984700756386
接下来，只等着大下巴的人介绍[MASK]自己了。	m:0.5000002495139597	f:0.4999997504860403
王子在打扮[MASK]自己了。	m:0.5000013751823644	f:0.4999986248176356
这时候他说到[MASK]自己了。	m:0.500004212376325	f:0.49999578762367497
既然家有信来，还是要好好替他打算一下，把利害说给他，取决当然在于[MASK]自己了。	f:0.5000005855463314	m:0.4999994144536686
杰夫劝[MASK]自己保管，或者早点回家，以免那些不怀好意的庄稼汉钻进来骗了去。	m:0.5000051231756968	f:0.49999487682430316
宰相您问[MASK]自己去，听他回答您什么吧。	m:0.5000012362697817	f:0.49999876373021834
接下来的六个星期都属于[MASK]自己可是女主人说：“噢，别急！	m:0.5000009022804761	f:0.4999990977195239
他的空虚令[MASK]自己吃惊。	f:0.5000008151591828	m:0.4999991848408172
“假如他说到[MASK]自己呢？”	f:0.5000008397969395	m:0.4999991602030604
“我打算让[MASK]自己权衡一下利弊，一方面是偷窃的行为给他带来的一点点小利益，另一方	m:0.5000017720547021	f:0.49999822794529797
王琦瑶让[MASK]自己泡茶，问他这些日子做什么，打不打桥牌，有没有分配工作的消息。	m:0.5000007866804594	f:0.49999921331954056
使善的事物成为[MASK]自己的。	f:0.5000023063228127	m:0.49999769367718727
有时候他会好气[MASK]自己，用根棍于敲他自己的脚，或是拿他的头去撞石头什么的。	m:0.5000031740931945	f:0.49999682590680555
“没有一分钟留给[MASK]自己的，”魏德尔太太叹道，“如果你知道他扛在肩膀上的东西有多少……	f:0.5000008100656714	m:0.4999991899343286
通过使美的东西成为[MASK]自己的，他将得到什么呢？	m:0.5000008345721199	f:0.4999991654278802
不过，这三天假日是属于[MASK]自己的，他要干自己想干的事。	m:0.5000003373807544	f:0.49999966261924556
让他捡，如果他拿[MASK]自己的，而且心满意足，你就把另外两把全赠给他。	m:0.5000098824712028	f:0.4999901175287973
他应该写[MASK]自己而不是克里斯塔尔……我辜负了他。	m:0.5000124166708676	f:0.49998758332913235
去年5月8日的下午，蒙蒂教授曾记载[MASK]自己要在多尼咖啡店与罗伯特?莱布朗会面。	m:0.5000042618544284	f:0.49999573814557163
你让[MASK]自己说，他会帮着我们说话；要是当面和他说破，他反而不敢帮我们——因	m:0.5000005670289056	f:0.4999994329710944
有时他会把玩[MASK]自己送给我作礼物的蒙古墨水瓶。	m:0.5000041951031448	f:0.4999958048968552
这让[MASK]自己都觉得不好意思了。	f:0.5000012448492726	m:0.49999875515072745
他恨[MASK]自己！	f:0.5000017029960873	m:0.4999982970039128
他只想到[MASK]自己！	m:0.5000007662192729	f:0.4999992337807271
他问[MASK]自己，“怎么！	m:0.500004819471087	f:0.49999518052891306
“由于贫困，”陀思妥耶夫斯基说[MASK]自己，“我被迫为金钱而匆忙写作，所以接二连三地失败。”	m:0.5000244906764042	f:0.49997550932359586
他问[MASK]自己，“说到头来，这是我的，我的……	m:0.5000086518834896	f:0.4999913481165103
有保留在他印象中的完全，对于美人迟[MASK]自不免兴一种感伤，但他若想想他自己，也到了一礼拜不修脸就不成样子的人，他就觉得未来生活渺茫，把自	m:0.5000061807186281	f:0.4999938192813719
他恨[MASK]自己，什么本事也没有，连点力气都没有，到底是干什么的呢？	f:0.500002878427722	m:0.4999971215722781
振保突然提醒[MASK]自己，他正在挖空心思想出各种的理由，证明他为什么应当同这女人睡觉。	m:0.5000003747027222	f:0.4999996252972778
同时，他更相信[MASK]自己，他的才识，他的胆气，他的体力以至容貌，毕竟胜于常人，好运	f:0.5000005013714599	m:0.4999994986285401
“他到处炫示[MASK]自己，他的时髦衣服，他的四轮敞篷马车，通过这些，去教导人们懂得什么	f:0.5000007383032425	m:0.49999926169675746
陪审员们以及仅仅从民谣和历史小说里吸收历史知识的一般人，他想起[MASK]自己，他自己也不是从布道词和法律里，而是从寓言、小说、诗歌里汲取生	m:0.5000006465411388	f:0.49999935345886115
他问[MASK]自己，但是他没法回答。	m:0.5000018832301976	f:0.49999811676980244
这也怪[MASK]自己，因为他拖拖拉拉，没有给安娜上紧宗教信仰这根弦。	f:0.5000004280880717	m:0.49999957191192834
