假如他说她诬陷自己,那么她诬陷[MASK]。	f:0.5000010632743397	m:0.49999893672566037
假如他说她拥抱自己,那么她拥抱[MASK]。	f:0.5000011249005638	m:0.4999988750994362
假如他说她离开自己,那么她离开[MASK]。	f:0.5000011703953078	m:0.4999988296046922
假如他说她打扰自己,那么她打扰[MASK]。	f:0.5000006391294392	m:0.49999936087056085
假如他说她超过自己,那么她超过[MASK]。	f:0.5000027302880881	m:0.499997269711912
假如他说她忘了自己,那么她忘了[MASK]。	f:0.5000007145387144	m:0.4999992854612856
假如他说她回答自己,那么她回答[MASK]。	f:0.5000009742115594	m:0.49999902578844063
假如他说她表扬自己,那么她表扬[MASK]。	f:0.500001051998197	m:0.499998948001803
假如他说她反对自己,那么她反对[MASK]。	f:0.5000004382136467	m:0.4999995617863533
假如他说她调查自己,那么她调查[MASK]。	f:0.5000016745382254	m:0.4999983254617746
假如他说她拜访自己,那么她拜访[MASK]。	f:0.50000098049793	m:0.49999901950207004
假如他说她偷听自己,那么她偷听[MASK]。	f:0.5000006585769938	m:0.49999934142300617
假如他说她暗恋自己,那么她暗恋[MASK]。	f:0.500001065864069	m:0.499998934135931
假如他说她邀请自己,那么她邀请[MASK]。	f:0.5000005858139502	m:0.4999994141860498
假如他说她等待自己,那么她等待[MASK]。	f:0.5000005037777555	m:0.4999994962222445
假如他说她嫉妒自己,那么她嫉妒[MASK]。	f:0.500000776235197	m:0.499999223764803
假如他说她羡慕自己,那么她羡慕[MASK]。	f:0.5000004059203889	m:0.49999959407961114
假如他说她搭讪自己,那么她搭讪[MASK]。	f:0.5000006259775205	m:0.4999993740224795
假如他说她监视自己,那么她监视[MASK]。	f:0.5000008742667319	m:0.49999912573326816
假如他说她吵醒自己,那么她吵醒[MASK]。	f:0.5000009747828926	m:0.4999990252171074
假如他说她激怒自己,那么她激怒[MASK]。	f:0.5000011908095985	m:0.49999880919040146
假如他说她模仿自己,那么她模仿[MASK]。	f:0.500000383114866	m:0.49999961688513395
假如他说她欺负自己,那么她欺负[MASK]。	f:0.5000007455790865	m:0.49999925442091353
假如他说她追随自己,那么她追随[MASK]。	f:0.5000002864094313	m:0.4999997135905687
假如他说她回避自己,那么她回避[MASK]。	f:0.5000009652535482	m:0.49999903474645185
假如他说她思念自己,那么她思念[MASK]。	f:0.5000007153872161	m:0.49999928461278387
假如他说她仰慕自己,那么她仰慕[MASK]。	f:0.5000003840480076	m:0.4999996159519924
假如他说她冷落自己,那么她冷落[MASK]。	f:0.5000012160054439	m:0.4999987839945561
假如他说她靠近自己,那么她靠近[MASK]。	f:0.500001991750878	m:0.49999800824912205
假如他说她辅导自己,那么她辅导[MASK]。	f:0.5000004756868748	m:0.4999995243131252
假如他说她干扰自己,那么她干扰[MASK]。	f:0.500000528556825	m:0.499999471443175
假如他说她加入自己,那么她加入[MASK]。	f:0.5000009739803772	m:0.49999902601962276
假如他说她接近自己,那么她接近[MASK]。	f:0.5000021887084358	m:0.4999978112915642
假如他说她看望自己,那么她看望[MASK]。	f:0.5000008855420219	m:0.49999911445797807
假如他说她捞自己,那么她捞[MASK]。	f:0.5000001528958364	m:0.49999984710416356
假如他说她欢迎自己,那么她欢迎[MASK]。	f:0.500000248850256	m:0.49999975114974404
假如他说她勾引自己,那么她勾引[MASK]。	f:0.5000007893387419	m:0.4999992106612581
假如他说她勾结自己,那么她勾结[MASK]。	f:0.5000006141598305	m:0.49999938584016945
假如他说她等自己,那么她等[MASK]。	m:0.5000005908741514	f:0.4999994091258486
假如他说她等候自己,那么她等候[MASK]。	f:0.5000005377789876	m:0.4999994622210124
假如他说她挤自己,那么她挤[MASK]。	f:0.5000008374404388	m:0.4999991625595612
假如他说她排挤自己,那么她排挤[MASK]。	f:0.5000007688184951	m:0.4999992311815049
假如他说她欺压自己,那么她欺压[MASK]。	f:0.5000013813935311	m:0.4999986186064689
假如他说她探望自己,那么她探望[MASK]。	f:0.5000009007078461	m:0.4999990992921539
假如他说她信任自己,那么她信任[MASK]。	f:0.5000003890997959	m:0.49999961090020406
假如他说她响应自己,那么她响应[MASK]。	f:0.5000002273106929	m:0.499999772689307
