他喜欢[MASK]自己。	m:0.5000010140153108	f:0.4999989859846891
他厌恶[MASK]自己。	f:0.5000006394776619	m:0.49999936052233807
他帮助[MASK]自己。	m:0.5000009057466741	f:0.4999990942533259
他相信[MASK]自己。	f:0.5000004676186336	m:0.49999953238136646
他支持[MASK]自己。	f:0.5000001456301106	m:0.49999985436988936
他欺骗[MASK]自己。	f:0.5000024155051505	m:0.49999758449484943
他安慰[MASK]自己。	f:0.5000015158236693	m:0.49999848417633075
他挑战[MASK]自己。	m:0.5000001320352112	f:0.4999998679647888
他鄙视[MASK]自己。	f:0.5000007398392654	m:0.4999992601607346
他忽略[MASK]自己。	f:0.5000011135070963	m:0.4999988864929037
他原谅[MASK]自己。	f:0.500000475962679	m:0.49999952403732095
他怀疑[MASK]自己。	f:0.5000016172707547	m:0.49999838272924535
他超越[MASK]自己。	f:0.5000009324030543	m:0.49999906759694573
他设计[MASK]自己。	f:0.5000007159003417	m:0.4999992840996583
他讨厌[MASK]自己。	f:0.5000004328434215	m:0.49999956715657845
他介绍[MASK]自己。	m:0.5000006338248113	f:0.4999993661751887
他夸奖[MASK]自己。	f:0.5000009272177977	m:0.49999907278220235
他改造[MASK]自己。	f:0.5000026436412099	m:0.4999973563587901
他结束[MASK]自己。	m:0.5000021401945105	f:0.4999978598054895
他解放[MASK]自己。	f:0.5000032927091524	m:0.4999967072908476
他刺激[MASK]自己。	m:0.5000009708073776	f:0.4999990291926224
他考虑[MASK]自己。	f:0.5000002673332347	m:0.49999973266676534
他掐[MASK]自己。	m:0.5000061240725696	f:0.4999938759274304
他评论[MASK]自己。	m:0.5000004308431016	f:0.49999956915689836
他爱惜[MASK]自己。	f:0.5000022593542326	m:0.4999977406457674
他爱护[MASK]自己。	f:0.500002538666422	m:0.4999974613335781
他爱[MASK]自己。	f:0.5000018308010112	m:0.49999816919898876
他保护[MASK]自己。	f:0.5000025362555789	m:0.49999746374442117
他改正[MASK]自己。	f:0.5000004593725862	m:0.4999995406274138
他谈论[MASK]自己。	m:0.5000001891787633	f:0.4999998108212367
他维护[MASK]自己。	f:0.5000013374258288	m:0.49999866257417125
他牺牲[MASK]自己。	m:0.5000010266717254	f:0.49999897332827464
他重复[MASK]自己。	m:0.5000030609442092	f:0.49999693905579085
他抓[MASK]自己。	m:0.500004889084721	f:0.4999951109152791
他指着[MASK]自己。	m:0.5000014253514564	f:0.4999985746485436
他锻炼[MASK]自己。	f:0.5000034695999602	m:0.49999653040003983
他打[MASK]自己。	m:0.5000098870536919	f:0.49999011294630824
他操心[MASK]自己。	m:0.5000010968951756	f:0.4999989031048244
他纠正[MASK]自己。	f:0.5000006641876098	m:0.4999993358123902
他扎[MASK]自己。	m:0.5000012306499002	f:0.4999987693500998
他谈到[MASK]自己。	m:0.500001366947572	f:0.499998633052428
他证明[MASK]自己。	f:0.500001372299721	m:0.49999862770027903
他训练[MASK]自己。	f:0.5000020771371965	m:0.49999792286280353
他依靠[MASK]自己。	f:0.500000093873723	m:0.499999906126277
他优待[MASK]自己。	f:0.5000014978170384	m:0.4999985021829616
他鞭策[MASK]自己。	m:0.5000018500859369	f:0.49999814991406305
他尊重[MASK]自己。	f:0.5000014224300457	m:0.49999857756995425
他辜负[MASK]自己。	f:0.5000023468473955	m:0.49999765315260447
他担心[MASK]自己。	f:0.5000006386344467	m:0.4999993613655534
他控制[MASK]自己。	m:0.5000015537027593	f:0.49999844629724066
