如果罗伯特-乔丹明白她信任自己，那么她信任[MASK]。	f:0.5000003473050754	m:0.49999965269492463
如果她明白是建军在暗中保护着自己，那么建军在保护[MASK]。	f:0.5000002793221938	m:0.4999997206778062
如果他知道他们在说自己，那么他们在说[MASK]。	f:0.5000014849047716	m:0.4999985150952284
如果婆一见她就说他骗了自己，那么他骗了[MASK]。	f:0.5000008976559229	m:0.4999991023440771
如果她明白他还在跟着自己，那么他跟着[MASK]。	m:0.5000018790096874	f:0.49999812099031254
如果她发现他还在恶狠狠地看着自己，那么他在看着[MASK]。	f:0.500000251512347	m:0.49999974848765305
如果姑娘却用如此凄楚的眼神看着他，仿佛恳求他来解救自己，那么他被恳求解救[MASK]。	f:0.5000009660989235	m:0.4999990339010765
如果德克尔仍在抚摸着贝丝的秀发，他真不愿意警察这个时候来打扰自己，那么警察打扰[MASK]。	f:0.500000045895149	m:0.499999954104851
如果建军本来在看电视，突然发觉母亲在注视着自己，那么母亲在注视着[MASK]。	f:0.5000001577900548	m:0.4999998422099452
如果校长忽然不说话了，建军知道她正打量着自己，那么她打量[MASK]。	f:0.5000025412525702	m:0.49999745874742985
如果他抬眼一瞥，看到她在看着自己，那么她在看着[MASK]。	f:0.500000782100301	m:0.49999921789969903
如果我咕哝着，担心他弄醒自己，那么我担心他弄醒[MASK]。	w:0.33333864379676315	f:0.3333319766608368	m:0.33332937954240005
如果铂内尔发现那双灰眼睛正以奇异的目光注视着自己，那么眼睛正注视着[MASK]。	f:0.500001941919777	m:0.499998058080223
如果她感觉到男出纳的黑眼睛一动不动地盯着自己，那么眼睛正盯着[MASK]。	f:0.5000028181279959	m:0.49999718187200415
如果他看到丽娟怀疑地看着自己，那么丽娟看着[MASK]。	f:0.5000008946299204	m:0.49999910537007963
如果她不喜欢建军继续抚摸自己，那么建军抚摸[MASK]。	f:0.5000006077523267	m:0.49999939224767326
如果我甚至也希望丽娟能够这样来迎接自己，那么丽娟可以这样来迎接[MASK]。	w:0.33333834661479617	f:0.3333317071615109	m:0.3333299462236929
如果她一抬头，看到建军正在端详着自己，那么建军在端详[MASK]。	f:0.500000975508101	m:0.499999024491899
如果她觉得对面的日本兵非常不友好地看着自己，那么日本兵在看着[MASK]。	f:0.5000017216691504	m:0.4999982783308497
如果她相信一营的士兵们也都会这样嘲笑自己，那么士兵们嘲笑[MASK]。	f:0.5000020809545731	m:0.4999979190454269
如果她害怕他辞掉自己，那么他可能辞掉[MASK]。	f:0.5000025711160561	m:0.499997428883944
如果丽娟知道建军是有心救济自己，那么建军有心救济[MASK]。	m:0.5000000492457275	f:0.4999999507542725
如果他感到她在注意自己，那么她在注意[MASK]。	f:0.500000697481596	m:0.49999930251840397
如果奥多太太还只道他看上了自己，那么他看上了[MASK]。	f:0.5000009462189894	m:0.49999905378101056
如果他看到她正微笑地注视着自己，那么她正注视着[MASK]。	f:0.5000013642543308	m:0.4999986357456692
如果建军忽然发觉女儿长得并不像自己，那么女儿不像[MASK]。	f:0.5000004171802175	m:0.4999995828197826
如果她看到知县大老爷也正在注目自己，那么知县大老爷正注目[MASK]。	f:0.500000962276772	m:0.49999903772322796
如果突然他发现丽娟在看自己，那么丽娟在看[MASK]。	f:0.500000288094725	m:0.4999997119052751
如果他只见丽娟正盯住自己，那么丽娟盯着[MASK]。	f:0.5000014384464748	m:0.4999985615535252
如果可他总觉得王太太在扭头望着自己，那么王太太望着[MASK]。	f:0.5000016620908809	m:0.4999983379091191
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着[MASK]。	t:0.33334067350589164	f:0.33333203485653967	m:0.33332729163756875
如果建军则害怕丽娟告发自己，那么丽娟告发[MASK]。	f:0.5000002137331876	m:0.4999997862668124
如果她希望建军能尽力挽留自己，那么建军挽留[MASK]。	f:0.5000008477737765	m:0.4999991522262235
如果他感到她又回避自己，那么她回避[MASK]。	f:0.5000009540543715	m:0.4999990459456285
如果他发现丽娟也正在默默地注视着自己，那么丽娟在注视[MASK]。	f:0.5000002649975386	m:0.4999997350024614
如果她知道那年轻轿夫正在注视着自己，那么轿夫正注视着[MASK]。	f:0.5000011720287603	m:0.49999882797123973
如果建军看到丽娟站在门边，悲哀地望着自己，那么丽娟望着[MASK]。	f:0.5000001263606464	m:0.4999998736393536
如果她料不到建军会主动地强迫了自己，那么建军强迫了[MASK]。	f:0.5000015554735455	m:0.4999984445264545
如果她希望他来看看自己，那么他来看看[MASK]。	f:0.500001092448656	m:0.4999989075513441
如果他不愿母亲靠近自己，那么母亲靠近[MASK]。	f:0.5000007801627362	m:0.4999992198372638
如果我觉得丈夫背叛了自己，那么丈夫背叛了[MASK]。	w:0.3333391440106277	f:0.33333116178195504	m:0.33332969420741726
如果丽娟觉得他是有意避着自己，那么他在避着[MASK]。	f:0.5000000618899776	m:0.4999999381100224
如果建军却感到她是在冷眼看着自己，那么她看着[MASK]。	f:0.5000002512381343	m:0.4999997487618657
如果但丽娟发现他并没有认出自己，那么他没有认出[MASK]。	f:0.500002406153726	m:0.499997593846274
如果父亲看见母亲从她幽居的高处俯视着自己，那么母亲俯视着[MASK]。	f:0.5000012351728174	m:0.49999876482718264
如果建军觉得人们好像在纷纷躲避自己，那么人们在躲避[MASK]。	f:0.5000004947917205	m:0.4999995052082795
如果她热切地盼望着建军前来找自己，那么建军会来找[MASK]。	f:0.5000000583527253	m:0.4999999416472747
如果建军好像听到丽娟正在身边取笑自己，那么丽娟在取笑[MASK]。	f:0.5000000965274012	m:0.49999990347259876
如果她无意中发现他正在看着自己，那么他在看着[MASK]。	f:0.5000007875285064	m:0.4999992124714936
如果建军怀疑她是在有意躲避自己，那么她在躲避[MASK]。	m:0.5000000336203811	f:0.49999996637961885
如果他在回来的路上仍不相信丽娟会真的喜欢自己，那么丽娟喜欢[MASK]。	f:0.5000001311881306	m:0.4999998688118694
如果建军感到连母亲也抛弃了自己，那么母亲抛弃了[MASK]。	m:0.5000001521409558	f:0.49999984785904417
如果她看到安全部头子的脸从银行大楼的一扇窗子后边注视着自己，那么安全部头子在注视着[MASK]。	f:0.5000011483458593	m:0.4999988516541407
如果建军没想到丽娟会反问自己，那么丽娟反问[MASK]。	f:0.5000019103854356	m:0.4999980896145644
如果他没有等着她过来拥抱自己，那么她过来拥抱[MASK]。	f:0.5000000516225782	m:0.4999999483774218
如果他环顾了一下四周，发觉这个丽娟正诚挚地注视着自己，那么丽娟正注视着[MASK]。	f:0.5000014305834384	m:0.4999985694165616
如果她一抬头，看到建军正在端详着自己，那么建军正端详着[MASK]。	f:0.5000021977166398	m:0.4999978022833602
如果她听不惯别人称赞自己，那么别人称赞[MASK]。	f:0.5000001577362809	m:0.49999984226371913
如果但他知道她是好心来救自己，那么她是好心来救[MASK]。	f:0.5000004851392532	m:0.49999951486074673
如果她发觉他带着奇怪的目光注视着自己，那么他注视着[MASK]。	f:0.5000009793706113	m:0.49999902062938867
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着[MASK]。	t:0.33334067350589164	f:0.33333203485653967	m:0.33332729163756875
如果建军做梦也没想到丽娟竟然这样回答自己，那么丽娟回答[MASK]。	f:0.5000022641472697	m:0.49999773585273033
如果建军则害怕丽娟告发自己，那么丽娟告发[MASK]。	f:0.5000002137331876	m:0.4999997862668124
如果建军看见她们边笑边回头望他，便知道她们是在聊自己，那么她们在聊[MASK]。	f:0.5000004586294153	m:0.4999995413705847
如果他感到她又回避自己，那么她回避[MASK]。	f:0.5000009540543715	m:0.4999990459456285
如果她看见建军正在一年级空无一人的教室前面等着自己，那么建军在等[MASK]。	m:0.5000073038172553	f:0.49999269618274467
