假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	t:0.333339694281713	f:0.3333307825872664	m:0.33332952313102054
假如他说这本书改变了自己,那么这本书改变了[MASK]。	t:0.3333383205214262	f:0.33333121693673556	m:0.33333046254183823
假如他说这本书影响了自己,那么这本书影响了[MASK]。	t:0.33333936983318724	f:0.3333305194533524	m:0.3333301107134604
假如他说这本书吸引了自己,那么这本书吸引了[MASK]。	t:0.33333906907862615	f:0.33333076204291745	m:0.33333016887845646
假如她说这本书启发了自己,那么这本书启发了[MASK]。	t:0.3333391939828964	f:0.33333069471565063	m:0.33333011130145296
假如他说这本书激励了自己,那么这本书激励了[MASK]。	t:0.33334060652522474	f:0.3333300292219827	m:0.3333293642527926
假如她说这本书刺激了自己,那么这本书刺激了[MASK]。	t:0.3333395406825812	f:0.3333307201237927	m:0.33332973919362613
假如他说这本书困扰了自己,那么这本书困扰了[MASK]。	t:0.3333386927720502	f:0.3333308754274903	m:0.33333043180045957
假如他说这本书鼓舞了自己,那么这本书鼓舞了[MASK]。	t:0.33333976071011684	f:0.3333305099660638	m:0.33332972932381943
假如他说这本书鞭策了自己,那么这本书鞭策了[MASK]。	t:0.3333419766816327	f:0.3333294405220604	m:0.3333285827963069
假如他说这本书感动了自己,那么这本书感动了[MASK]。	t:0.33333842547818027	f:0.33333105627124443	m:0.3333305182505754
假如他说这本书迷惑了自己,那么这本书迷惑了[MASK]。	t:0.33334026394052557	f:0.33333028528277237	m:0.333329450776702
假如她说这本书提醒了自己,那么这本书提醒了[MASK]。	t:0.33333959512596967	f:0.3333306132808652	m:0.33332979159316506
假如他说这封信伤害了自己,那么这封信伤害了[MASK]。	t:0.3333399462157752	f:0.3333306048209984	m:0.33332944896322647
假如她说这封信改变了自己,那么这封信改变了[MASK]。	t:0.3333383287013362	f:0.3333312972801829	m:0.333330374018481
假如她说这封信影响了自己,那么这封信影响了[MASK]。	t:0.3333386822663146	f:0.3333310154492663	m:0.3333303022844192
假如她说这封信吸引了自己,那么这封信吸引了[MASK]。	t:0.3333390627550549	f:0.333330843755345	m:0.3333300934896001
假如她说这封信启发了自己,那么这封信启发了[MASK]。	t:0.33333959061233026	f:0.3333304160822179	m:0.3333299933054519
假如他说这封信激励了自己,那么这封信激励了[MASK]。	t:0.33334058550268203	f:0.3333301091869814	m:0.3333293053103366
假如他说这封信刺激了自己,那么这封信刺激了[MASK]。	t:0.3333396589154804	f:0.3333307072578819	m:0.33332963382663766
假如她说这封信困扰了自己,那么这封信困扰了[MASK]。	t:0.3333387057232504	f:0.3333308852890075	m:0.3333304089877421
假如她说这封信鼓舞了自己,那么这封信鼓舞了[MASK]。	t:0.33333953780333153	f:0.3333306244908461	m:0.3333298377058223
假如他说这封信鞭策了自己,那么这封信鞭策了[MASK]。	t:0.3333424276445567	f:0.3333292761835903	m:0.33332829617185294
假如她说这封信感动了自己,那么这封信感动了[MASK]。	t:0.3333380054764828	f:0.33333131990463766	m:0.3333306746188795
假如她说这封信刺激了自己,那么这封信刺激了[MASK]。	t:0.333339270840415	f:0.33333080889113037	m:0.33332992026845465
假如她说这封信迷惑了自己,那么这封信迷惑了[MASK]。	t:0.33333986704937313	f:0.3333305157437094	m:0.33332961720691745
假如她说这封信提醒了自己,那么这封信提醒了[MASK]。	t:0.3333392676677078	f:0.333330759355244	m:0.3333299729770482
假如她说这封信激励了自己,那么这封信激励了[MASK]。	t:0.3333403664025602	f:0.33333014324604515	m:0.33332949035139453
假如他说这个举动伤害了自己,那么这个举动伤害了[MASK]。	t:0.33333843292966886	f:0.33333136049638	m:0.3333302065739511
假如她说这个举动改变了自己,那么这个举动改变了[MASK]。	t:0.3333373584172188	f:0.3333319704090279	m:0.33333067117375326
假如她说这个举动影响了自己,那么这个举动影响了[MASK]。	t:0.33333804594315747	f:0.3333314414417821	m:0.33333051261506036
假如他说这个举动吸引了自己,那么这个举动吸引了[MASK]。	t:0.333337646728592	f:0.33333166942834996	m:0.3333306838430581
假如她说这个举动启发了自己,那么这个举动启发了[MASK]。	t:0.33333879769482416	f:0.33333093834324157	m:0.33333026396193427
假如他说这个举动激励了自己,那么这个举动激励了[MASK]。	t:0.3333395158470284	f:0.33333068121078874	m:0.33332980294218284
假如他说这个举动刺激了自己,那么这个举动刺激了[MASK]。	t:0.33333904693224836	f:0.3333310528931607	m:0.333329900174591
假如她说这个举动困扰了自己,那么这个举动困扰了[MASK]。	t:0.33333741745253764	f:0.3333315762439603	m:0.3333310063035021
