如果她给他推荐自己的钱， 那么钱是关于[MASK]的。	f:0.5000000578661457	m:0.49999994213385435
如果她给他推荐自己的情妇， 那么情妇是关于[MASK]的。	f:0.5000000387751697	m:0.49999996122483026
如果她给他推荐自己的财产， 那么财产是关于[MASK]的。	m:0.5000005048091225	f:0.4999994951908775
如果她给他推荐自己的印象， 那么印象是关于[MASK]的。	f:0.5000006584155017	m:0.4999993415844983
如果她给他推荐自己的生命， 那么生命是关于[MASK]的。	m:0.5000012752500425	f:0.49999872474995755
如果她给他推荐自己的目光， 那么目光是关于[MASK]的。	f:0.5000010147516605	m:0.49999898524833947
如果她给他推荐自己的敌人， 那么敌人是关于[MASK]的。	f:0.5000008989738944	m:0.49999910102610556
如果她给他推荐自己的事业， 那么事业是关于[MASK]的。	m:0.5000009860066257	f:0.4999990139933743
如果她给他推荐自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.5000003305910923	m:0.49999966940890767
如果她给他推荐自己的球， 那么球是关于[MASK]的。	f:0.5000020201964617	m:0.49999797980353833
如果她给他推荐自己的媳妇， 那么媳妇是关于[MASK]的。	f:0.5000000125983206	m:0.49999998740167934
如果她给他推荐自己的床， 那么床是关于[MASK]的。	f:0.5000005316840088	m:0.4999994683159912
如果她给他推荐自己的太太， 那么太太是关于[MASK]的。	m:0.50000010895792	f:0.4999998910420799
如果她给他推荐自己的家庭， 那么家庭是关于[MASK]的。	m:0.5000003710911187	f:0.4999996289088813
如果她给他推荐自己的同伙， 那么同伙是关于[MASK]的。	f:0.500000613904831	m:0.4999993860951691
如果她给他推荐自己的妻子， 那么妻子是关于[MASK]的。	f:0.5000000237762379	m:0.4999999762237622
如果她给他推荐自己的意见， 那么意见是关于[MASK]的。	f:0.5000001817352313	m:0.4999998182647687
如果她给他推荐自己的女人， 那么女人是关于[MASK]的。	m:0.5000001736475497	f:0.4999998263524504
如果她给他推荐自己的样子， 那么样子是关于[MASK]的。	f:0.5000001123953552	m:0.49999988760464475
如果她给他推荐自己的夫人， 那么夫人是关于[MASK]的。	m:0.500000710784434	f:0.4999992892155661
如果她给他推荐自己的作品， 那么作品是关于[MASK]的。	m:0.500000325746214	f:0.499999674253786
如果她给他推荐自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.5000001679416073	m:0.4999998320583927
如果她给他推荐自己的车， 那么车是关于[MASK]的。	m:0.5000005681363291	f:0.4999994318636709
如果她给他推荐自己的烟， 那么烟是关于[MASK]的。	f:0.5000002522556315	m:0.4999997477443685
如果她给他推荐自己的老婆， 那么老婆是关于[MASK]的。	m:0.5000000203683612	f:0.4999999796316388
如果她给他描述自己的钱， 那么钱是关于[MASK]的。	f:0.5000000453933353	m:0.4999999546066647
如果她给他描述自己的情妇， 那么情妇是关于[MASK]的。	f:0.5000000101947535	m:0.49999998980524646
如果她给他描述自己的财产， 那么财产是关于[MASK]的。	m:0.500000360286549	f:0.49999963971345096
如果她给他描述自己的印象， 那么印象是关于[MASK]的。	f:0.5000002375702479	m:0.4999997624297521
如果她给他描述自己的生命， 那么生命是关于[MASK]的。	m:0.5000016619726466	f:0.4999983380273534
如果她给他描述自己的目光， 那么目光是关于[MASK]的。	f:0.5000015647442524	m:0.49999843525574755
如果她给他描述自己的敌人， 那么敌人是关于[MASK]的。	f:0.5000008882270777	m:0.49999911177292233
如果她给他描述自己的事业， 那么事业是关于[MASK]的。	m:0.5000012508171494	f:0.49999874918285064
如果她给他描述自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.5000004201922366	m:0.49999957980776344
如果她给他描述自己的球， 那么球是关于[MASK]的。	f:0.5000017930840386	m:0.49999820691596136
如果她给他描述自己的媳妇， 那么媳妇是关于[MASK]的。	m:0.5000001041453288	f:0.4999998958546712
如果她给他描述自己的床， 那么床是关于[MASK]的。	f:0.5000007784242371	m:0.49999922157576293
如果她给他描述自己的太太， 那么太太是关于[MASK]的。	m:0.5000001833559509	f:0.49999981664404913
如果她给他描述自己的家庭， 那么家庭是关于[MASK]的。	m:0.5000006672873951	f:0.4999993327126049
如果她给他描述自己的同伙， 那么同伙是关于[MASK]的。	f:0.5000008088886716	m:0.49999919111132834
如果她给他描述自己的妻子， 那么妻子是关于[MASK]的。	m:0.5000001014634563	f:0.4999998985365437
如果她给他描述自己的意见， 那么意见是关于[MASK]的。	m:0.5000001236437583	f:0.49999987635624166
如果她给他描述自己的女人， 那么女人是关于[MASK]的。	m:0.5000004007697498	f:0.49999959923025017
如果她给他描述自己的样子， 那么样子是关于[MASK]的。	m:0.5000007799330888	f:0.4999992200669112
如果她给他描述自己的夫人， 那么夫人是关于[MASK]的。	m:0.5000001370135578	f:0.4999998629864422
如果她给他描述自己的作品， 那么作品是关于[MASK]的。	m:0.5000008421013717	f:0.49999915789862825
如果她给他描述自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.5000001556611551	m:0.4999998443388449
如果她给他描述自己的车， 那么车是关于[MASK]的。	m:0.500000648151854	f:0.499999351848146
如果她给他描述自己的烟， 那么烟是关于[MASK]的。	m:0.500000130204171	f:0.499999869795829
如果她给他描述自己的老婆， 那么老婆是关于[MASK]的。	m:0.5000001981964033	f:0.4999998018035967
如果她给他介绍自己的钱， 那么钱是关于[MASK]的。	f:0.5000000806512617	m:0.4999999193487384
如果她给他介绍自己的情妇， 那么情妇是关于[MASK]的。	f:0.5000000527782049	m:0.49999994722179514
如果她给他介绍自己的财产， 那么财产是关于[MASK]的。	m:0.500000483708618	f:0.49999951629138195
如果她给他介绍自己的印象， 那么印象是关于[MASK]的。	f:0.5000007633020687	m:0.49999923669793134
如果她给他介绍自己的生命， 那么生命是关于[MASK]的。	m:0.5000011716936115	f:0.49999882830638853
如果她给他介绍自己的目光， 那么目光是关于[MASK]的。	f:0.5000014590698356	m:0.4999985409301644
如果她给他介绍自己的敌人， 那么敌人是关于[MASK]的。	f:0.5000012149216673	m:0.4999987850783327
如果她给他介绍自己的事业， 那么事业是关于[MASK]的。	m:0.5000007367937087	f:0.4999992632062913
如果她给他介绍自己的伙伴， 那么伙伴是关于[MASK]的。	f:0.500000409792392	m:0.49999959020760804
如果她给他介绍自己的球， 那么球是关于[MASK]的。	f:0.5000020031443455	m:0.49999799685565455
如果她给他介绍自己的媳妇， 那么媳妇是关于[MASK]的。	f:0.5000000852573976	m:0.4999999147426024
如果她给他介绍自己的床， 那么床是关于[MASK]的。	f:0.5000008880399491	m:0.49999911196005087
如果她给他介绍自己的太太， 那么太太是关于[MASK]的。	f:0.5000000774091404	m:0.49999992259085957
如果她给他介绍自己的家庭， 那么家庭是关于[MASK]的。	m:0.5000002275330644	f:0.4999997724669356
如果她给他介绍自己的同伙， 那么同伙是关于[MASK]的。	f:0.5000007411217666	m:0.4999992588782334
如果她给他介绍自己的妻子， 那么妻子是关于[MASK]的。	f:0.5000003057366484	m:0.49999969426335156
如果她给他介绍自己的意见， 那么意见是关于[MASK]的。	f:0.5000000851284767	m:0.4999999148715233
如果她给他介绍自己的女人， 那么女人是关于[MASK]的。	f:0.5000000710494987	m:0.49999992895050127
如果她给他介绍自己的样子， 那么样子是关于[MASK]的。	f:0.500000171077545	m:0.49999982892245504
如果她给他介绍自己的夫人， 那么夫人是关于[MASK]的。	m:0.5000003633158485	f:0.4999996366841514
如果她给他介绍自己的作品， 那么作品是关于[MASK]的。	m:0.5000002851879799	f:0.49999971481202016
如果她给他介绍自己的兄弟， 那么兄弟是关于[MASK]的。	f:0.5000002712163223	m:0.4999997287836777
如果她给他介绍自己的车， 那么车是关于[MASK]的。	m:0.5000004196726877	f:0.49999958032731223
如果她给他介绍自己的烟， 那么烟是关于[MASK]的。	f:0.5000004534126674	m:0.4999995465873326
如果她给他介绍自己的老婆， 那么老婆是关于[MASK]的。	f:0.500000152970415	m:0.499999847029585
如果她给他看自己的钱， 那么钱是关于[MASK]的。	f:0.5000001051862455	m:0.4999998948137545
如果她给他看自己的情妇， 那么情妇是关于[MASK]的。	f:0.5000002122092155	m:0.4999997877907845
如果她给他看自己的财产， 那么财产是关于[MASK]的。	m:0.5000010306696367	f:0.49999896933036325
如果她给他看自己的印象， 那么印象是关于[MASK]的。	f:0.5000003472400749	m:0.4999996527599251
