假如他说她反思自己,那么她反思[MASK]自己。	m:0.5000003069116019	f:0.49999969308839803
假如他说她反省自己,那么她反省[MASK]自己。	m:0.5000003255105412	f:0.49999967448945876
假如他说她坦白自己,那么她坦白[MASK]自己。	m:0.5000003641166586	f:0.4999996358833414
假如他说她迷失自己,那么她迷失[MASK]自己。	m:0.5000008294937288	f:0.4999991705062712
假如他说她克制自己,那么她克制[MASK]自己。	m:0.5000020419188331	f:0.49999795808116687
假如他说她检讨自己,那么她检讨[MASK]自己。	m:0.5000006629491054	f:0.4999993370508946
假如他说她放松自己,那么她放松[MASK]自己。	m:0.5000009896634765	f:0.4999990103365235
假如他说她磨练自己,那么她磨练[MASK]自己。	m:0.5000000234210802	f:0.4999999765789198
假如他说她奉献自己,那么她奉献[MASK]自己。	m:0.5000006788907285	f:0.4999993211092715
假如他说她调整自己,那么她调整[MASK]自己。	m:0.5000007444896255	f:0.4999992555103745
假如他说她提升自己,那么她提升[MASK]自己。	m:0.5000000851387085	f:0.4999999148612915
假如他说她炫耀自己,那么她炫耀[MASK]自己。	m:0.5000003824942496	f:0.4999996175057504
假如他说她调节自己,那么她调节[MASK]自己。	m:0.500001240391839	f:0.499998759608161
假如他说她坚持自己,那么她坚持[MASK]自己。	m:0.5000020689783469	f:0.49999793102165313
假如他说她交代自己,那么她交代[MASK]自己。	m:0.500000468105327	f:0.49999953189467305
假如他说她计较自己,那么她计较[MASK]自己。	m:0.5000010671456039	f:0.4999989328543961
假如他说她检讨自己,那么她检讨[MASK]自己。	m:0.5000006629491054	f:0.4999993370508946
假如他说她卖弄自己,那么她卖弄[MASK]自己。	m:0.5000009368532119	f:0.4999990631467881
假如他说她表达自己,那么她表达[MASK]自己。	f:0.5000003374415201	m:0.49999966255848
假如他说她表现自己,那么她表现[MASK]自己。	f:0.5000004861838079	m:0.4999995138161922
假如他说她扭伤自己,那么她扭伤[MASK]自己。	m:0.5000008914901173	f:0.4999991085098827
