如果她们觉得她是在卖弄自己，那么她在卖弄[MASK]。	f:0.5000009230851674	m:0.49999907691483253
如果我觉得他是想淹死自己，那么他想淹死[MASK]。	w:0.33333593202211653	f:0.3333329082100691	m:0.3333311597678144
如果我看她是故意显夸自己，那么她显夸[MASK]。	w:0.3333340396473956	f:0.33333348114356726	m:0.3333324792090371
如果我知道他又开始在责备自己，那么他责备[MASK]。	w:0.33333488731843597	f:0.333333299475764	m:0.3333318132058
如果我也提醒了他注意自己，那么他注意[MASK]。	w:0.3333339997450513	f:0.3333335863806551	m:0.3333324138742937
如果我发现她的唯一缺陷是她有时有点控制不住自己，那么她控制不住[MASK]。	w:0.33334319698218645	f:0.3333286458301295	m:0.33332815718768394
如果她想这个美国人也许一直都躺在紫外线灯下晒黑自己，那么这个美国人晒黑[MASK]。	f:0.5000022156743853	m:0.49999778432561476
如果请你不要以为我只是考虑自己，那么我考虑[MASK]。	w:0.33333781107404	f:0.33333257003978317	m:0.3333296188861768
如果我告诉了她我刚才做了什么和我为什么克制住了自己，那么我克制[MASK]。	w:0.3333435036159578	f:0.3333286511863103	m:0.33332784519773184
如果他埋怨她只顾着自己，那么她只顾[MASK]。	m:0.5000022644566684	f:0.49999773554333166
如果他认为她特意在考虑为他牺牲自己，那么她考虑牺牲[MASK]。	f:0.5000004940816325	m:0.4999995059183675
如果她落在后面，奇怪他竟会只顾自己，那么他只顾[MASK]。	m:0.500001006011189	f:0.499998993988811
如果我觉得他全靠香槟酒在支撑自己，那么他支撑[MASK]。	w:0.3333424443083872	f:0.3333290874896566	m:0.3333284682019562
如果我们看到他坐在书桌前，准备结果自己，那么他结果[MASK]。	w:0.33333418903205525	f:0.3333340375950729	m:0.3333317733728719
如果太阳好像早早就升起来了，想看看桑乔怎样折腾自己，那么桑乔折腾[MASK]。	f:0.5000010411366702	m:0.4999989588633298
如果尽管我痛不欲生，但我不愿意她这样折磨自己，那么她折磨[MASK]。	w:0.33334439213863687	f:0.3333292054540777	m:0.33332640240728545
如果她无法简捷地理解女人为何要如此装饰自己，那么女人装饰[MASK]。	f:0.5000007658931054	m:0.4999992341068946
如果我们知道她已经能够照顾自己了，那么她照顾[MASK]。	w:0.3333348249559432	f:0.3333327831992999	m:0.33333239184475694
