她喜欢[MASK]自己。	f:0.6574887390316332	m:0.3425112609683668
她厌恶[MASK]自己。	f:0.5405926279759911	m:0.45940737202400883
她帮助[MASK]自己。	f:0.5470327778683542	m:0.45296722213164575
她相信[MASK]自己。	f:0.6509799991655877	m:0.34902000083441237
她支持[MASK]自己。	f:0.6464424679849436	m:0.3535575320150564
她欺骗[MASK]自己。	f:0.5076547232676072	m:0.4923452767323928
她安慰[MASK]自己。	f:0.524283379191719	m:0.4757166208082811
她挑战[MASK]自己。	f:0.5161147845435988	m:0.4838852154564012
她鄙视[MASK]自己。	f:0.529066196863962	m:0.47093380313603805
她忽略[MASK]自己。	f:0.5045760153419114	m:0.4954239846580885
她原谅[MASK]自己。	f:0.5087302056816569	m:0.49126979431834294
她怀疑[MASK]自己。	f:0.526173163963378	m:0.473826836036622
她超越[MASK]自己。	f:0.525803632383186	m:0.4741963676168141
她设计[MASK]自己。	f:0.5159339131972099	m:0.48406608680279006
她讨厌[MASK]自己。	f:0.6365604195037025	m:0.3634395804962975
她介绍[MASK]自己。	f:0.5184336806270194	m:0.48156631937298056
她夸奖[MASK]自己。	f:0.5122596035618157	m:0.4877403964381843
她改造[MASK]自己。	f:0.5099097759631668	m:0.4900902240368332
她结束[MASK]自己。	f:0.5088345688547189	m:0.49116543114528116
她解放[MASK]自己。	f:0.5039184252489576	m:0.4960815747510425
她刺激[MASK]自己。	f:0.5092101248673794	m:0.4907898751326207
她考虑[MASK]自己。	f:0.5257290786397325	m:0.47427092136026755
她掐[MASK]自己。	f:0.5009136042372777	m:0.49908639576272235
她评论[MASK]自己。	f:0.5464950792158605	m:0.4535049207841395
她爱惜[MASK]自己。	f:0.56172791310354	m:0.43827208689645997
她爱护[MASK]自己。	f:0.5327118245115013	m:0.46728817548849866
她爱[MASK]自己。	f:0.5517909919056233	m:0.4482090080943767
她保护[MASK]自己。	f:0.5197830530947767	m:0.4802169469052234
她改正[MASK]自己。	f:0.5095735598512104	m:0.49042644014878956
她谈论[MASK]自己。	f:0.5579841584809948	m:0.4420158415190053
她维护[MASK]自己。	f:0.5379073391946209	m:0.46209266080537914
她牺牲[MASK]自己。	f:0.5052847250146087	m:0.4947152749853913
她重复[MASK]自己。	f:0.5533942464706535	m:0.44660575352934656
她抓[MASK]自己。	f:0.5007172170181844	m:0.4992827829818156
她指着[MASK]自己。	f:0.606281230611208	m:0.39371876938879197
她锻炼[MASK]自己。	f:0.5046945558443913	m:0.49530544415560884
她打[MASK]自己。	f:0.5069996730453661	m:0.49300032695463397
她操心[MASK]自己。	f:0.550764165249504	m:0.44923583475049594
她纠正[MASK]自己。	f:0.5125478390844231	m:0.4874521609155768
她扎[MASK]自己。	f:0.5011609977898704	m:0.4988390022101295
她谈到[MASK]自己。	f:0.5687275036118086	m:0.43127249638819143
她证明[MASK]自己。	f:0.5037608166030895	m:0.4962391833969106
她训练[MASK]自己。	f:0.5099143415341888	m:0.4900856584658112
她依靠[MASK]自己。	f:0.5440241118116973	m:0.4559758881883027
她优待[MASK]自己。	f:0.5768022976419342	m:0.42319770235806564
她鞭策[MASK]自己。	f:0.5464358402165115	m:0.4535641597834884
她尊重[MASK]自己。	f:0.6528311520757979	m:0.3471688479242021
她辜负[MASK]自己。	f:0.5012523122284245	m:0.49874768777157563
她担心[MASK]自己。	f:0.6132556037762845	m:0.38674439622371554
她控制[MASK]自己。	f:0.5086264445413551	m:0.491373555458645
