她知道他经常批评[MASK]自己。	f:0.5924484106717719	m:0.40755158932822805
她知道他把[MASK]自己的书送给了朋友。	m:0.6792915278170063	f:0.32070847218299364
她担心他会批评[MASK]自己。	f:0.6610045997827971	m:0.3389954002172028
她知道他害了[MASK]自己。	f:0.7133487036645806	m:0.2866512963354194
她觉得他对[MASK]自己没信心。	m:0.5181774630800752	f:0.4818225369199249
她认为他的骄傲害了[MASK]自己。	f:0.6432177459043299	m:0.3567822540956701
她知道他告诉过她有关[MASK]自己的工作。	m:0.506804165396603	f:0.49319583460339705
她说他跟她谈过[MASK]自己的事。	m:0.6866950250319954	f:0.3133049749680046
她认为他从她那里听说了[MASK]自己的分数。	m:0.5755875328299286	f:0.4244124671700714
她知道他在她家洗[MASK]自己的照片。	f:0.5004936571491579	m:0.49950634285084206
她不喜欢他管[MASK]自己的事。	f:0.5931152825778132	m:0.4068847174221868
她知道他的报告害了[MASK]自己。	f:0.6983923045810747	m:0.3016076954189252
她的话暗示他的信害了[MASK]自己。	m:0.6209414424995412	f:0.3790585575004588
她认为他恨[MASK]自己。	f:0.5166395863827699	m:0.4833604136172302
她说他喜欢[MASK]自己。	m:0.5833585352371742	f:0.4166414647628259
她告诉别人他觉得[MASK]自己明年可以考进好大学。	m:0.6002886798368695	f:0.39971132016313043
她说他批评了[MASK]自己。	m:0.5816853997773745	f:0.4183146002226255
她觉得他在批评[MASK]自己。	f:0.6773606799788401	m:0.32263932002116
她认为他知道[MASK]自己的朋友是一个好人。	m:0.5157309542393185	f:0.4842690457606815
她觉得他不喜欢[MASK]自己。	f:0.6638008484324692	m:0.33619915156753066
