他喜欢[MASK]自己。	m:0.6944905043433885	f:0.3055094956566114
他厌恶[MASK]自己。	m:0.5729317806178469	f:0.42706821938215306
他帮助[MASK]自己。	m:0.5483420663031263	f:0.4516579336968736
他相信[MASK]自己。	m:0.6633857839478465	f:0.3366142160521535
他支持[MASK]自己。	m:0.6564817150985764	f:0.34351828490142344
他欺骗[MASK]自己。	m:0.51840561540986	f:0.48159438459014003
他安慰[MASK]自己。	m:0.5308739645303909	f:0.4691260354696091
他挑战[MASK]自己。	m:0.5364041844046303	f:0.46359581559536966
他鄙视[MASK]自己。	m:0.5398259605294528	f:0.4601740394705472
他忽略[MASK]自己。	m:0.5105541136041205	f:0.4894458863958796
他原谅[MASK]自己。	m:0.5135221019917475	f:0.4864778980082525
他怀疑[MASK]自己。	m:0.5421012315163811	f:0.45789876848361893
他超越[MASK]自己。	m:0.5366376740047791	f:0.46336232599522087
他设计[MASK]自己。	m:0.5258239470186291	f:0.4741760529813708
他讨厌[MASK]自己。	m:0.6644044480589656	f:0.33559555194103446
他介绍[MASK]自己。	m:0.5244956614622936	f:0.47550433853770646
他夸奖[MASK]自己。	m:0.5196565152710628	f:0.4803434847289371
他改造[MASK]自己。	m:0.5261109859636683	f:0.47388901403633166
他结束[MASK]自己。	m:0.5127834119252517	f:0.4872165880747484
他解放[MASK]自己。	m:0.5139939154313946	f:0.48600608456860545
他刺激[MASK]自己。	m:0.5216199110921952	f:0.47838008890780487
他考虑[MASK]自己。	m:0.5360664269709304	f:0.4639335730290695
他掐[MASK]自己。	m:0.5005772860658536	f:0.49942271393414644
他评论[MASK]自己。	m:0.5525621145547556	f:0.4474378854452444
他爱惜[MASK]自己。	m:0.5536815539106644	f:0.4463184460893357
他爱护[MASK]自己。	m:0.5341404722767447	f:0.4658595277232554
他爱[MASK]自己。	m:0.5721811508698855	f:0.4278188491301145
他保护[MASK]自己。	m:0.5277867411651064	f:0.47221325883489357
他改正[MASK]自己。	m:0.5187429682312708	f:0.4812570317687292
他谈论[MASK]自己。	m:0.5674568029782887	f:0.4325431970217113
他维护[MASK]自己。	m:0.5545326260135344	f:0.4454673739864656
他牺牲[MASK]自己。	m:0.507749568162033	f:0.49225043183796696
他重复[MASK]自己。	m:0.6001921566654295	f:0.3998078433345705
他抓[MASK]自己。	m:0.5033915115715308	f:0.49660848842846916
他指着[MASK]自己。	m:0.6767474214725038	f:0.3232525785274962
他锻炼[MASK]自己。	m:0.5080196725651707	f:0.4919803274348294
他打[MASK]自己。	m:0.5106888462063035	f:0.4893111537936965
他操心[MASK]自己。	m:0.5685901491651062	f:0.4314098508348937
他纠正[MASK]自己。	m:0.5251107738808841	f:0.4748892261191159
他扎[MASK]自己。	m:0.5026138291973788	f:0.49738617080262115
他谈到[MASK]自己。	m:0.5695058743173076	f:0.4304941256826923
他证明[MASK]自己。	m:0.5090786263301683	f:0.49092137366983174
他训练[MASK]自己。	m:0.5229067937201365	f:0.4770932062798634
他依靠[MASK]自己。	m:0.5519581893957027	f:0.4480418106042973
他优待[MASK]自己。	m:0.5963846253056552	f:0.4036153746943448
他鞭策[MASK]自己。	m:0.5788478974962612	f:0.42115210250373875
他尊重[MASK]自己。	m:0.6505986819671785	f:0.34940131803282154
他辜负[MASK]自己。	m:0.5012184557017695	f:0.4987815442982305
他担心[MASK]自己。	m:0.6277188459768512	f:0.37228115402314865
他控制[MASK]自己。	m:0.5179599112660888	f:0.4820400887339113
