他知道我经常批评[MASK]自己。	m:0.389151114412934	w:0.3748724555845688	f:0.23597643000249724
她知道我经常批评[MASK]自己。	f:0.38683489654888564	w:0.37724736564945127	m:0.23591773780166303
他认为她知道我把[MASK]自己的书送给了自己的朋友。	w:0.33846588722402143	f:0.3327253298628455	m:0.3288087829131332
她认为他知道我把[MASK]自己的书送给了自己的朋友。	m:0.4394267051635375	w:0.2980551093425184	f:0.2625181854939442
他担心我会批评[MASK]自己。	m:0.44684829139217846	w:0.3191442576163054	f:0.23400745099151615
她担心我会批评[MASK]自己。	f:0.44093069073514485	w:0.32056653190361317	m:0.23850277736124187
他知道我害了[MASK]自己。	m:0.46671368394410434	w:0.30221051539221083	f:0.23107580066368494
她知道我害了[MASK]自己。	f:0.531468421158646	w:0.2463494786941027	m:0.2221821001472513
他觉得我对[MASK]自己没信心。	m:0.4645993613174379	w:0.28624898309020486	f:0.2491516555923571
她觉得我对[MASK]自己没信心。	f:0.47035972736590637	w:0.2814882435331195	m:0.24815202910097417
他认为我的骄傲害了[MASK]自己。	m:0.40138075960938085	w:0.36432370134000913	f:0.23429553905060996
她认为我的骄傲害了[MASK]自己。	f:0.45529693299736346	w:0.3132646745809058	m:0.23143839242173084
她知道我告诉过她有关[MASK]自己的工作。	f:0.44512756540082254	w:0.29103885106030436	m:0.26383358353887304
他知道我告诉过他有关[MASK]自己的工作。	m:0.44869682922847925	w:0.2952168059043354	f:0.2560863648671854
他说我跟他谈过[MASK]自己的事。	m:0.3833967783715259	w:0.3726711115810165	f:0.24393211004745755
她说我跟她谈过[MASK]自己的事。	f:0.38345616748992756	w:0.3563137872328802	m:0.2602300452771923
她认为我从她那里听说了[MASK]自己的分数。	f:0.378397118591817	w:0.3654631374036031	m:0.25613974400458
他认为我从他那里听说了[MASK]自己的分数。	m:0.3911292655908757	w:0.36977379594753523	f:0.23909693846158914
他知道我在他家洗[MASK]自己的照片。	m:0.3371367491364467	w:0.33194606259742393	f:0.3309171882661294
她知道我在她家洗[MASK]自己的照片。	f:0.3370233063023346	w:0.3320828445635897	m:0.3308938491340757
当时他怕我再去找[MASK]自己的麻烦就给了我钱。	m:0.5070180646069217	w:0.24935034512402288	f:0.24363159026905545
当时她怕我再去找[MASK]自己的麻烦就给了我钱。	f:0.5285345137741106	w:0.23608155357371738	m:0.23538393265217192
她知道我的报告害了[MASK]自己。	f:0.5286969317406686	w:0.24845439799679264	m:0.22284867026253885
他知道我的报告害了[MASK]自己。	m:0.47600363798732975	w:0.2953996213948902	f:0.22859674061778004
他的话暗示我的信害了[MASK]自己。	w:0.5426991369106152	m:0.23687876871578886	f:0.22042209437359586
她的话暗示我的信害了[MASK]自己。	w:0.5250283641716788	f:0.248356060171252	m:0.22661557565706927
她认为我恨[MASK]自己。	f:0.40359376867220453	w:0.3308975251008183	m:0.26550870622697725
他认为我恨[MASK]自己。	w:0.37781029683371553	m:0.36261916807607203	f:0.25957053509021244
他说我喜欢[MASK]自己。	w:0.4275679488911383	m:0.3291288275396775	f:0.24330322356918427
她说我喜欢[MASK]自己。	w:0.4232848386374734	f:0.33480149330508213	m:0.2419136680574444
他不喜欢我管[MASK]自己的事。	m:0.563885620304775	w:0.21885652824999974	f:0.21725785144522536
她不喜欢我管[MASK]自己的事。	f:0.5695361835992026	m:0.21603248088333044	w:0.2144313355174669
他告诉别人我觉得[MASK]自己明年可以考进好大学。	w:0.49994777044192396	m:0.2648098212049777	f:0.2352424083530982
他说我批评了[MASK]自己。	w:0.5019854138381415	m:0.27010596224266625	f:0.2279086239191921
她说我批评了[MASK]自己。	w:0.46359355966716037	f:0.3026708957257039	m:0.2337355446071357
她觉得我在批评[MASK]自己。	f:0.4660123238033391	w:0.30196266344734574	m:0.23202501274931503
他觉得我在批评[MASK]自己。	m:0.46430125779995124	w:0.3046915126458592	f:0.23100722955418956
她认为我知道[MASK]自己的太太是一个好人。	w:0.49056617727866125	f:0.25773288499115793	m:0.25170093773018093
他认为我知道[MASK]自己的太太是一个好人。	w:0.4171813716773047	m:0.33492050799493034	f:0.24789812032776487
他觉得我不喜欢[MASK]自己。	m:0.5096593112106987	w:0.26399045108844843	f:0.22635023770085283
她觉得我不喜欢[MASK]自己。	f:0.46608386848158195	w:0.2995139870532888	m:0.23440214446512916
