假如他告诉她一个关于自己的秘密， 那么秘密是关于[MASK]的。	f:0.5515647531787466	m:0.44843524682125335
假如他寄给她一封关于自己的信， 那么信是关于[MASK]的。	f:0.5555732777941695	m:0.44442672220583035
假如他送给她一本关于自己的书， 那么书是关于[MASK]的。	f:0.5556887928198474	m:0.4443112071801526
假如他描述给她一个关于自己的梦， 那么梦是关于[MASK]的。	f:0.5163804623613896	m:0.4836195376386105
假如他解释给她一个关于自己的决定， 那么决定是关于[MASK]的。	f:0.5678225092685352	m:0.43217749073146483
假如他展示给她一幅关于自己的画， 那么画是关于[MASK]的。	f:0.5364900274236709	m:0.4635099725763292
假如他讲述给她一个关于自己的故事， 那么故事是关于[MASK]的。	f:0.531877238229167	m:0.468122761770833
假如他编写给她一首关于自己的诗， 那么诗是关于[MASK]的。	f:0.5671027884069256	m:0.4328972115930744
假如他演示给她一个关于自己的技巧， 那么技巧是关于[MASK]的。	f:0.5455522427634749	m:0.454447757236525
假如他描述给她一场关于自己的经历， 那么经历是关于[MASK]的。	f:0.525372712591656	m:0.474627287408344
假如他回忆给她一段关于自己的往事， 那么往事是关于[MASK]的。	f:0.5478683156888313	m:0.4521316843111686
假如他给她看了一张关于自己的照片， 那么照片是关于[MASK]的。	f:0.5684822521263365	m:0.43151774787366354
假如他发给她一条关于自己的消息， 那么消息是关于[MASK]的。	f:0.6054027857786807	m:0.3945972142213193
假如他写给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5681751314770864	m:0.4318248685229136
假如他展示给她一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.5556791572931101	m:0.4443208427068899
假如他讲给她一个关于自己的笑话， 那么笑话是关于[MASK]的。	f:0.5204017036772932	m:0.47959829632270673
假如他传给她一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5770892012009355	m:0.42291079879906446
假如他绘制给她一幅关于自己的草图， 那么草图是关于[MASK]的。	f:0.577591670968827	m:0.4224083290311729
假如他提供给她一项关于自己的建议， 那么建议是关于[MASK]的。	f:0.5842787216109687	m:0.41572127838903133
假如他演唱给她一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	f:0.5066933768246727	m:0.4933066231753272
假如他设计给她一个关于自己的项目， 那么项目是关于[MASK]的。	f:0.6005280809848446	m:0.3994719190151555
假如他讲述给她一段关于自己的历史， 那么历史是关于[MASK]的。	f:0.5780052761976812	m:0.42199472380231884
假如他推荐给她一本关于自己的传记， 那么传记是关于[MASK]的。	f:0.5971759421277858	m:0.4028240578722142
假如他解释给她一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5651909640493925	m:0.4348090359506075
假如他分享给她一篇关于自己的论文， 那么论文是关于[MASK]的。	f:0.5111402981270317	m:0.4888597018729684
假如他报告给她一项关于自己的研究， 那么研究是关于[MASK]的。	f:0.564111315206938	m:0.4358886847930619
假如他送给她一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	f:0.5874877097002167	m:0.4125122902997832
假如他展示给她一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.5574082129230107	m:0.44259178707698926
假如他描绘给她一幅关于自己的肖像， 那么肖像是关于[MASK]的。	f:0.5593759398304178	m:0.4406240601695823
假如他讨论给她一个关于自己的话题， 那么话题是关于[MASK]的。	f:0.5564901601805811	m:0.4435098398194189
假如他汇报给她一项关于自己的成就， 那么成就是关于[MASK]的。	f:0.5827682849179422	m:0.41723171508205775
假如他寄给她一件关于自己的物品， 那么物品是关于[MASK]的。	f:0.5517820061552463	m:0.4482179938447537
假如他翻译给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.555377579866767	m:0.444622420133233
假如他编排给她一个关于自己的节目， 那么节目是关于[MASK]的。	f:0.5898967605555071	m:0.4101032394444929
假如他演示给她一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	f:0.5248069913655029	m:0.4751930086344971
假如他朗读给她一封关于自己的信件， 那么信件是关于[MASK]的。	f:0.5375570539586099	m:0.4624429460413901
假如他发布给她一条关于自己的公告， 那么公告是关于[MASK]的。	f:0.619514891848122	m:0.38048510815187797
假如他策划给她一个关于自己的活动， 那么活动是关于[MASK]的。	f:0.5980135381249284	m:0.40198646187507164
假如他陈述给她一份关于自己的声明， 那么声明是关于[MASK]的。	f:0.5685280245421522	m:0.4314719754578478
假如他发送给她一条关于自己的通知， 那么通知是关于[MASK]的。	f:0.6042497351753002	m:0.39575026482469977
